rank_pullback,symbol,start_date,end_date,bars,buy_hold_return_pct,dca_return_pct,pullback_return_pct,pullback_minus_dca_pct
1,MCQE,2020-01-02,2026-04-09,1512,3116.1687170474515,3137.7146031085495,2928.458483999978,-209.25611910857143
2,EGAL,2020-01-02,2026-04-09,1510,1970.8479327259986,1954.0905439189628,2073.626112694657,119.53556877569405
3,RAYA,2020-01-02,2026-04-09,1489,2169.5652173913045,2150.9467857832174,2070.721403514239,-80.2253822689785
4,ARCC,2020-01-02,2026-04-09,1507,1661.3981762917933,1649.5725455709223,1530.9545471505785,-118.6179984203438
5,GBCO,2020-01-02,2026-04-09,1511,595.1219512195122,578.7860822876197,1420.1586331105807,841.3725508229611
6,ORHD,2020-01-02,2026-04-09,1512,303.41753343239225,293.3971915288316,1005.6456051541028,712.2484136252713
7,TMGH,2020-01-02,2026-04-09,1512,942.8220858895704,923.9031533037939,955.9285062168285,32.02535291303459
8,ORAS,2020-01-02,2026-04-09,1512,468.33953535150357,461.6889302729578,813.4766882369805,351.78775796402266
9,FWRY,2020-01-02,2026-04-09,1511,922.0994475138122,921.6079352149065,797.1982510956616,-124.40968411924499
10,PHDC,2020-01-02,2026-04-09,1512,381.71428571428567,376.56957070476335,660.9015212901203,284.3319505853569
11,ETEL,2020-01-02,2026-04-09,1512,821.4916584887145,824.0545630140152,658.5502136748413,-165.5043493391739
12,ABUK,2020-01-02,2026-04-09,1512,290.07125890736336,281.4601228380481,467.0231412412164,185.56301840316834
13,HRHO,2020-01-02,2026-04-09,1512,182.33404710920775,178.35727642758457,450.92644642023805,272.5691699926535
14,ADIB,2020-01-02,2026-04-09,1512,412.35294117647055,408.3773287024516,363.5431679001153,-44.83416080233633
15,AMOC,2020-01-02,2026-04-09,1512,126.0989010989011,123.66570150119958,322.95513424135896,199.2894327401594
16,CCAP,2020-01-02,2026-04-09,1512,59.919028340080956,56.9318769186143,263.58559835498403,206.65372143636978
17,EAST,2020-01-02,2026-04-09,1511,237.15798764342458,234.6087522228943,230.05156162602262,-4.557190596871674
18,EMFD,2020-01-02,2026-04-09,1512,225.26315789473682,223.2508634044462,225.51580971837257,2.264946313926375
19,ORWE,2020-01-02,2026-04-09,1512,224.14285714285717,222.94979236956155,219.99552613338685,-2.9542662361746963
20,COMI,2020-01-02,2026-04-09,1511,212.40946402704006,209.8876721012438,204.25826178866444,-5.629410312579353
21,JUFO,2020-01-02,2026-04-09,1507,208.2271147161066,199.49628665428335,193.72817068914858,-5.768115965134779
22,BFTH,2020-01-02,2026-04-09,1512,208.6021505376344,210.3641262428662,185.1793630070512,-25.184763235814998
23,EGCH,2020-01-02,2026-04-09,1512,138.39662447257385,137.72787578034968,149.28398764161926,11.556111861269569
24,EFID,2020-01-02,2026-04-09,1499,85.03674014696057,82.33795926724407,93.0810492684917,10.743090001247623
25,RMDA,2020-01-02,2026-04-09,1511,93.44978165938862,93.91124074893153,89.7466373658004,-4.164603383131138
26,ISPH,2020-01-02,2026-04-09,1512,47.87535410764872,44.58165922885817,84.74743157608138,40.165772347223204
27,HELI,2020-01-02,2026-04-09,1512,-29.93630573248407,-31.317284264743673,55.511835536699515,86.82911980144318
28,EFIH,2021-10-20,2026-04-09,1076,21.845238095238084,22.168224374262092,48.13270031900794,25.964475944745846
29,OIH,2020-01-02,2026-04-09,1508,-31.904761904761912,-34.42007318860069,34.59685407350632,69.016927262107
30,VLMRA,2021-09-19,2026-04-09,1098,34.4316309719934,34.66887107536423,14.889217134562681,-19.779653940801545
31,VLMR,2020-01-02,2026-04-09,1512,-65.0,-65.56087545084183,-61.43536497133177,4.125510479510064
