symbol,bars_before_cleaning,bars_after_cleaning,rows_removed_nonpositive_ohlc,rows_removed_total
ABUK,5805,5805,0.0,0
ADIB,5936,5936,0.0,0
AMOC,4958,4958,0.0,0
ARCC,2871,2871,0.0,0
BFTH,3304,3304,0.0,0
CCAP,3930,3930,0.0,0
COMI,6039,6039,0.0,0
EAST,5592,5592,0.0,0
EFID,2459,2459,0.0,0
EFIH,1076,1076,0.0,0
EGAL,5411,5411,0.0,0
EGCH,5354,5354,0.0,0
EMFD,2607,2607,0.0,0
ETEL,4909,4909,0.0,0
FWRY,1610,1610,0.0,0
GBCO,4398,4398,0.0,0
HELI,5569,5569,0.0,0
HRHO,5955,5955,0.0,0
ISPH,2012,2012,0.0,0
JUFO,3746,3746,0.0,0
MCQE,5907,5189,718.0,718
OIH,5948,5945,3.0,3
ORAS,2676,2676,0.0,0
ORHD,4488,4488,0.0,0
ORWE,5881,5881,0.0,0
PHDC,4326,4326,0.0,0
RAYA,4991,4991,0.0,0
RMDA,1526,1526,0.0,0
TMGH,4431,4431,0.0,0
VLMR,6013,6013,0.0,0
VLMRA,1098,1098,0.0,0
