rank,symbol,start_date,end_date,buy_hold_return_pct,dca_return_pct,pullback_return_pct,pullback_minus_dca_pct
1,MCQE,2025-01-02,2026-04-09,677.4001699235345,683.5700519123176,622.8479079163529,-60.72214399596465
2,ARCC,2025-01-02,2026-04-09,242.8994082840237,243.012424384901,146.10163835868187,-96.91078602621914
3,OIH,2025-01-02,2026-04-09,155.35714285714283,154.4412450468184,145.54035683867497,-8.900888208143432
4,ETEL,2025-01-02,2026-04-09,171.4657415437988,171.47339738441093,143.635246535269,-27.83815084914192
5,EGAL,2025-01-02,2026-04-09,152.57264957264957,152.94556069174453,107.4158419010646,-45.52971879067993
6,FWRY,2025-01-02,2026-04-09,114.12037037037037,114.22923482826448,105.71079473769672,-8.518440090567747
7,ORAS,2025-01-02,2026-04-09,97.24258289703316,97.3925937816636,98.04175523408908,0.6491614524254619
8,RAYA,2025-01-02,2026-04-09,75.75757575757574,75.91486470283917,91.71555853859978,15.800693835760615
9,COMI,2025-01-02,2026-04-09,63.569713057767665,62.36580301477828,67.48327511971861,5.117472104940335
10,TMGH,2025-01-02,2026-04-09,53.82805429864253,53.72732120628727,60.358056069874834,6.630734863587562
11,ISPH,2025-01-02,2026-04-09,50.21582733812948,50.22169352331585,57.84759550302785,7.625901979712002
12,EFIH,2025-01-02,2026-04-09,8.249603384452664,7.9227063843194445,52.04654161504336,44.12383523072392
13,CCAP,2025-01-02,2026-04-09,69.52789699570816,70.0206315111249,42.2914898931515,-27.729141617973397
14,RMDA,2025-01-02,2026-04-09,29.912023460410552,30.14240893025779,34.858820628020325,4.716411697762535
15,ABUK,2025-01-02,2026-04-09,64.35148118494796,64.00744820246193,32.07944335336077,-31.928004849101164
16,EGCH,2025-01-02,2026-04-09,55.00685871056243,55.17633763050116,29.504094698782435,-25.672242931718724
17,PHDC,2025-01-02,2026-04-09,21.469740634005753,21.52342905927769,28.68269289210832,7.159263832830631
18,EAST,2025-01-02,2026-04-09,30.687649674991448,30.376557476493836,22.726724409415233,-7.649833067078604
19,GBCO,2025-01-02,2026-04-09,44.1011235955056,44.39128066764992,20.273068794329685,-24.11821187332024
20,ORHD,2025-01-02,2026-04-09,45.18716577540107,45.287825402483925,18.268357099156596,-27.019468303327333
21,EMFD,2025-01-02,2026-04-09,21.01827676240209,20.660819240614913,14.687059363239308,-5.973759877375606
22,ADIB,2025-01-02,2026-04-09,9.919232710752146,9.782516425214238,7.132785551346954,-2.649730873867284
23,AMOC,2025-01-02,2026-04-09,9.44148936170215,9.038727993354346,6.586432556057065,-2.4522954372972805
24,EFID,2025-01-02,2026-04-09,-1.3883944464222142,-1.9428207530469477,4.896074411214224,6.838895164261172
25,VLMRA,2025-01-02,2026-04-09,3.94904458598726,3.6445948065523703,4.5007927024264704,0.8561978958741001
26,HRHO,2025-01-02,2026-04-09,25.99139990444339,25.72980950093129,0.1989978277116444,-25.530811673219645
27,VLMR,2025-01-02,2026-04-09,-14.634146341463415,-14.992554895115507,-1.465160491719697,13.52739440339581
28,ORWE,2025-01-02,2026-04-09,-12.190402476780182,-12.827317424479569,-7.331010629344958,5.496306795134609
29,BFTH,2025-01-02,2026-04-09,11.673151750972766,11.222791493967764,-11.31475372047267,-22.537545214440435
30,JUFO,2025-01-02,2026-04-09,-21.325051759834366,-21.372274110202916,-25.030787038042657,-3.658512927839741
31,HELI,2025-01-02,2026-04-09,-40.476190476190474,-40.82393854722326,-46.70128814822109,-5.877349600997828
