date,core_satellite_equity,adaptive_balanced_equity,adaptive_aggressive_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2019-02-05,111632.36045705,111537.40697666002,111490.28762692004,111394.21354325999,111394.21354325999,111920.07777500001,1.0
2019-02-14,114036.22045705,113732.26697666003,113580.33762692002,113273.56354326001,113273.56354326001,114846.07777500001,1.026143790849673
2019-02-19,113938.58045705,113859.19697666002,113818.55762692001,113736.61354326,113736.61354326,114187.727775,1.0202614379084967
2019-02-21,115172.46045705001,114533.17697666003,114213.18762692001,113569.95354326001,113569.95354326001,116821.12777500002,1.0437908496732027
2019-02-28,113301.78045705,113260.08697666002,113239.84762691999,113195.98354326,113195.98354326,113456.227775,1.0137254901960784
2019-04-17,121612.35843419001,120277.60148941002,119617.28019289002,118279.77987677,118279.77987677,125040.58575218002,1.0281045751633986
2019-05-21,118446.87939152,117042.50989572002,116352.09538891002,114942.49331712001,114942.49331712001,122077.29628838,0.9281045751633986
2019-07-09,133451.61210398003,131654.64629971003,130744.38697938003,129146.64878627002,128898.68996966998,137930.41830918004,0.9751633986928104
2019-07-11,132548.97210398002,130553.78629971002,129553.06697938003,125829.57878627002,127517.70996966999,137560.65830918003,0.9725490196078431
2019-08-21,142853.27787624003,139690.17054636002,138119.26623304002,134961.82106016,134993.62402125,151056.62032998,0.9980392156862744
2019-08-22,142483.08787624002,139440.87054636003,137915.95623304002,134302.64106016,134917.00402124997,150364.18032998,0.9934640522875816
2019-08-28,142055.35787624,139594.31054636004,138318.21623304003,133655.51106015997,135898.90402125,148385.78032998,0.9803921568627451
2019-09-02,157873.77415771002,154448.38200890005,152713.94794568003,147249.40069398005,149364.59052881997,166806.43285498003,1.0326797385620916
2019-09-04,156937.14415771002,152882.39200890003,150843.39794568002,144972.17069398,146897.77052882,167545.42285498002,1.0372549019607842
2019-09-09,156721.01415771001,152903.85200890002,150979.49794568002,145987.06069398002,147259.39052882,166700.86285498002,1.0320261437908496
2019-09-17,156234.30415771,152074.52200890004,149992.89794568002,143424.64069398,145940.17052882,167123.14285498002,1.0346405228758169
2019-09-23,144369.14415771002,139997.5120089,137819.63794568,129924.28069397999,133567.66052881998,155827.15285498003,0.9647058823529411
2019-10-24,157151.95535314002,153174.83497503,151175.57547664002,142162.23891524,147310.67521966997,167616.98263688,0.9758169934640523
2019-10-27,157871.76535314,153785.05497503,151731.59547664,142743.18891524003,147762.75521967,168627.32263688,0.9816993464052287
2019-10-28,158392.73535314001,154375.69497503003,152358.77547664003,143753.30891524002,148453.21521967,168964.10263688004,0.9836601307189542
2019-10-30,160567.02535314002,156354.02497503,154248.03547664,146944.90891524,150151.50521967,171658.34263688,0.9993464052287581
2019-10-31,161628.90535314003,157774.61497503004,155842.21547664003,147902.71891524,152087.98521966996,171770.60263688004,1.0
2019-11-03,172270.70340931002,168237.63805421005,166216.68350380004,158577.22511869,162292.80795073,182927.56815108002,1.0058823529411764
2019-11-04,172695.72340931004,168508.12805421004,166407.46350380004,159173.27511868998,162340.09795073,183759.58815108,1.0104575163398692
2019-11-20,170400.04340931002,166600.47805421002,164682.75350380002,153818.30511869004,160988.21795073,180431.50815108002,0.992156862745098
2019-11-21,169556.68340931,165797.44805421005,163899.95350380003,152923.73511869003,160242.86795072997,179480.62815108002,0.9869281045751633
2019-11-27,164115.64340931003,160456.21805421,158615.01350380003,149419.40511869002,155044.40795072998,173775.34815108,0.9555555555555555
2019-12-03,170194.6139765,166269.30161359004,164304.46211120003,155558.60993059003,160555.82134506002,180506.60618628,0.937908496732026
2019-12-25,172330.01397650002,167974.61161359004,165794.31211120004,157710.09993059002,161526.02134506,183902.66618628,0.9555555555555555
2019-12-30,173940.3039765,170040.15161359005,168097.54211120005,161603.46993059,164527.12134506,184028.44618628002,0.9562091503267974
2019-12-31,329178.89397649997,383130.30161359004,409375.41211120004,171278.08993059007,461111.5913450599,185663.58618628,0.9647058823529411
2020-01-02,183551.26647649,178535.29076676004,175865.09822254005,171907.10948938003,173087.78546342,195743.89871128,0.9660130718954247
2020-01-12,179687.04647649,175172.94076676003,172721.56822254005,167297.77948938,168522.12546342003,192433.14871128,0.949673202614379
2020-01-28,177738.94647649,173606.71076676005,171355.18822254002,165527.12948938,165634.58546342,191108.84871128,0.9431372549019608
2020-01-30,182990.03647649003,178618.40076676005,176322.23822254,171626.53948938,170251.13546341998,196670.90871128,0.9705882352941175
2020-02-05,190465.35563714002,186507.37070769005,184309.03605863,177040.95052476999,177680.36936296002,204558.70073208,0.9607843137254901
2020-02-11,191435.14563714,187360.31070769005,185106.75605863004,175379.80052477,178845.08936296002,205393.60073208,0.9647058823529411
2020-02-12,186974.29563714,182806.33070769004,180348.72605863,172843.17052477,176516.34936296,199827.60073208,0.9385620915032679
2020-02-16,185631.92563714,181597.53070769005,179250.56605863004,169573.97052477,174616.26936296,198714.40073208,0.9333333333333332
2020-02-18,183593.90563714004,179679.83070769007,177362.90605863003,167080.80052477,172733.26936296,196627.15073208002,0.9235294117647059
2020-02-23,188982.67563714003,185565.71070769004,183908.92605863005,167167.76052477,172651.59936296003,204697.85073208003,0.961437908496732
2020-02-24,184955.00563714,181872.37070769005,180455.46605863003,161955.04052477,167605.45936296,201079.95073208,0.9444444444444443
2020-03-03,175981.22566914003,173073.13091274007,171488.57104758007,152401.33348892,162660.30073948,189726.39575008003,0.8477124183006536
2020-03-08,175160.47566914,172360.88091274005,171471.68104758003,147349.60348892002,156595.39168586,190457.79575008003,0.8509803921568627
2020-03-10,160248.07566914,157438.97091274004,156213.51104758008,137050.79348892003,146277.19168586002,173050.47575008002,0.7732026143790849
2020-03-17,133505.27566914,131586.83091274006,131056.44104758005,109075.76348892001,118433.04168586001,145696.11575008003,0.6509803921568628
2020-03-19,125338.48566914,123506.39091274004,122422.69104758004,105244.75348892002,115746.36168586001,135456.51575008003,0.6052287581699346
2020-04-02,145881.57395044004,143033.02378485005,141663.94721200006,127974.49882203,136188.03999516,155533.00403138006,0.6509803921568628
2020-04-05,145837.16395044,143014.15378485003,141870.57721200003,124683.32882203002,134410.01999516002,156001.45403138,0.6529411764705882
2020-04-06,143897.93395044,141003.16378485004,139450.56721200002,126631.35882203002,135855.77999515997,152878.45403138,0.6398692810457516
