date,asset_type,symbol,action,shares,price,value,fee,reason
2019-02-05,STOCK,CCAP,BUY,2333.0,3.7618799999999997,8776.46604,22.552932079999998,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ORHD,BUY,1176.0,7.46373,8777.34648,22.55469296,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ABUK,BUY,376.0,23.31165,8765.1804,22.5303608,stock_sleeve_rebalance_buy
2019-02-05,STOCK,GBCO,BUY,1726.0,5.08254,8772.464039999999,22.54492808,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EAST,BUY,718.0,12.216105,8771.16339,22.54232678,stock_sleeve_rebalance_buy
2019-02-05,STOCK,JUFO,BUY,731.0,11.995994999999999,8769.072344999999,22.53814469,stock_sleeve_rebalance_buy
2019-02-05,STOCK,VLMR,BUY,4499.0,1.950975,8777.436525,22.554873049999998,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EGAL,BUY,366.0,23.921955,8755.43553,22.510871060000003,stock_sleeve_rebalance_buy
2019-02-05,STOCK,TMGH,BUY,792.0,11.075535,8771.82372,22.54364744,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EGCH,BUY,1457.0,6.023009999999999,8775.52557,22.55105114,stock_sleeve_rebalance_buy
2019-02-05,ETF,EGX30_ETF,BUY,1467.0,15.007499999999999,22016.0025,44.032005,core_rebalance_cash_sweep
2019-04-17,ETF,EGX30_ETF,BUY,126.0,15.737865,1982.9709899999998,3.9659419799999998,monthly_core_dca
2019-04-17,STOCK,CCAP,BUY,214.0,3.70185,792.1958999999999,6.5843918,monthly_satellite_dca
2019-04-17,STOCK,ORHD,BUY,112.0,7.023509999999999,786.6331199999998,6.57326624,monthly_satellite_dca
2019-04-17,STOCK,ABUK,BUY,29.0,26.923454999999997,780.7801949999999,6.56156039,monthly_satellite_dca
2019-04-17,STOCK,GBCO,BUY,174.0,4.552275,792.0958499999999,6.5841917,monthly_satellite_dca
2019-04-17,STOCK,EAST,BUY,57.0,13.74687,783.57159,6.56714318,monthly_satellite_dca
2019-04-17,STOCK,JUFO,BUY,61.0,12.98649,792.17589,6.58435178,monthly_satellite_dca
2019-04-17,STOCK,VLMR,BUY,372.0,2.131065,792.75618,6.58551236,monthly_satellite_dca
2019-04-17,STOCK,EGAL,BUY,43.0,18.059025,776.5380749999999,6.55307615,monthly_satellite_dca
2019-04-17,STOCK,TMGH,BUY,67.0,11.8059,790.9952999999999,6.5819906,monthly_satellite_dca
2019-04-17,STOCK,EGCH,BUY,157.0,5.052524999999999,793.2464249999999,6.58649285,monthly_satellite_dca
2019-05-21,ETF,EGX30_ETF,BUY,129.0,15.4077,1987.5933,3.9751866000000002,monthly_core_dca
2019-05-21,STOCK,CCAP,BUY,241.0,3.291645,793.286445,6.58657289,monthly_satellite_dca
2019-05-21,STOCK,ORHD,BUY,133.0,5.932964999999999,789.0843449999999,6.57816869,monthly_satellite_dca
2019-05-21,STOCK,ABUK,BUY,32.0,24.102044999999997,771.2654399999999,6.54253088,monthly_satellite_dca
2019-05-21,STOCK,GBCO,BUY,204.0,3.8719349999999997,789.87474,6.57974948,monthly_satellite_dca
2019-05-21,STOCK,EAST,BUY,67.0,11.775884999999999,788.984295,6.57796859,monthly_satellite_dca
2019-05-21,STOCK,JUFO,BUY,68.0,11.505749999999999,782.391,6.564782,monthly_satellite_dca
2019-05-21,STOCK,VLMR,BUY,368.0,2.1510749999999996,791.5955999999999,6.5831912,monthly_satellite_dca
2019-05-21,STOCK,EGAL,BUY,64.0,12.296145,786.95328,6.57390656,monthly_satellite_dca
2019-05-21,STOCK,TMGH,BUY,75.0,10.475235,785.642625,6.57128525,monthly_satellite_dca
2019-05-21,STOCK,EGCH,BUY,196.0,4.04202,792.23592,6.58447184,monthly_satellite_dca
2019-07-09,,EGAL,SELL,473.0,13.483255000000002,6377.579615000001,12.755159230000002,core_satellite_selection_exit
2019-07-09,,EGCH,SELL,1810.0,5.29735,9588.2035,19.176407,core_satellite_selection_exit
2019-07-09,STOCK,CCAP,SELL,145.0,3.9680150000000003,575.3621750000001,1.1507243500000002,stock_sleeve_trim
2019-07-09,STOCK,ORHD,BUY,158.0,6.643319999999999,1049.64456,7.09928912,stock_sleeve_rebalance_buy
2019-07-09,STOCK,ABUK,BUY,4.0,23.761875,95.0475,5.190095,stock_sleeve_rebalance_buy
2019-07-09,STOCK,EAST,BUY,41.0,11.875934999999998,486.91333499999996,5.97382667,stock_sleeve_rebalance_buy
2019-07-09,STOCK,VLMR,BUY,111.0,1.96098,217.66878,5.43533756,stock_sleeve_rebalance_buy
2019-07-09,STOCK,JUFO,BUY,177.0,10.105049999999999,1788.5938499999997,8.5771877,stock_sleeve_rebalance_buy
2019-07-09,STOCK,TMGH,BUY,46.0,10.695345,491.98587,5.98397174,stock_sleeve_rebalance_buy
2019-07-09,STOCK,GBCO,BUY,428.0,4.1420699999999995,1772.8059599999997,8.545611919999999,stock_sleeve_rebalance_buy
2019-07-09,STOCK,RAYA,BUY,43589.0,0.24011999999999997,10466.59068,25.93318136,stock_sleeve_rebalance_buy
2019-07-09,STOCK,ADIB,BUY,1278.0,7.963979999999999,10177.966439999998,25.355932879999997,stock_sleeve_rebalance_buy
2019-08-21,ETF,EGX30_ETF,BUY,129.0,15.4077,1987.5933,3.9751866000000002,monthly_core_dca
2019-08-21,STOCK,CCAP,BUY,290.0,2.731365,792.0958499999999,6.5841917,monthly_satellite_dca
2019-08-21,STOCK,ORHD,BUY,109.0,7.233615,788.4640350000001,6.57692807,monthly_satellite_dca
2019-08-21,STOCK,ABUK,BUY,36.0,21.99099,791.67564,6.5833512800000005,monthly_satellite_dca
2019-08-21,STOCK,EAST,BUY,68.0,11.655825,792.5961,6.5851922,monthly_satellite_dca
2019-08-21,STOCK,VLMR,BUY,390.0,2.0310149999999996,792.0958499999998,6.5841917,monthly_satellite_dca
2019-08-21,STOCK,JUFO,BUY,79.0,10.035015,792.766185,6.58553237,monthly_satellite_dca
2019-08-21,STOCK,TMGH,BUY,69.0,11.425709999999999,788.3739899999999,6.57674798,monthly_satellite_dca
2019-08-21,STOCK,GBCO,BUY,188.0,4.212104999999999,791.8757399999998,6.58375148,monthly_satellite_dca
2019-08-21,STOCK,RAYA,BUY,3604.0,0.22011,793.27644,6.58655288,monthly_satellite_dca
2019-08-21,STOCK,ADIB,BUY,96.0,8.234115,790.4750399999999,6.58095008,monthly_satellite_dca
2019-09-02,ETF,EGX30_ETF,BUY,133.0,15.007499999999999,1995.9974999999997,3.9919949999999997,monthly_core_dca
2019-09-02,STOCK,CCAP,BUY,295.0,2.68134,790.9953,6.5819906,monthly_satellite_dca
2019-09-02,STOCK,ORHD,BUY,110.0,7.193595,791.2954500000001,6.5825909000000005,monthly_satellite_dca
2019-09-02,STOCK,ABUK,BUY,35.0,22.361175,782.641125,6.56528225,monthly_satellite_dca
2019-09-02,STOCK,EAST,BUY,69.0,11.4057,786.9933,6.5739866,monthly_satellite_dca
2019-09-02,STOCK,VLMR,BUY,365.0,2.1710849999999997,792.4460249999998,6.58489205,monthly_satellite_dca
2019-09-02,STOCK,JUFO,BUY,80.0,9.814905,785.1923999999999,6.570384799999999,monthly_satellite_dca
2019-09-02,STOCK,TMGH,BUY,68.0,11.66583,793.27644,6.58655288,monthly_satellite_dca
2019-09-02,STOCK,GBCO,BUY,183.0,4.32216,790.95528,6.58191056,monthly_satellite_dca
2019-09-02,STOCK,RAYA,BUY,3604.0,0.22011,793.27644,6.58655288,monthly_satellite_dca
2019-09-02,STOCK,ADIB,BUY,82.0,9.624809999999998,789.2344199999999,6.578468839999999,monthly_satellite_dca
2019-10-24,ETF,EGX30_ETF,BUY,133.0,14.907449999999999,1982.69085,3.9653817,monthly_core_dca
2019-10-24,STOCK,CCAP,BUY,334.0,2.371185,791.9757900000001,6.58395158,monthly_satellite_dca
2019-10-24,STOCK,ORHD,BUY,120.0,6.5932949999999995,791.1954,6.5823908,monthly_satellite_dca
2019-10-24,STOCK,ABUK,BUY,37.0,21.070529999999998,779.60961,6.55921922,monthly_satellite_dca
2019-10-24,STOCK,EAST,BUY,68.0,11.575785,787.15338,6.57430676,monthly_satellite_dca
2019-10-24,STOCK,VLMR,BUY,377.0,2.10105,792.0958499999999,6.5841917,monthly_satellite_dca
2019-10-24,STOCK,JUFO,BUY,95.0,8.314155,789.8447249999999,6.57968945,monthly_satellite_dca
2019-10-24,STOCK,TMGH,BUY,80.0,9.814905,785.1923999999999,6.570384799999999,monthly_satellite_dca
2019-10-24,STOCK,GBCO,BUY,231.0,3.4217099999999996,790.4150099999999,6.58083002,monthly_satellite_dca
2019-10-24,STOCK,RAYA,BUY,3447.0,0.230115,793.2064049999999,6.58641281,monthly_satellite_dca
2019-10-24,STOCK,ADIB,BUY,90.0,8.784389999999998,790.5950999999999,6.5811902,monthly_satellite_dca
2019-11-03,ETF,EGX30_ETF,BUY,131.0,15.137565,1983.021015,3.96604203,monthly_core_dca
2019-11-03,STOCK,CCAP,BUY,343.0,2.5712849999999996,881.9507549999998,6.76390151,monthly_satellite_dca
2019-11-03,STOCK,ORHD,BUY,126.0,6.993495,881.18037,6.76236074,monthly_satellite_dca
2019-11-03,STOCK,ABUK,BUY,39.0,22.17108,864.67212,6.72934424,monthly_satellite_dca
2019-11-03,STOCK,EAST,BUY,73.0,11.975985,874.246905,6.74849381,monthly_satellite_dca
2019-11-03,STOCK,VLMR,BUY,413.0,2.131065,880.129845,6.76025969,monthly_satellite_dca
2019-11-03,STOCK,JUFO,BUY,103.0,8.504249999999999,875.9377499999999,6.7518755,monthly_satellite_dca
2019-11-03,STOCK,TMGH,BUY,88.0,9.954975,876.0378,6.7520755999999995,monthly_satellite_dca
2019-11-03,STOCK,GBCO,BUY,238.0,3.70185,881.0403,6.7620806,monthly_satellite_dca
2019-11-03,STOCK,ADIB,BUY,99.0,8.88444,879.5595599999999,6.759119119999999,monthly_satellite_dca
2019-12-03,ETF,EGX30_ETF,BUY,623.0,14.4072,8975.685599999999,17.951371199999997,monthly_core_dca
2019-12-03,STOCK,CCAP,BUY,50.0,2.091045,104.55224999999999,5.2091045,monthly_satellite_dca
2019-12-03,STOCK,ORHD,BUY,16.0,6.273134999999999,100.37015999999998,5.2007403199999995,monthly_satellite_dca
2019-12-03,STOCK,ABUK,BUY,5.0,20.990489999999998,104.95244999999998,5.2099049,monthly_satellite_dca
2019-12-03,STOCK,EAST,BUY,9.0,10.915455,98.23909499999999,5.19647819,monthly_satellite_dca
2019-12-03,STOCK,VLMR,BUY,50.0,2.08104,104.05199999999999,5.208104,monthly_satellite_dca
2019-12-03,STOCK,JUFO,BUY,13.0,8.074035,104.962455,5.20992491,monthly_satellite_dca
2019-12-03,STOCK,TMGH,BUY,12.0,8.44422,101.33063999999999,5.20266128,monthly_satellite_dca
2019-12-03,STOCK,GBCO,BUY,29.0,3.58179,103.87191,5.20774382,monthly_satellite_dca
2019-12-03,STOCK,ADIB,BUY,12.0,8.294144999999999,99.52973999999998,5.19905948,monthly_satellite_dca
2020-01-02,,GBCO,SELL,3401.0,3.6781600000000005,12509.422160000002,25.018844320000003,core_satellite_selection_exit
2020-01-02,,JUFO,SELL,1407.0,8.625685,12136.338795000001,24.272677590000004,core_satellite_selection_exit
2020-01-02,,RAYA,SELL,54244.0,0.22988500000000003,12469.881940000001,24.93976388,core_satellite_selection_exit
2020-01-02,,TMGH,SELL,1297.0,8.165915,10591.191755,21.18238351,core_satellite_selection_exit
2020-01-02,STOCK,ORHD,SELL,1686.0,6.816590000000001,11492.770740000002,22.985541480000006,stock_sleeve_trim
2020-01-02,STOCK,VLMR,SELL,5689.0,2.028985,11542.895665,23.08579133,stock_sleeve_trim
2020-01-02,STOCK,CCAP,SELL,2909.0,2.43878,7094.41102,14.18882204,stock_sleeve_trim
2020-01-02,STOCK,EAST,SELL,949.0,11.57421,10983.925290000001,21.967850580000004,stock_sleeve_trim
2020-01-02,STOCK,ADIB,SELL,1357.0,8.51574,11555.85918,23.11171836,stock_sleeve_trim
2020-01-02,STOCK,ABUK,SELL,471.0,20.899545,9843.685695,19.68737139,stock_sleeve_trim
2020-01-02,STOCK,COMI,BUY,61.0,41.40069,2525.44209,10.05088418,stock_sleeve_rebalance_buy
2020-01-02,ETF,EGX30_ETF,BUY,7826.0,15.007499999999999,117448.69499999999,234.89739,core_rebalance_cash_sweep
2020-02-05,ETF,EGX30_ETF,BUY,604.0,14.857425,8973.884699999999,17.9477694,monthly_core_dca
2020-02-05,STOCK,ORHD,BUY,23.0,5.7528749999999995,132.316125,5.26463225,monthly_satellite_dca
2020-02-05,STOCK,COMI,BUY,3.0,42.98148,128.94444,5.25788888,monthly_satellite_dca
2020-02-05,STOCK,VLMR,BUY,71.0,1.9309649999999998,137.098515,5.27419703,monthly_satellite_dca
2020-02-05,STOCK,CCAP,BUY,59.0,2.331165,137.538735,5.27507747,monthly_satellite_dca
2020-02-05,STOCK,EAST,BUY,12.0,10.995495,131.94594,5.26389188,monthly_satellite_dca
2020-02-05,STOCK,ADIB,BUY,15.0,8.684339999999999,130.2651,5.2605302,monthly_satellite_dca
2020-02-05,STOCK,ABUK,BUY,6.0,20.31015,121.8609,5.2437218,monthly_satellite_dca
2020-03-03,ETF,EGX30_ETF,BUY,641.0,14.007,8978.487,17.956974,monthly_core_dca
2020-03-03,STOCK,ORHD,BUY,36.0,3.791895,136.50822,5.27301644,monthly_satellite_dca
2020-03-03,STOCK,COMI,BUY,3.0,39.009495,117.028485,5.23405697,monthly_satellite_dca
2020-03-03,STOCK,VLMR,BUY,76.0,1.790895,136.10801999999998,5.27221604,monthly_satellite_dca
2020-03-03,STOCK,CCAP,BUY,78.0,1.750875,136.56825,5.2731365,monthly_satellite_dca
2020-03-03,STOCK,EAST,BUY,13.0,9.86493,128.24409,5.25648818,monthly_satellite_dca
2020-03-03,STOCK,ADIB,BUY,16.0,8.434215,134.94744,5.26989488,monthly_satellite_dca
2020-03-03,STOCK,ABUK,BUY,8.0,15.38769,123.10152,5.24620304,monthly_satellite_dca
2020-04-02,ETF,EGX30_ETF,BUY,888.0,10.105049999999999,8973.284399999999,17.946568799999998,monthly_core_dca
2020-04-02,STOCK,ORHD,BUY,59.0,2.30115,135.76784999999998,5.2715357,monthly_satellite_dca
2020-04-02,STOCK,COMI,BUY,4.0,28.79439,115.17756,5.23035512,monthly_satellite_dca
2020-04-02,STOCK,VLMR,BUY,96.0,1.430715,137.34864,5.27469728,monthly_satellite_dca
2020-04-02,STOCK,CCAP,BUY,129.0,1.06053,136.80837,5.27361674,monthly_satellite_dca
