date,asset_type,symbol,action,shares,price,value,fee,reason
2019-02-05,STOCK,CCAP,BUY,1944.0,3.7618799999999997,7313.094719999999,19.626189439999997,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ORHD,BUY,979.0,7.46373,7306.99167,19.61398334,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ABUK,BUY,313.0,23.31165,7296.54645,19.593092900000002,stock_sleeve_rebalance_buy
2019-02-05,STOCK,GBCO,BUY,1438.0,5.08254,7308.69252,19.617385040000002,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EAST,BUY,598.0,12.216105,7305.2307900000005,19.61046158,stock_sleeve_rebalance_buy
2019-02-05,STOCK,JUFO,BUY,609.0,11.995994999999999,7305.560954999999,19.611121909999998,stock_sleeve_rebalance_buy
2019-02-05,STOCK,VLMR,BUY,3748.0,1.950975,7312.2543,19.6245086,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EGAL,BUY,305.0,23.921955,7296.196275,19.59239255,stock_sleeve_rebalance_buy
2019-02-05,STOCK,TMGH,BUY,660.0,11.075535,7309.8531,19.619706200000003,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EGCH,BUY,1214.0,6.023009999999999,7311.934139999999,19.62386828,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EMFD,BUY,2064.0,3.5417699999999996,7310.213279999999,19.62042656,stock_sleeve_rebalance_buy
2019-02-05,STOCK,RAYA,BUY,28115.0,0.26013,7313.554949999999,19.627109899999997,stock_sleeve_rebalance_buy
2019-02-05,ETF,EGX30_ETF,BUY,1467.0,15.007499999999999,22016.0025,44.032005,core_rebalance_cash_sweep
2019-04-17,ETF,EGX30_ETF,BUY,126.0,15.737865,1982.9709899999998,3.9659419799999998,monthly_core_dca
2019-04-17,STOCK,CCAP,BUY,194.0,3.70185,718.1589,6.4363178,monthly_satellite_dca
2019-04-17,STOCK,ORHD,BUY,102.0,7.023509999999999,716.3980199999999,6.4327960399999995,monthly_satellite_dca
2019-04-17,STOCK,ABUK,BUY,26.0,26.923454999999997,700.00983,6.40001966,monthly_satellite_dca
2019-04-17,STOCK,GBCO,BUY,158.0,4.552275,719.25945,6.4385189,monthly_satellite_dca
2019-04-17,STOCK,EAST,BUY,52.0,13.74687,714.83724,6.42967448,monthly_satellite_dca
2019-04-17,STOCK,JUFO,BUY,55.0,12.98649,714.25695,6.4285139000000004,monthly_satellite_dca
2019-04-17,STOCK,VLMR,BUY,338.0,2.131065,720.29997,6.44059994,monthly_satellite_dca
2019-04-17,STOCK,EGAL,BUY,39.0,18.059025,704.301975,6.40860395,monthly_satellite_dca
2019-04-17,STOCK,TMGH,BUY,61.0,11.8059,720.1599,6.4403198,monthly_satellite_dca
2019-04-17,STOCK,EGCH,BUY,142.0,5.052524999999999,717.45855,6.4349171,monthly_satellite_dca
2019-04-17,STOCK,EMFD,BUY,205.0,3.5117549999999995,719.9097749999999,6.439819549999999,monthly_satellite_dca
2019-05-21,ETF,EGX30_ETF,BUY,129.0,15.4077,1987.5933,3.9751866000000002,monthly_core_dca
2019-05-21,STOCK,CCAP,BUY,200.0,3.291645,658.329,6.316658,monthly_satellite_dca
2019-05-21,STOCK,ORHD,BUY,111.0,5.932964999999999,658.5591149999999,6.31711823,monthly_satellite_dca
2019-05-21,STOCK,ABUK,BUY,27.0,24.102044999999997,650.7552149999999,6.3015104299999996,monthly_satellite_dca
2019-05-21,STOCK,GBCO,BUY,170.0,3.8719349999999997,658.2289499999999,6.3164579,monthly_satellite_dca
2019-05-21,STOCK,EAST,BUY,56.0,11.775884999999999,659.4495599999999,6.318899119999999,monthly_satellite_dca
2019-05-21,STOCK,JUFO,BUY,57.0,11.505749999999999,655.8277499999999,6.3116555,monthly_satellite_dca
2019-05-21,STOCK,VLMR,BUY,306.0,2.1510749999999996,658.2289499999999,6.3164579,monthly_satellite_dca
2019-05-21,STOCK,EGAL,BUY,53.0,12.296145,651.6956849999999,6.30339137,monthly_satellite_dca
2019-05-21,STOCK,TMGH,BUY,63.0,10.475235,659.939805,6.31987961,monthly_satellite_dca
2019-05-21,STOCK,EGCH,BUY,163.0,4.04202,658.84926,6.31769852,monthly_satellite_dca
2019-05-21,STOCK,EMFD,BUY,220.0,2.991495,658.1289,6.3162578,monthly_satellite_dca
2019-05-21,STOCK,RAYA,BUY,2444.0,0.270135,660.2099400000001,6.32041988,monthly_satellite_dca
2019-07-09,ETF,EGX30_ETF,BUY,129.0,15.4077,1987.5933,3.9751866000000002,monthly_core_dca
2019-07-09,STOCK,CCAP,BUY,166.0,3.971985,659.34951,6.31869902,monthly_satellite_dca
2019-07-09,STOCK,ORHD,BUY,99.0,6.643319999999999,657.68868,6.31537736,monthly_satellite_dca
2019-07-09,STOCK,ABUK,BUY,27.0,23.761875,641.570625,6.28314125,monthly_satellite_dca
2019-07-09,STOCK,GBCO,BUY,159.0,4.1420699999999995,658.58913,6.31717826,monthly_satellite_dca
2019-07-09,STOCK,EAST,BUY,55.0,11.875934999999998,653.1764249999999,6.30635285,monthly_satellite_dca
2019-07-09,STOCK,JUFO,BUY,65.0,10.105049999999999,656.8282499999999,6.3136565,monthly_satellite_dca
2019-07-09,STOCK,VLMR,BUY,336.0,1.96098,658.88928,6.31777856,monthly_satellite_dca
2019-07-09,STOCK,EGAL,BUY,48.0,13.496744999999999,647.84376,6.2956875199999995,monthly_satellite_dca
2019-07-09,STOCK,TMGH,BUY,61.0,10.695345,652.4160449999999,6.30483209,monthly_satellite_dca
2019-07-09,STOCK,EGCH,BUY,124.0,5.30265,657.5286,6.3150572,monthly_satellite_dca
2019-07-09,STOCK,EMFD,BUY,198.0,3.3216599999999996,657.68868,6.31537736,monthly_satellite_dca
2019-07-09,STOCK,RAYA,BUY,2750.0,0.24011999999999997,660.3299999999999,6.32066,monthly_satellite_dca
2019-08-21,ETF,EGX30_ETF,BUY,129.0,15.4077,1987.5933,3.9751866000000002,monthly_core_dca
2019-08-21,STOCK,CCAP,BUY,241.0,2.731365,658.258965,6.31651793,monthly_satellite_dca
2019-08-21,STOCK,ORHD,BUY,91.0,7.233615,658.258965,6.31651793,monthly_satellite_dca
2019-08-21,STOCK,ABUK,BUY,30.0,21.99099,659.7297,6.3194593999999995,monthly_satellite_dca
2019-08-21,STOCK,GBCO,BUY,156.0,4.212104999999999,657.0883799999999,6.31417676,monthly_satellite_dca
2019-08-21,STOCK,EAST,BUY,56.0,11.655825,652.7262000000001,6.3054524,monthly_satellite_dca
2019-08-21,STOCK,JUFO,BUY,65.0,10.035015,652.275975,6.3045519500000005,monthly_satellite_dca
2019-08-21,STOCK,VLMR,BUY,325.0,2.0310149999999996,660.0798749999999,6.32015975,monthly_satellite_dca
2019-08-21,STOCK,EGAL,BUY,47.0,14.037014999999998,659.739705,6.31947941,monthly_satellite_dca
2019-08-21,STOCK,TMGH,BUY,57.0,11.425709999999999,651.2654699999999,6.30253094,monthly_satellite_dca
2019-08-21,STOCK,EGCH,BUY,126.0,5.2026,655.5276,6.3110552,monthly_satellite_dca
2019-08-21,STOCK,EMFD,BUY,197.0,3.3416699999999997,658.30899,6.31661798,monthly_satellite_dca
2019-08-21,STOCK,RAYA,BUY,3000.0,0.22011,660.33,6.32066,monthly_satellite_dca
2019-09-02,ETF,EGX30_ETF,BUY,133.0,15.007499999999999,1995.9974999999997,3.9919949999999997,monthly_core_dca
2019-09-02,STOCK,CCAP,BUY,246.0,2.68134,659.60964,6.31921928,monthly_satellite_dca
2019-09-02,STOCK,ORHD,BUY,91.0,7.193595,654.617145,6.30923429,monthly_satellite_dca
2019-09-02,STOCK,ABUK,BUY,29.0,22.361175,648.474075,6.29694815,monthly_satellite_dca
2019-09-02,STOCK,GBCO,BUY,152.0,4.32216,656.9683200000001,6.31393664,monthly_satellite_dca
2019-09-02,STOCK,EAST,BUY,57.0,11.4057,650.1249,6.3002498,monthly_satellite_dca
2019-09-02,STOCK,JUFO,BUY,67.0,9.814905,657.598635,6.31519727,monthly_satellite_dca
2019-09-02,STOCK,VLMR,BUY,304.0,2.1710849999999997,660.0098399999999,6.32001968,monthly_satellite_dca
2019-09-02,STOCK,EGAL,BUY,47.0,13.946969999999999,655.5075899999999,6.31101518,monthly_satellite_dca
2019-09-02,STOCK,TMGH,BUY,56.0,11.66583,653.28648,6.3065729600000004,monthly_satellite_dca
2019-09-02,STOCK,EGCH,BUY,126.0,5.2026,655.5276,6.3110552,monthly_satellite_dca
2019-09-02,STOCK,EMFD,BUY,209.0,3.151575,658.679175,6.31735835,monthly_satellite_dca
2019-09-02,STOCK,RAYA,BUY,3000.0,0.22011,660.33,6.32066,monthly_satellite_dca
2019-10-24,ETF,EGX30_ETF,BUY,133.0,14.907449999999999,1982.69085,3.9653817,monthly_core_dca
2019-10-24,STOCK,CCAP,BUY,278.0,2.371185,659.18943,6.31837886,monthly_satellite_dca
2019-10-24,STOCK,ORHD,BUY,100.0,6.5932949999999995,659.3294999999999,6.318659,monthly_satellite_dca
2019-10-24,STOCK,ABUK,BUY,31.0,21.070529999999998,653.18643,6.30637286,monthly_satellite_dca
2019-10-24,STOCK,GBCO,BUY,192.0,3.4217099999999996,656.96832,6.31393664,monthly_satellite_dca
2019-10-24,STOCK,EAST,BUY,57.0,11.575785,659.819745,6.31963949,monthly_satellite_dca
2019-10-24,STOCK,JUFO,BUY,79.0,8.314155,656.8182449999999,6.31363649,monthly_satellite_dca
2019-10-24,STOCK,VLMR,BUY,314.0,2.10105,659.7297,6.3194593999999995,monthly_satellite_dca
2019-10-24,STOCK,EGAL,BUY,54.0,12.216105,659.66967,6.31933934,monthly_satellite_dca
2019-10-24,STOCK,TMGH,BUY,67.0,9.814905,657.598635,6.31519727,monthly_satellite_dca
2019-10-24,STOCK,EGCH,BUY,151.0,4.36218,658.6891800000001,6.31737836,monthly_satellite_dca
2019-10-24,STOCK,EMFD,BUY,222.0,2.96148,657.4485599999999,6.3148971199999995,monthly_satellite_dca
2019-10-24,STOCK,RAYA,BUY,2869.0,0.230115,660.199935,6.32039987,monthly_satellite_dca
2019-11-03,ETF,EGX30_ETF,BUY,131.0,15.137565,1983.021015,3.96604203,monthly_core_dca
2019-11-03,STOCK,CCAP,BUY,280.0,2.5712849999999996,719.9597999999999,6.4399196,monthly_satellite_dca
2019-11-03,STOCK,ORHD,BUY,103.0,6.993495,720.3299850000001,6.4406599700000005,monthly_satellite_dca
2019-11-03,STOCK,ABUK,BUY,32.0,22.17108,709.47456,6.41894912,monthly_satellite_dca
2019-11-03,STOCK,GBCO,BUY,194.0,3.70185,718.1589,6.4363178,monthly_satellite_dca
2019-11-03,STOCK,EAST,BUY,60.0,11.975985,718.5591,6.4371182000000005,monthly_satellite_dca
2019-11-03,STOCK,JUFO,BUY,84.0,8.504249999999999,714.357,6.428714,monthly_satellite_dca
2019-11-03,STOCK,VLMR,BUY,338.0,2.131065,720.29997,6.44059994,monthly_satellite_dca
2019-11-03,STOCK,EGAL,BUY,53.0,13.596794999999998,720.6301349999999,6.44126027,monthly_satellite_dca
2019-11-03,STOCK,TMGH,BUY,72.0,9.954975,716.7582,6.4335164,monthly_satellite_dca
2019-11-03,STOCK,EGCH,BUY,148.0,4.852424999999999,718.1588999999999,6.436317799999999,monthly_satellite_dca
2019-11-03,STOCK,EMFD,BUY,235.0,3.06153,719.4595499999999,6.4389191,monthly_satellite_dca
2019-12-03,ETF,EGX30_ETF,BUY,623.0,14.4072,8975.685599999999,17.951371199999997,monthly_core_dca
2019-12-03,STOCK,CCAP,BUY,41.0,2.091045,85.732845,5.17146569,monthly_satellite_dca
2019-12-03,STOCK,ORHD,BUY,13.0,6.273134999999999,81.55075499999998,5.16310151,monthly_satellite_dca
2019-12-03,STOCK,ABUK,BUY,4.0,20.990489999999998,83.96195999999999,5.16792392,monthly_satellite_dca
2019-12-03,STOCK,GBCO,BUY,23.0,3.58179,82.38117,5.16476234,monthly_satellite_dca
2019-12-03,STOCK,EAST,BUY,7.0,10.915455,76.408185,5.15281637,monthly_satellite_dca
2019-12-03,STOCK,JUFO,BUY,10.0,8.074035,80.74035,5.1614807,monthly_satellite_dca
2019-12-03,STOCK,VLMR,BUY,41.0,2.08104,85.32263999999999,5.17064528,monthly_satellite_dca
2019-12-03,STOCK,EGAL,BUY,6.0,13.186589999999999,79.11954,5.15823908,monthly_satellite_dca
2019-12-03,STOCK,TMGH,BUY,10.0,8.44422,84.4422,5.1688844,monthly_satellite_dca
2019-12-03,STOCK,EGCH,BUY,19.0,4.492245,85.352655,5.17070531,monthly_satellite_dca
2019-12-03,STOCK,EMFD,BUY,31.0,2.731365,84.672315,5.16934463,monthly_satellite_dca
2020-01-02,,EGAL,SELL,652.0,14.412790000000001,9397.13908,18.79427816,core_satellite_selection_exit
2020-01-02,,EGCH,SELL,2213.0,4.5977,10174.710099999998,20.349420199999997,core_satellite_selection_exit
2020-01-02,,EMFD,SELL,3581.0,2.91854,10451.29174,20.90258348,core_satellite_selection_exit
2020-01-02,,GBCO,SELL,2642.0,3.6781600000000005,9717.698720000002,19.435397440000006,core_satellite_selection_exit
2020-01-02,,JUFO,SELL,1091.0,8.625685,9410.622335,18.82124467,core_satellite_selection_exit
2020-01-02,,RAYA,SELL,42178.0,0.22988500000000003,9696.089530000001,19.392179060000004,core_satellite_selection_exit
2020-01-02,,TMGH,SELL,1107.0,8.165915,9039.667905,18.07933581,core_satellite_selection_exit
2020-01-02,STOCK,ORHD,SELL,1316.0,6.816590000000001,8970.632440000001,17.941264880000002,stock_sleeve_trim
2020-01-02,STOCK,VLMR,SELL,4797.0,2.028985,9733.041045,19.46608209,stock_sleeve_trim
2020-01-02,STOCK,CCAP,SELL,2547.0,2.43878,6211.57266,12.42314532,stock_sleeve_trim
2020-01-02,STOCK,EAST,SELL,778.0,11.57421,9004.73538,18.00947076,stock_sleeve_trim
2020-01-02,STOCK,ABUK,SELL,397.0,20.899545,8297.119365,16.59423873,stock_sleeve_trim
2020-01-02,STOCK,COMI,BUY,61.0,41.40069,2525.44209,10.05088418,stock_sleeve_rebalance_buy
2020-01-02,STOCK,ADIB,BUY,297.0,8.52426,2531.70522,10.06341044,stock_sleeve_rebalance_buy
2020-01-02,ETF,EGX30_ETF,BUY,7663.0,15.007499999999999,115002.47249999999,230.004945,core_rebalance_cash_sweep
2020-02-05,ETF,EGX30_ETF,BUY,604.0,14.857425,8973.884699999999,17.9477694,monthly_core_dca
2020-02-05,STOCK,ORHD,BUY,23.0,5.7528749999999995,132.316125,5.26463225,monthly_satellite_dca
2020-02-05,STOCK,COMI,BUY,3.0,42.98148,128.94444,5.25788888,monthly_satellite_dca
2020-02-05,STOCK,VLMR,BUY,71.0,1.9309649999999998,137.098515,5.27419703,monthly_satellite_dca
2020-02-05,STOCK,CCAP,BUY,59.0,2.331165,137.538735,5.27507747,monthly_satellite_dca
2020-02-05,STOCK,EAST,BUY,12.0,10.995495,131.94594,5.26389188,monthly_satellite_dca
2020-02-05,STOCK,ADIB,BUY,15.0,8.684339999999999,130.2651,5.2605302,monthly_satellite_dca
2020-02-05,STOCK,ABUK,BUY,6.0,20.31015,121.8609,5.2437218,monthly_satellite_dca
2020-03-03,ETF,EGX30_ETF,BUY,641.0,14.007,8978.487,17.956974,monthly_core_dca
2020-03-03,STOCK,ORHD,BUY,36.0,3.791895,136.50822,5.27301644,monthly_satellite_dca
2020-03-03,STOCK,COMI,BUY,3.0,39.009495,117.028485,5.23405697,monthly_satellite_dca
2020-03-03,STOCK,VLMR,BUY,76.0,1.790895,136.10801999999998,5.27221604,monthly_satellite_dca
2020-03-03,STOCK,CCAP,BUY,78.0,1.750875,136.56825,5.2731365,monthly_satellite_dca
2020-03-03,STOCK,EAST,BUY,13.0,9.86493,128.24409,5.25648818,monthly_satellite_dca
2020-03-03,STOCK,ADIB,BUY,16.0,8.434215,134.94744,5.26989488,monthly_satellite_dca
2020-03-03,STOCK,ABUK,BUY,8.0,15.38769,123.10152,5.24620304,monthly_satellite_dca
2020-04-02,ETF,EGX30_ETF,BUY,888.0,10.105049999999999,8973.284399999999,17.946568799999998,monthly_core_dca
2020-04-02,STOCK,ORHD,BUY,59.0,2.30115,135.76784999999998,5.2715357,monthly_satellite_dca
2020-04-02,STOCK,COMI,BUY,4.0,28.79439,115.17756,5.23035512,monthly_satellite_dca
2020-04-02,STOCK,VLMR,BUY,96.0,1.430715,137.34864,5.27469728,monthly_satellite_dca
2020-04-02,STOCK,CCAP,BUY,129.0,1.06053,136.80837,5.27361674,monthly_satellite_dca
2020-04-02,STOCK,EAST,BUY,15.0,9.10455,136.56825,5.2731365,monthly_satellite_dca
2020-04-02,STOCK,ADIB,BUY,20.0,6.62331,132.46620000000001,5.2649324,monthly_satellite_dca
