date,core_satellite_equity,adaptive_balanced_equity,adaptive_aggressive_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2019-02-05,111762.97635642,111709.93043705,111683.72323417,111630.73693064,111630.73693064,111920.07777500001,1.0
2019-02-14,114488.77635642001,114358.26043704999,114292.00323417,114158.24693063999,114158.24693063999,114846.07777500001,1.026143790849673
2019-02-19,113847.50635642,113723.90043705,113660.91323417,113534.17693064001,113534.17693064001,114187.727775,1.0202614379084967
2019-02-21,115441.02635642001,114900.54043705,114629.88323416999,114086.43693063999,114086.43693063999,116821.12777500002,1.0437908496732027
2019-02-28,112574.86635642,112233.41043705001,112062.31323416998,111718.84693064,111718.84693064,113456.227775,1.0137254901960784
2019-04-17,123192.77201365001,122474.80611929,122115.65521893,121393.65566612002,121393.65566612002,125040.58575218002,1.0281045751633986
2019-05-21,120044.76736676,119259.76890437,118867.96935956,118074.71450063003,118074.71450063003,122077.29628838,0.9281045751633986
2019-07-09,136180.72626228002,135518.97350718,135188.16595016,134523.48093519002,134523.48093519002,137930.41830918004,0.9751633986928104
2019-07-11,134192.81626228,132881.69350718003,132226.04595016,130909.68093519,130909.68093519,137560.65830918003,0.9725490196078431
2019-08-21,143647.86533787998,140727.20928145997,139266.73555497,136340.66074509002,136340.66074509002,151056.62032998,0.9980392156862744
2019-08-22,142842.37533788,139875.88928146,138392.47555496998,135419.85074509,135419.85074509,150364.18032998,0.9934640522875816
2019-08-28,140700.64533788,137666.98928146,136150.09555497,133109.00074509,133109.00074509,148385.78032998,0.9803921568627451
2019-09-02,157524.94465958,153867.46152533003,152038.49952053002,148377.55624527004,148377.55624527004,166806.43285498003,1.0326797385620916
2019-09-04,157145.56465958,153039.90152533,150986.82952053,146876.63624527,146876.63624527,167545.42285498002,1.0372549019607842
2019-09-09,157258.76465958,153536.70152533,151676.30952053,147950.83624527,147950.83624527,166700.86285498002,1.0320261437908496
2019-09-17,155876.80465958,151429.66152533,149205.90952053,144754.03624527002,144754.03624527002,167123.14285498002,1.0346405228758169
2019-09-23,144253.34465958,139664.82152533,137369.09952052997,132766.86624527004,132766.86624527004,155827.15285498003,0.9647058823529411
2019-10-24,156111.00266375,151563.03019677,149288.31198048,144727.24907338,144727.24907338,167616.98263688,0.9758169934640523
2019-10-27,156946.96266375,152329.55019677,150019.98198048,145390.43907338002,145390.43907338002,168627.32263688,0.9816993464052287
2019-10-28,157613.02266375,153127.96019677,150884.79198048002,146388.56907338,146388.56907338,168964.10263688004,0.9836601307189542
2019-10-30,160869.74266375002,156613.17019677,154484.01198048,150219.38907338,150219.38907338,171658.34263688,0.9993464052287581
2019-10-31,161178.87266375,157002.11019677,154912.84198048,150727.85907338,150727.85907338,171770.60263688004,1.0
2019-11-03,172041.10386019002,167757.85120614,165615.26210149,161324.53363619003,161324.53363619003,182927.56815108002,1.0058823529411764
2019-11-04,172275.77386019,167753.10120614,165490.87210148998,160960.66363619,160960.66363619,183759.58815108,1.0104575163398692
2019-11-20,167678.17386019,162641.34120614,160124.09210149,155074.00363619,155074.00363619,180431.50815108002,0.992156862745098
2019-11-21,166734.80386018998,161699.94120613998,159183.54210149002,154134.31363618997,154134.31363618997,179480.62815108002,0.9869281045751633
2019-11-27,162872.01386019,158570.84120614,156421.85210149002,152103.28363619,152103.28363619,173775.34815108,0.9555555555555555
