date,asset_type,symbol,action,shares,price,value,fee,reason
2019-02-05,STOCK,CCAP,BUY,4667.0,3.7618799999999997,17556.693959999997,40.113387919999994,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ORHD,BUY,2352.0,7.46373,17554.69296,40.10938592,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ABUK,BUY,753.0,23.31165,17553.672450000002,40.1073449,stock_sleeve_rebalance_buy
2019-02-05,STOCK,GBCO,BUY,3454.0,5.08254,17555.09316,40.110186320000004,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EAST,BUY,1437.0,12.216105,17554.542885000003,40.10908577000001,stock_sleeve_rebalance_buy
2019-02-05,ETF,EGX30_ETF,BUY,1464.0,15.007499999999999,21970.98,43.94196,core_rebalance_cash_sweep
2019-04-17,ETF,EGX30_ETF,BUY,126.0,15.737865,1982.9709899999998,3.9659419799999998,monthly_core_dca
2019-04-17,STOCK,CCAP,BUY,430.0,3.70185,1591.7955,8.183591,monthly_satellite_dca
2019-04-17,STOCK,ORHD,BUY,226.0,7.023509999999999,1587.3132599999997,8.17462652,monthly_satellite_dca
2019-04-17,STOCK,ABUK,BUY,59.0,26.923454999999997,1588.4838449999997,8.17696769,monthly_satellite_dca
2019-04-17,STOCK,GBCO,BUY,349.0,4.552275,1588.7439749999999,8.17748795,monthly_satellite_dca
2019-04-17,STOCK,EAST,BUY,115.0,13.74687,1580.89005,8.1617801,monthly_satellite_dca
2019-05-21,ETF,EGX30_ETF,BUY,129.0,15.4077,1987.5933,3.9751866000000002,monthly_core_dca
2019-05-21,STOCK,CCAP,BUY,483.0,3.291645,1589.864535,8.17972907,monthly_satellite_dca
2019-05-21,STOCK,ORHD,BUY,268.0,5.932964999999999,1590.03462,8.18006924,monthly_satellite_dca
2019-05-21,STOCK,ABUK,BUY,66.0,24.102044999999997,1590.7349699999997,8.18146994,monthly_satellite_dca
2019-05-21,STOCK,GBCO,BUY,411.0,3.8719349999999997,1591.3652849999999,8.18273057,monthly_satellite_dca
2019-05-21,STOCK,EAST,BUY,135.0,11.775884999999999,1589.7444749999997,8.17948895,monthly_satellite_dca
2019-07-09,,GBCO,SELL,4214.0,4.13793,17437.23702,34.87447404,core_satellite_selection_exit
2019-07-09,STOCK,CCAP,SELL,102.0,3.9680150000000003,404.73753000000005,0.8094750600000001,stock_sleeve_trim
2019-07-09,STOCK,ORHD,BUY,427.0,6.643319999999999,2836.69764,10.673395280000001,stock_sleeve_rebalance_buy
2019-07-09,STOCK,ABUK,BUY,37.0,23.761875,879.189375,6.75837875,stock_sleeve_rebalance_buy
