date,symbol,action,shares,price,value,fee,reason
2016-04-19,EGCH,BUY,10519.0,3.2316149999999997,33993.358185,72.98671637,rebound_entry
2016-04-19,HRHO,BUY,7739.0,4.572285,35384.913615,75.76982722999999,rebound_entry
2016-04-19,PHDC,BUY,14158.0,2.631315,37254.15777,79.50831554,rebound_entry
2016-04-27,OIH,BUY,11999.0,2.9014499999999996,34814.49855,74.62899709999999,rebound_entry
2016-04-28,PHDC,SELL,14158.0,2.4887550000000003,35235.79329,75.47158658000001,stop
2016-04-28,EFID,BUY,2598.0,16.50825,42888.4335,90.776867,rebound_entry
2016-05-05,OIH,SELL,11999.0,2.708645,32501.031355000003,70.00206271,stop
2016-05-09,EFID,SELL,2598.0,19.470260000000003,50583.73548000001,106.16747096000002,stop
2016-05-17,EGCH,SELL,10519.0,2.9985,31541.2215,68.082443,stop
2016-06-02,HRHO,SELL,3869.5,5.11744,19801.93408,44.60386816,partial_target
2016-06-02,COMI,BUY,3363.0,17.198595,57838.874985,120.67774997000001,rebound_entry
2016-06-07,HRHO,SELL,3869.5,5.3673150000000005,20768.825392500003,46.537650785000004,target
2016-06-08,HELI,BUY,13692.0,4.1420699999999995,56713.22243999999,118.42644487999998,rebound_entry
2016-07-10,JUFO,BUY,8573.0,7.0035,60041.0055,125.082011,rebound_entry
2016-07-17,COMI,SELL,3363.0,17.03148,57276.86723999999,119.55373447999999,stop
2016-07-17,AMOC,BUY,25192.0,2.2711349999999997,57214.43291999999,119.42886583999999,rebound_entry
2016-07-17,HRHO,BUY,7431.0,5.342669999999999,39701.380769999996,84.40276154,rebound_entry
2016-07-17,ETEL,BUY,4412.0,9.14457,40345.84284,85.69168567999999,rebound_entry
2016-07-19,JUFO,SELL,8573.0,6.796600000000001,58267.251800000005,121.53450360000001,stop
2016-07-28,HELI,SELL,6846.0,4.467765,30586.31919,66.17263838,partial_target
2016-07-28,HRHO,SELL,3715.5,5.7471250000000005,21353.442937500004,47.706885875000005,partial_target
2016-08-03,HELI,SELL,6846.0,4.577710000000001,31339.002660000006,67.67800532000001,target
2016-08-08,AMOC,SELL,12596.0,2.4287850000000004,30592.975860000006,66.18595172000002,partial_target
2016-08-08,GBCO,BUY,21351.0,2.391195,51054.40444500001,107.10880889000002,rebound_entry
2016-08-10,AMOC,SELL,12596.0,2.5287349999999997,31851.94606,68.70389212,target
2016-08-21,HRHO,SELL,3715.5,5.617190000000001,20870.669445000003,46.74133889000001,stop
2016-09-01,GBCO,SELL,21351.0,2.368815,50576.569065,106.15313813,signal_fail
2016-09-04,ETEL,SELL,4412.0,10.014990000000001,44186.13588,93.37227176,max_hold
2016-09-05,COMI,BUY,3325.0,19.669829999999997,65402.18474999999,135.80436949999998,rebound_entry
2016-09-05,HELI,BUY,13706.0,4.632314999999999,63490.50938999999,131.98101878,rebound_entry
