date,symbol,shares,close,market_value,entry_date,bars_held
2016-04-19,EGCH,10519.0,3.33,35028.270000000004,2016-04-19,0
2016-04-19,HRHO,7739.0,4.7,36373.3,2016-04-19,0
2016-04-19,PHDC,14158.0,2.66,37660.28,2016-04-19,0
2016-04-20,EGCH,10519.0,3.28,34502.32,2016-04-19,1
2016-04-20,HRHO,7739.0,4.58,35444.62,2016-04-19,1
2016-04-20,PHDC,14158.0,2.59,36669.22,2016-04-19,1
2016-04-21,EGCH,10519.0,3.25,34186.75,2016-04-19,2
2016-04-21,HRHO,7739.0,4.48,34670.72,2016-04-19,2
2016-04-21,PHDC,14158.0,2.54,35961.32,2016-04-19,2
2016-04-26,EGCH,10519.0,3.23,33976.37,2016-04-19,3
2016-04-26,HRHO,7739.0,4.54,35135.06,2016-04-19,3
2016-04-26,PHDC,14158.0,2.53,35819.74,2016-04-19,3
2016-04-27,EGCH,10519.0,3.2,33660.8,2016-04-19,4
2016-04-27,HRHO,7739.0,4.57,35367.23,2016-04-19,4
2016-04-27,PHDC,14158.0,2.49,35253.420000000006,2016-04-19,4
2016-04-27,OIH,11999.0,2.9,34797.1,2016-04-27,0
2016-04-28,EGCH,10519.0,3.12,32819.28,2016-04-19,5
2016-04-28,HRHO,7739.0,4.48,34670.72,2016-04-19,5
2016-04-28,OIH,11999.0,2.83,33957.17,2016-04-27,1
2016-04-28,EFID,2598.0,16.91,43932.18,2016-04-28,0
2016-05-03,EGCH,10519.0,3.04,31977.760000000002,2016-04-19,6
2016-05-03,HRHO,7739.0,4.32,33432.48,2016-04-19,6
2016-05-03,OIH,11999.0,2.75,32997.25,2016-04-27,2
2016-05-03,EFID,2598.0,17.16,44581.68,2016-04-28,1
2016-05-05,EGCH,10519.0,3.08,32398.52,2016-04-19,7
2016-05-05,HRHO,7739.0,4.48,34670.72,2016-04-19,7
2016-05-05,EFID,2598.0,18.49,48037.02,2016-04-28,2
2016-05-09,EGCH,10519.0,3.12,32819.28,2016-04-19,8
2016-05-09,HRHO,7739.0,4.54,35135.06,2016-04-19,8
2016-05-10,EGCH,10519.0,3.08,32398.52,2016-04-19,9
2016-05-10,HRHO,7739.0,4.45,34438.55,2016-04-19,9
2016-05-12,EGCH,10519.0,3.05,32082.949999999997,2016-04-19,10
2016-05-12,HRHO,7739.0,4.46,34515.94,2016-04-19,10
2016-05-17,HRHO,7739.0,4.66,36063.74,2016-04-19,11
2016-05-19,HRHO,7739.0,4.66,36063.74,2016-04-19,12
2016-05-26,HRHO,7739.0,4.91,37998.49,2016-04-19,13
2016-05-29,HRHO,7739.0,4.89,37843.71,2016-04-19,14
2016-06-01,HRHO,7739.0,5.12,39623.68,2016-04-19,15
2016-06-02,HRHO,3869.5,5.22,20198.789999999997,2016-04-19,16
2016-06-02,COMI,3363.0,17.16,57709.08,2016-06-02,0
2016-06-05,HRHO,3869.5,5.23,20237.485,2016-04-19,17
2016-06-05,COMI,3363.0,17.06,57372.78,2016-06-02,1
2016-06-06,HRHO,3869.5,5.37,20779.215,2016-04-19,18
2016-06-06,COMI,3363.0,17.42,58583.46000000001,2016-06-02,2
2016-06-07,COMI,3363.0,17.55,59020.65,2016-06-02,3
2016-06-08,COMI,3363.0,17.57,59087.91,2016-06-02,4
2016-06-08,HELI,13692.0,4.2,57506.4,2016-06-08,0
2016-06-13,COMI,3363.0,17.32,58247.16,2016-06-02,5
2016-06-13,HELI,13692.0,4.08,55863.36,2016-06-08,1
2016-07-10,COMI,3363.0,17.02,57238.26,2016-06-02,6
2016-07-10,HELI,13692.0,4.19,57369.48,2016-06-08,2
2016-07-10,JUFO,8573.0,7.0,60011.0,2016-07-10,0
2016-07-17,HELI,13692.0,4.23,57917.16,2016-06-08,3
2016-07-17,JUFO,8573.0,7.0,60011.0,2016-07-10,1
2016-07-17,AMOC,25192.0,2.3,57941.6,2016-07-17,0
2016-07-17,HRHO,7431.0,5.31,39458.61,2016-07-17,0
2016-07-17,ETEL,4412.0,9.38,41384.560000000005,2016-07-17,0
2016-07-18,HELI,13692.0,4.2,57506.4,2016-06-08,4
2016-07-18,JUFO,8573.0,6.8,58296.4,2016-07-10,1
2016-07-18,AMOC,25192.0,2.29,57689.68,2016-07-17,1
2016-07-18,HRHO,7431.0,5.31,39458.61,2016-07-17,1
2016-07-18,ETEL,4412.0,9.47,41781.64,2016-07-17,1
2016-07-19,HELI,13692.0,4.16,56958.72,2016-06-08,5
2016-07-19,AMOC,25192.0,2.29,57689.68,2016-07-17,2
2016-07-19,HRHO,7431.0,5.26,39087.06,2016-07-17,2
