variant,market_filter,params,train_final_equity,train_total_contributions,train_money_multiple,train_twr_total_return,train_cagr,train_sharpe,train_max_drawdown,train_return_dd,train_profit_factor,train_closed_trades,test_final_equity,test_total_contributions,test_money_multiple,test_twr_total_return,test_cagr,test_sharpe,test_max_drawdown,test_return_dd,test_profit_factor,test_closed_trades,full_final_equity,full_total_contributions,full_money_multiple,full_twr_total_return,full_cagr,full_sharpe,full_max_drawdown,full_return_dd,full_profit_factor,full_closed_trades,full_total_fees,full_fee_to_contributions_ratio,full_mean_turnover_pct,test_excess_twr_vs_etf_dca,test_excess_cagr_vs_etf_dca,test_drawdown_saving_vs_etf_dca,oos_score
risk_cap_liquidity_only,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""risk_per_trade_pct"": 0.01, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1791796.0840872927,1150000.0,1.5580835513802545,1.1511721105051156,0.1715825092574168,1.1560208180538343,0.2597311644347693,0.660615793375497,0.0,0.0,3448394.393925228,280000.0,12.315694264018672,0.684105294053589,0.2725352289852996,2.053787658825302,0.12419222513590167,2.194462887568593,0.0,0.0,3448394.393925228,1430000.0,2.411464611136523,2.6883290761540684,0.20484113757820976,1.409846389693792,0.2597311644347693,0.788665996335049,1.6515998796709037,449.0,378105.0158047803,0.26440910196138484,0.07487793305954679,-0.2510876472743937,-0.08445616765879427,0.15075473567504427,1.0104123356417671
risk_partial_33pct_35atr,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.33, ""partial_target_atr"": 3.5, ""risk_per_trade_pct"": 0.01, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1726792.9079839895,1150000.0,1.5015590504208605,1.0415270043523273,0.15898026200320725,1.1020281322392529,0.26279431314517243,0.6049608155538115,0.0,0.0,3224554.4206160745,280000.0,11.516265787914552,0.6251624902910327,0.2517441775325733,1.972364524158042,0.1241838929711575,2.027188643466367,0.0,0.0,3224554.4206160745,1430000.0,2.254933161269982,2.3778279972375262,0.1898079322189925,1.3471740529660126,0.26279431314517243,0.7222680352072121,1.598426087758367,524.0,365536.0648158839,0.25561962574537334,0.0748934001027113,-0.31003045103695004,-0.10524721911152057,0.15076306783978843,0.9398893073834134
risk125_partial,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 3.0, ""risk_per_trade_pct"": 0.0125, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1739308.7406942702,1150000.0,1.512442383212409,1.070703277119362,0.16238512545381223,0.9845860919706939,0.2982130563953107,0.5445272162683407,0.0,0.0,3316221.7246347107,280000.0,11.843649016552538,0.6555224910497222,0.2625028572783161,1.7637286009061157,0.15330144953211355,1.7123312146068592,0.0,0.0,3316221.7246347107,1430000.0,2.319036171073224,2.5018598429876495,0.1959496905777851,1.2073183392172575,0.2982130563953107,0.6570795153852504,1.5250381174292966,570.0,438697.5837753006,0.3067815271155948,0.08934940335198367,-0.27967045027826054,-0.09448853936577772,0.12164551127883239,0.819743515802009
risk_partial_pause25,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 3.0, ""portfolio_drawdown_pause_pct"": 0.25, ""risk_per_trade_pct"": 0.01, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1634183.8780921185,1150000.0,1.421029459210538,0.8538688024989611,0.13610669672756215,0.9993193568858579,0.2501692771167715,0.544058400360775,0.0,0.0,2884267.9189384873,280000.0,10.30095685335174,0.5198945647302544,0.2135785060799007,1.7638578393975812,0.12417569205073098,1.719970330365825,0.0,0.0,2884267.9189384873,1430000.0,2.016970572684257,1.8662002153897967,0.16223109223308718,1.21846288722734,0.2501692771167715,0.6484852740625004,1.526127922891993,570.0,344802.6700715198,0.24112074830176208,0.07532880191610222,-0.4152983765977283,-0.14341289056419315,0.15077126876021496,0.7985860171869241
risk_partial_no_cooldown,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 3.0, ""risk_per_trade_pct"": 0.01, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1634183.8780921185,1150000.0,1.421029459210538,0.8538688024989611,0.13610669672756215,0.9993193568858579,0.2501692771167715,0.544058400360775,0.0,0.0,2884267.9189384873,280000.0,10.30095685335174,0.5198945647302544,0.2135785060799007,1.7638578393975812,0.12417569205073098,1.719970330365825,0.0,0.0,2884267.9189384873,1430000.0,2.016970572684257,1.8662002153897967,0.16223109223308718,1.21846288722734,0.2501692771167715,0.6484852740625004,1.526127922891993,570.0,344802.6700715198,0.24112074830176208,0.07532880191610222,-0.4152983765977283,-0.14341289056419315,0.15077126876021496,0.7985860171869241
risk_partial_market180,True,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 3.0, ""risk_per_trade_pct"": 0.01, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1606735.527737349,1150000.0,1.39716132846726,0.8366707761253684,0.1339198440696121,1.109102763388041,0.2068821366410507,0.6473243473020037,0.0,0.0,2841746.5911427177,280000.0,10.14909496836685,0.5198458868881506,0.2135605341999407,1.7637550680954057,0.12418130161813468,1.7197479122634163,0.0,0.0,2841746.5911427177,1430000.0,1.987235378421481,1.8395200981497553,0.16068024571272121,1.3218321445047754,0.2068821366410507,0.7766753008332868,1.611472533741258,457.0,294511.22465229,0.20595190535125174,0.05996260084256747,-0.4153470544398321,-0.14343086244415315,0.15076565919281126,0.798497958815384
cap20_risk_partial,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.2, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 3.0, ""risk_per_trade_pct"": 0.01, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1631538.6837021098,1150000.0,1.4187292901757478,0.8460284348509599,0.13511174243769308,1.0007216752378372,0.2446810253006787,0.5521954237017753,0.0,0.0,2866434.618674588,280000.0,10.237266495266386,0.5126878747027335,0.21091441646966236,1.7595600113909788,0.12417341746627586,1.698547247658255,0.0,0.0,2866434.618674588,1430000.0,2.0044997333388728,1.8405456683236836,0.16074008985379074,1.218448575744533,0.2446810253006787,0.6569372907288732,1.5256503199820235,570.0,338836.7310554202,0.23694876297581832,0.07406251521222605,-0.4225050666252492,-0.1460769801744315,0.15077354334467008,0.790779792559861
v1_baseline_clean_max5,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_positions"": 5, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",2043914.7786990576,1150000.0,1.7773171988687457,1.7827260944106844,0.23561726290140883,1.0685403947949026,0.35835476564716795,0.6574972219942372,0.0,0.0,4794938.446938285,280000.0,17.124780167636732,1.0798978586720525,0.4030009202822509,1.9394562563359374,0.3060394720671543,1.3168266091957586,0.0,0.0,4794938.446938285,1430000.0,3.3531038090477514,4.938508496815221,0.2896228506232337,1.315803280792058,0.35835476564716795,0.8082014762666587,1.6074397752619498,459.0,610934.2401167307,0.4272267413403711,0.1041189145289791,0.14470491734406976,0.046009523638157024,-0.031092511256208377,0.7788219685281513
risk075_partial,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.5, ""partial_target_atr"": 3.0, ""risk_per_trade_pct"": 0.0075, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1506952.0267914527,1150000.0,1.3103930667751762,0.6078151983367466,0.10314992636614972,0.996842415246848,0.19142619248812554,0.5388495953736753,0.0,0.0,2438993.5092560905,280000.0,8.710691104486038,0.37682737071167227,0.15935339475709664,1.7637445843303554,0.09432198150122928,1.6894619071909533,0.0,0.0,2438993.5092560905,1430000.0,1.7055898666126508,1.2422762254738644,0.12219947246644813,1.216463676819342,0.19142619248812554,0.6383633863167829,1.5234719590159882,570.0,244284.08316141486,0.1708280301828076,0.05779488991906193,-0.5583655706163104,-0.1976380018869972,0.18062497930971666,0.7651049097102521
risk_partial_33pct_25atr,False,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 21, ""max_position_weight"": 0.25, ""max_positions"": 5, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""move_stop_to_entry_after_partial"": true, ""partial_exit_fraction"": 0.33, ""partial_target_atr"": 2.5, ""risk_per_trade_pct"": 0.01, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118}",1554175.5746703953,1150000.0,1.3514570214525177,0.7418216687516694,0.12155849066090885,0.9138298499085619,0.29456344469966456,0.41267337427035217,0.0,0.0,2718021.280589028,280000.0,9.707218859246527,0.49495759915631243,0.204330897602099,1.7342709069713265,0.12779241890918613,1.5989281629241547,0.0,0.0,2718021.280589028,1430000.0,1.9007141822300895,1.6487809345983888,0.14921399978322514,1.1461195470064283,0.29456344469966456,0.5065598005053309,1.4796067741202743,608.0,333488.3188665308,0.23320861459197956,0.07588485627810947,-0.44023534217167026,-0.15266049904199486,0.1471545419017598,0.7559575345629278
