date,symbol,shares,close,market_value,entry_date,bars_held
2016-04-18,EGCH,16157.0,3.23,52187.11,2016-04-18,0
2016-04-18,PHDC,19948.0,2.63,52463.24,2016-04-18,0
2016-04-19,EGCH,16157.0,3.33,53802.81,2016-04-18,1
2016-04-19,PHDC,19948.0,2.66,53061.68,2016-04-18,1
2016-04-20,EGCH,16157.0,3.28,52994.96,2016-04-18,2
2016-04-20,PHDC,19948.0,2.59,51665.32,2016-04-18,2
2016-04-21,EGCH,16157.0,3.25,52510.25,2016-04-18,3
2016-04-21,PHDC,19948.0,2.54,50667.92,2016-04-18,3
2016-04-26,EGCH,16157.0,3.23,52187.11,2016-04-18,4
2016-04-26,PHDC,19948.0,2.53,50468.439999999995,2016-04-18,4
2016-04-27,EGCH,16157.0,3.2,51702.4,2016-04-18,5
2016-04-27,PHDC,19948.0,2.49,49670.520000000004,2016-04-18,5
2016-04-28,EGCH,16157.0,3.12,50409.840000000004,2016-04-18,6
2016-04-28,PHDC,19948.0,2.46,49072.08,2016-04-18,6
2016-05-03,EGCH,16157.0,3.04,49117.28,2016-04-18,7
2016-05-03,PHDC,19948.0,2.34,46678.32,2016-04-18,7
2016-05-05,EGCH,16157.0,3.08,49763.56,2016-04-18,8
2016-05-09,EGCH,16157.0,3.12,50409.840000000004,2016-04-18,9
2016-05-09,HRHO,11715.0,4.54,53186.1,2016-05-09,0
2016-05-10,EGCH,16157.0,3.08,49763.56,2016-04-18,10
2016-05-10,HRHO,11715.0,4.45,52131.75,2016-05-09,1
2016-05-10,ETEL,6521.0,8.02,52298.42,2016-05-10,0
2016-05-12,EGCH,16157.0,3.05,49278.85,2016-04-18,11
2016-05-12,HRHO,11715.0,4.46,52248.9,2016-05-09,2
2016-05-12,ETEL,6521.0,7.93,51711.53,2016-05-10,1
2016-05-17,HRHO,11715.0,4.66,54591.9,2016-05-09,3
2016-05-17,ETEL,6521.0,7.97,51972.369999999995,2016-05-10,2
2016-05-19,HRHO,11715.0,4.66,54591.9,2016-05-09,4
2016-05-19,ETEL,6521.0,7.94,51776.740000000005,2016-05-10,3
2016-05-26,HRHO,11715.0,4.91,57520.65,2016-05-09,5
2016-05-26,ETEL,6521.0,8.33,54319.93,2016-05-10,4
2016-05-29,HRHO,11715.0,4.89,57286.35,2016-05-09,6
2016-05-29,ETEL,6521.0,8.39,54711.19,2016-05-10,5
2016-06-01,HRHO,11715.0,5.12,59980.8,2016-05-09,7
2016-06-01,ETEL,6521.0,9.07,59145.47,2016-05-10,6
2016-06-02,HRHO,11715.0,5.22,61152.299999999996,2016-05-09,8
2016-06-02,ETEL,6521.0,9.15,59667.15,2016-05-10,7
2016-06-02,COMI,3182.0,17.16,54603.12,2016-06-02,0
2016-06-05,HRHO,11715.0,5.23,61269.450000000004,2016-05-09,9
2016-06-05,ETEL,6521.0,9.06,59080.26,2016-05-10,8
2016-06-05,COMI,3182.0,17.06,54284.92,2016-06-02,1
2016-06-06,HRHO,11715.0,5.37,62909.55,2016-05-09,10
2016-06-06,ETEL,6521.0,9.04,58949.84,2016-05-10,9
2016-06-06,COMI,3182.0,17.42,55430.44,2016-06-02,2
2016-06-07,ETEL,6521.0,9.06,59080.26,2016-05-10,10
2016-06-07,COMI,3182.0,17.55,55844.100000000006,2016-06-02,3
2016-06-08,ETEL,6521.0,9.32,60775.72,2016-05-10,11
2016-06-08,COMI,3182.0,17.57,55907.74,2016-06-02,4
2016-06-08,HELI,13847.0,4.2,58157.4,2016-06-08,0
2016-06-13,ETEL,6521.0,9.56,62340.76,2016-05-10,12
2016-06-13,COMI,3182.0,17.32,55112.24,2016-06-02,5
2016-06-13,HELI,13847.0,4.08,56495.76,2016-06-08,1
2016-06-13,EGCH,18983.0,3.0,56949.0,2016-06-13,0
2016-07-10,COMI,3182.0,17.02,54157.64,2016-06-02,6
