date,symbol,shares,close,market_value,entry_date,bars_held
2016-04-17,HRHO,13555.0,4.51,61133.049999999996,2016-04-17,0
2016-04-18,HRHO,13555.0,4.57,61946.350000000006,2016-04-17,1
2016-04-18,EGCH,17884.0,3.23,57765.32,2016-04-18,0
2016-04-18,PHDC,20976.0,2.63,55166.88,2016-04-18,0
2016-04-19,HRHO,13555.0,4.7,63708.5,2016-04-17,2
2016-04-19,EGCH,17884.0,3.33,59553.72,2016-04-18,1
2016-04-19,PHDC,20976.0,2.66,55796.16,2016-04-18,1
2016-04-20,HRHO,13555.0,4.58,62081.9,2016-04-17,3
2016-04-20,EGCH,17884.0,3.28,58659.52,2016-04-18,2
2016-04-20,PHDC,20976.0,2.59,54327.84,2016-04-18,2
2016-04-21,HRHO,13555.0,4.48,60726.40000000001,2016-04-17,4
2016-04-21,EGCH,17884.0,3.25,58123.0,2016-04-18,3
2016-04-21,PHDC,20976.0,2.54,53279.04,2016-04-18,3
2016-04-26,HRHO,13555.0,4.54,61539.7,2016-04-17,5
2016-04-26,EGCH,17884.0,3.23,57765.32,2016-04-18,4
2016-04-26,PHDC,20976.0,2.53,53069.28,2016-04-18,4
2016-04-27,HRHO,13555.0,4.57,61946.350000000006,2016-04-17,6
2016-04-27,EGCH,17884.0,3.2,57228.8,2016-04-18,5
2016-04-27,PHDC,20976.0,2.49,52230.240000000005,2016-04-18,5
2016-04-28,HRHO,13555.0,4.48,60726.40000000001,2016-04-17,7
2016-04-28,EGCH,17884.0,3.12,55798.08,2016-04-18,6
2016-04-28,PHDC,20976.0,2.46,51600.96,2016-04-18,6
2016-05-03,HRHO,13555.0,4.32,58557.600000000006,2016-04-17,8
2016-05-03,EGCH,17884.0,3.04,54367.36,2016-04-18,7
2016-05-03,PHDC,20976.0,2.34,49083.84,2016-04-18,7
2016-05-05,HRHO,13555.0,4.48,60726.40000000001,2016-04-17,9
2016-05-05,EGCH,17884.0,3.08,55082.72,2016-04-18,8
2016-05-09,HRHO,13555.0,4.54,61539.7,2016-04-17,10
2016-05-09,EGCH,17884.0,3.12,55798.08,2016-04-18,9
2016-05-10,HRHO,13555.0,4.45,60319.75,2016-04-17,11
2016-05-10,EGCH,17884.0,3.08,55082.72,2016-04-18,10
2016-05-10,ETEL,6908.0,8.02,55402.159999999996,2016-05-10,0
2016-05-12,HRHO,13555.0,4.46,60455.3,2016-04-17,12
2016-05-12,EGCH,17884.0,3.05,54546.2,2016-04-18,11
2016-05-12,ETEL,6908.0,7.93,54780.439999999995,2016-05-10,1
2016-05-17,HRHO,13555.0,4.66,63166.3,2016-04-17,13
2016-05-17,ETEL,6908.0,7.97,55056.759999999995,2016-05-10,2
2016-05-19,HRHO,13555.0,4.66,63166.3,2016-04-17,14
2016-05-19,ETEL,6908.0,7.94,54849.520000000004,2016-05-10,3
2016-05-26,HRHO,13555.0,4.91,66555.05,2016-04-17,15
2016-05-26,ETEL,6908.0,8.33,57543.64,2016-05-10,4
