variant,full_twr,full_cagr,full_max_dd,full_sharpe,test_twr,test_cagr,test_max_dd,test_sharpe,test_excess_twr,test_excess_cagr,train_cagr,train_max_dd,closed_trades,fees_ratio,entry_rows,median_size,params
gates_v3rank_size1,4.230691775410268,0.2664648620437087,0.3363866032115934,1.4587398618054968,1.2583593301362574,0.45743337418246943,0.23747388970519956,2.3254819836041216,0.32316638880827475,0.10044197753837558,0.18330691086865336,0.3363866032115934,300.0,0.29525332459855275,2512,1.0,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.0, ""dynamic_size_min"": 1.0, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.0, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 0, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 1.0, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 1.0, ""v4_liquidity_rank_weight"": 0.0, ""v4_low_risk_weight"": 0.0, ""v4_net_edge_rank_weight"": 0.0}"
v3rank_dyn_no_risk,3.9337661778678346,0.25594147952376556,0.3317332517633891,1.4437589543188514,1.2054356866353881,0.4415402311592862,0.2317895408069791,2.2802704934786724,0.27024274530740544,0.08454883451519235,0.17502802276886964,0.3317332517633891,300.0,0.2816697485716012,2512,0.9,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.25, ""dynamic_size_min"": 0.9, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.25, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 0, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 0.8, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 1.0, ""v4_liquidity_rank_weight"": 0.0, ""v4_low_risk_weight"": 0.0, ""v4_net_edge_rank_weight"": 0.0}"
rank_only_no_gates_size1,3.217526845426727,0.22812730706394246,0.3202352119121872,1.292073325906539,1.143361140155553,0.42263546447963574,0.25061044126916066,2.1546554924161545,0.20816819882757032,0.06564406783554189,0.1441031271983646,0.3202352119121872,291.0,0.2587556997561889,2530,1.0,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.0, ""dynamic_size_min"": 1.0, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.0, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 0, ""min_edge_cost_ratio"": 0.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": -1.0, ""min_position_size_mult"": 1.0, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
gates_rank_size1,3.246283179359952,0.22931939745524166,0.31558444160696786,1.2996393440945713,1.143353482172099,0.42263311421287963,0.2506134012932131,2.1546453095792444,0.20816054084411628,0.06564171756878578,0.14571254867138217,0.31558444160696786,290.0,0.25918298594680406,2512,1.0,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.0, ""dynamic_size_min"": 1.0, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.0, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 0, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 1.0, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
loose_rank_dyn_no_risk,3.1472531396760717,0.2251845329393165,0.3133685218200982,1.3068024406006897,1.0956179267660318,0.4078941384194563,0.24385423115985883,2.112952921377107,0.16042498543804906,0.05090274177536247,0.1456302292894518,0.3133685218200982,289.0,0.251810630935049,2530,0.9,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.25, ""dynamic_size_min"": 0.9, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.25, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 0, ""min_edge_cost_ratio"": 1.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.0, ""min_position_size_mult"": 0.8, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
rank_dyn_no_risk,3.1733038847043558,0.2262803817739074,0.30904337590976005,1.313977476583802,1.0956073943885247,0.4078908666029577,0.2438539113238939,2.1129498958875015,0.16041445306054203,0.05089946995886385,0.14711535211377091,0.30904337590976005,288.0,0.2521837713936504,2512,0.9,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.25, ""dynamic_size_min"": 0.9, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.25, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 0, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 0.8, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
gates_rank_sector_size1,3.1394454549423534,0.22485494617317126,0.31526141949957087,1.270567566747735,1.0588096442235124,0.3964054159538657,0.25061070876391256,2.0569680032910367,0.12361670289552973,0.03941401930977184,0.14916058861295722,0.31526141949957087,285.0,0.25215312654956656,2512,1.0,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.0, ""dynamic_size_min"": 1.0, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.0, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 2, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 1.0, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
rank_dyn_sector_no_risk,2.909536021577213,0.21490240291185092,0.31825091362869695,1.2507315978537026,1.0091228144382423,0.38072043000705347,0.24385349499169284,2.009846734095111,0.07392987311025956,0.023729033362959617,0.14159410868179712,0.31825091362869695,283.0,0.24023169697574123,2512,0.9,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 0, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.25, ""dynamic_size_min"": 0.9, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.25, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 2, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 0.8, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
rank_dyn_cooldown_no_risk,1.8018972895861878,0.15847196453074286,0.32140679519320825,1.0181762105734198,0.6929744135710387,0.275629593953429,0.2320577980313122,1.606718849989036,-0.24221852775694397,-0.08136180269066484,0.10802535895815235,0.32140679519320825,265.0,0.19609461117320975,2512,0.9,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 8, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.25, ""dynamic_size_min"": 0.9, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 0.0, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.25, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 0, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 0.8, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.0, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
initial_default,1.5102485079179027,0.14043368241274035,0.3185432418867147,0.9535425825903303,0.6108613043167013,0.246638826293319,0.2291543117869328,1.4858765930421889,-0.3243316370112814,-0.11035257035077484,0.09432254818718788,0.3185432418867147,260.0,0.18205656879473447,2512,0.8833988425925927,"{""atr_len"": 17, ""bb_len"": 35, ""bb_std"": 1.601592838006187, ""cci_len"": 14, ""cci_reclaim"": -59.18150878256561, ""cooldown_bars_after_stop"": 8, ""cost_model_trade_notional_egp"": 600000.0, ""dynamic_size_max"": 1.15, ""dynamic_size_min"": 0.55, ""factor_score_weight"": 0.08, ""fixed_sell_fee_egp"": 5.0, ""liquidity_impact_bps_at_100pct_adv"": 150.0, ""low_risk_score_weight"": 0.02, ""market_fail_trail_atr"": 1.65, ""market_filter_breadth_min"": 0.45, ""market_filter_breadth_slope_len"": 20, ""market_filter_breadth_sma_len"": 100, ""market_filter_breadth_soft_min"": 0.35, ""market_filter_ma_len"": 100, ""market_filter_slope_len"": 10, ""max_factor_score_age_days"": 75, ""max_hold_bars"": 21, ""max_liquidity_impact_pct"": 0.02, ""max_position_size_mult"": 1.15, ""max_position_weight"": 0.25, ""max_positions"": 5, ""max_sector_positions"": 2, ""min_edge_cost_ratio"": 3.0, ""min_factor_score"": 0.0, ""min_median_daily_value_egp"": 100000.0, ""min_median_daily_volume"": 1000.0, ""min_momentum_score"": 0.0, ""min_net_edge_pct"": 0.025, ""min_position_size_mult"": 0.45, ""min_quality_score"": 0.0, ""momentum_score_weight"": 0.07, ""move_stop_to_entry_after_partial"": false, ""partial_exit_fraction"": 0.0, ""partial_target_atr"": 0.0, ""quality_score_weight"": 0.03, ""rebound_score_weight"": 0.8, ""risk_per_trade_pct"": 0.045, ""rsi_entry"": 44.42461952950172, ""rsi_len"": 8, ""rsi_reclaim"": 51.81425005623103, ""scan_mode"": ""monthly"", ""stop_atr"": 1.8288119451257165, ""target_atr"": 4.315735805005512, ""top_n"": 11, ""trail_atr"": 2.613699668526334, ""trend_len"": 118, ""v4_base_rank_weight"": 0.62, ""v4_liquidity_rank_weight"": 0.1, ""v4_low_risk_weight"": 0.05, ""v4_net_edge_rank_weight"": 0.23}"
