date,relative_ic_equity,etf_dca_equity,etf_buy_hold_norm
2019-02-05,111544.99248585002,111920.07777500001,1.0
2019-02-14,110635.08248585001,114846.07777500001,1.026143790849673
2019-02-19,112903.41248585001,114187.727775,1.0202614379084967
2019-02-21,113396.71248585002,116821.12777500002,1.0437908496732027
2019-02-28,114526.10248585,113456.227775,1.0137254901960784
2019-04-17,120643.44073448001,125040.58575218002,1.0281045751633986
2019-05-21,117875.19362494,122077.29628838,0.9281045751633986
2019-07-09,131744.29271466003,137930.41830918004,0.9751633986928104
2019-07-11,129488.07271466003,137560.65830918003,0.9725490196078431
2019-08-21,136149.56251535,151056.62032998,0.9980392156862744
2019-08-22,136263.95251535,150364.18032998,0.9934640522875816
2019-08-28,136975.52251535002,148385.78032998,0.9803921568627451
2019-09-02,148866.73708354,166806.43285498003,1.0326797385620916
2019-09-04,145741.43708354005,167545.42285498002,1.0372549019607842
2019-09-09,146106.88708354006,166700.86285498002,1.0320261437908496
2019-09-17,140510.05708354,167123.14285498002,1.0346405228758169
2019-09-23,130768.97708354004,155827.15285498003,0.9647058823529411
2019-10-24,143584.42314663003,167616.98263688,0.9758169934640523
2019-10-27,144561.49314663003,168627.32263688,0.9816993464052287
2019-10-28,144306.07314663002,168964.10263688004,0.9836601307189542
2019-10-30,144531.90314663004,171658.34263688,0.9993464052287581
2019-10-31,145080.67314663003,171770.60263688004,1.0
2019-11-03,156178.74349062,182927.56815108002,1.0058823529411764
2019-11-04,156435.58349062002,183759.58815108,1.0104575163398692
2019-11-20,153175.38349062,180431.50815108002,0.992156862745098
2019-11-21,151958.04349062004,179480.62815108002,0.9869281045751633
2019-11-27,146869.81349062006,173775.34815108,0.9555555555555555
2019-12-03,154299.01366108,180506.60618628,0.937908496732026
2019-12-25,155250.58366108002,183902.66618628,0.9555555555555555
2019-12-30,156414.57366108,184028.44618628002,0.9562091503267974
2019-12-31,175849.53366108,185663.58618628,0.9647058823529411
2020-01-02,166048.8982205,195743.89871128,0.9660130718954247
2020-01-12,162930.91822050003,192433.14871128,0.949673202614379
2020-01-28,157786.82822050003,191108.84871128,0.9431372549019608
2020-01-30,162232.7182205,196670.90871128,0.9705882352941175
2020-02-05,169952.42346808006,204558.70073208,0.9607843137254901
2020-02-11,169366.40346808007,205393.60073208,0.9647058823529411
2020-02-12,166770.27346808003,199827.60073208,0.9385620915032679
2020-02-16,164807.83346808006,198714.40073208,0.9333333333333332
2020-02-18,163442.23346808006,196627.15073208002,0.9235294117647059
2020-02-23,163272.79346808005,204697.85073208003,0.961437908496732
2020-02-24,160326.57346808005,201079.95073208,0.9444444444444443
2020-03-03,157660.59911043005,189726.39575008003,0.8477124183006536
2020-03-08,152537.26911043006,190457.79575008003,0.8509803921568627
2020-03-10,144873.74911043004,173050.47575008002,0.7732026143790849
2020-03-17,116011.59911043006,145696.11575008003,0.6509803921568628
2020-03-19,111902.03911043007,135456.51575008003,0.6052287581699346
2020-04-02,143667.17576475008,155533.00403138006,0.6509803921568628
2020-04-05,141575.39576475005,156001.45403138,0.6529411764705882
2020-04-06,142648.32576475007,152878.45403138,0.6398692810457516
