rebalance_date,selection_date,rank,symbol,holding_name,ic_score,hand_signal_score,target_weight,selected_count
2019-02-05,2019-01-08,1,EGCH,Egyptian Chemical Industries (KIMA),0.4594128559545541,100.0,0.1,10
2019-02-05,2019-01-08,2,ORHD,Orascom Development Egypt,0.4400498502047761,100.0,0.1,10
2019-02-05,2019-01-08,3,CCAP,QALA For Financial Investments,0.43097523244781794,85.0,0.1,10
2019-02-05,2019-01-08,4,ETEL,Telecom Egypt,0.4260660550635746,85.0,0.1,10
2019-02-05,2019-01-08,5,RAYA,Raya Holding For Financial Investments,0.3971719627368402,85.0,0.1,10
2019-02-05,2019-01-08,6,ORWE,Oriental Weavers,0.37213185101058294,0.0,0.1,10
2019-02-05,2019-01-08,7,ISPH,Ibnsina Pharma,0.35748637980357917,45.0,0.1,10
2019-02-05,2019-01-08,8,HRHO,EFG Holding,0.33990724673126227,40.0,0.1,10
2019-02-05,2019-01-08,9,VLMR,Egyptian Kuwaiti Holding,0.33377991165900656,85.0,0.1,10
2019-02-05,2019-01-08,10,TMGH,T M G Holding,0.32888320488143874,85.0,0.1,10
2019-04-17,2019-02-28,1,JUFO,Juhayna Food Industries,0.44843606102873323,85.0,0.1,10
2019-04-17,2019-02-28,2,VLMR,Egyptian Kuwaiti Holding,0.44326418330222844,85.0,0.1,10
2019-04-17,2019-02-28,3,ETEL,Telecom Egypt,0.43271964485222364,85.0,0.1,10
2019-04-17,2019-02-28,4,ORHD,Orascom Development Egypt,0.42347031637078103,100.0,0.1,10
2019-04-17,2019-02-28,5,OIH,Orascom Investment Holding,0.41612118672732196,65.0,0.1,10
2019-04-17,2019-02-28,6,ISPH,Ibnsina Pharma,0.4087644923615532,45.0,0.1,10
2019-04-17,2019-02-28,7,ORWE,Oriental Weavers,0.4083168164352967,20.0,0.1,10
2019-04-17,2019-02-28,8,EGCH,Egyptian Chemical Industries (KIMA),0.386948468833384,40.0,0.1,10
2019-04-17,2019-02-28,9,HRHO,EFG Holding,0.36974790458964696,20.0,0.1,10
2019-04-17,2019-02-28,10,RAYA,Raya Holding For Financial Investments,0.36236285878480146,85.0,0.1,10
2019-05-21,2019-04-17,1,ORWE,Oriental Weavers,0.44104106427532713,0.0,0.1,10
2019-05-21,2019-04-17,2,VLMR,Egyptian Kuwaiti Holding,0.43985470928419207,85.0,0.1,10
2019-05-21,2019-04-17,3,ORHD,Orascom Development Egypt,0.43045982635697166,100.0,0.1,10
2019-05-21,2019-04-17,4,JUFO,Juhayna Food Industries,0.42566378259054116,85.0,0.1,10
2019-05-21,2019-04-17,5,ISPH,Ibnsina Pharma,0.41135554628364424,45.0,0.1,10
2019-05-21,2019-04-17,6,ETEL,Telecom Egypt,0.4050740219587393,85.0,0.1,10
