date,symbol,action,shares,price,value,fee,reason
2019-02-05,EGCH,BUY,1821.0,6.023009999999999,10967.901209999998,26.935802419999998,rebalance_buy
2019-02-05,ORHD,BUY,1470.0,7.46373,10971.6831,26.9433662,rebalance_buy
2019-02-05,CCAP,BUY,2916.0,3.7618799999999997,10969.64208,26.93928416,rebalance_buy
2019-02-05,ETEL,BUY,752.0,14.577285,10962.11832,26.92423664,rebalance_buy
2019-02-05,RAYA,BUY,42182.0,0.26013,10972.80366,26.94560732,rebalance_buy
2019-02-05,ORWE,BUY,1490.0,7.36368,10971.8832,26.9437664,rebalance_buy
2019-02-05,ISPH,BUY,1525.0,7.193595,10970.232375,26.94046475,rebalance_buy
2019-02-05,HRHO,BUY,1174.0,9.344669999999999,10970.642579999998,26.941285159999996,rebalance_buy
2019-02-05,VLMR,BUY,5624.0,1.950975,10972.2834,26.9445668,rebalance_buy
2019-02-05,TMGH,BUY,990.0,11.075535,10964.77965,26.9295593,rebalance_buy
2019-04-17,CCAP,SELL,2916.0,3.6981500000000005,10783.805400000001,21.567610800000004,relative_ic_rebalance_exit
2019-04-17,TMGH,SELL,990.0,11.794100000000002,11676.159000000001,23.352318000000004,relative_ic_rebalance_exit
2019-04-17,ISPH,SELL,14.0,8.005995,112.08393000000001,0.22416786000000002,rebalance_trim
2019-04-17,JUFO,BUY,929.0,12.98649,12064.44921,29.128898420000002,rebalance_buy
2019-04-17,VLMR,BUY,52.0,2.131065,110.81538,5.22163076,rebalance_buy
2019-04-17,ETEL,BUY,89.0,14.36718,1278.67902,7.55735804,rebalance_buy
2019-04-17,ORHD,BUY,251.0,7.023509999999999,1762.9010099999998,8.52580202,rebalance_buy
2019-04-17,OIH,BUY,5583.0,2.16108,12065.309640000001,29.130619280000005,rebalance_buy
2019-04-17,ORWE,BUY,32.0,7.94397,254.20704,5.50841408,rebalance_buy
2019-04-17,EGCH,BUY,571.0,5.052524999999999,2884.9917749999995,10.76998355,rebalance_buy
2019-04-17,HRHO,BUY,142.0,9.18459,1304.21178,7.60842356,rebalance_buy
2019-05-21,EGCH,SELL,2392.0,4.03798,9658.84816,19.31769632,relative_ic_rebalance_exit
2019-05-21,OIH,SELL,5583.0,1.93903,10825.60449,21.65120898,relative_ic_rebalance_exit
2019-05-21,VLMR,SELL,159.0,2.148925,341.679075,0.68335815,rebalance_trim
2019-05-21,ORWE,BUY,368.0,6.273134999999999,2308.5136799999996,9.617027359999998,rebalance_buy
2019-05-21,ORHD,BUY,277.0,5.932964999999999,1643.4313049999998,8.28686261,rebalance_buy
2019-05-21,JUFO,BUY,101.0,11.505749999999999,1162.0807499999999,7.3241615,rebalance_buy
2019-05-21,ISPH,BUY,53.0,7.58379,401.94086999999996,5.80388174,rebalance_buy
2019-05-21,ETEL,BUY,104.0,12.536264999999998,1303.77156,7.60754312,rebalance_buy
2019-05-21,HRHO,BUY,49.0,8.684339999999999,425.53265999999996,5.85106532,rebalance_buy
2019-05-21,RAYA,BUY,1727.0,0.270135,466.523145,5.93304629,rebalance_buy
2019-05-21,COMI,BUY,341.0,34.65732,11818.14612,28.63629224,rebalance_buy
2019-05-21,EFID,BUY,591.0,20.020005,11831.822955000001,28.663645910000003,rebalance_buy
2019-07-09,ORWE,SELL,1890.0,6.806595,12864.464549999999,25.7289291,relative_ic_rebalance_exit
2019-07-09,HRHO,SELL,5.0,9.65517,48.27585,0.0965517,rebalance_trim
2019-07-09,ETEL,SELL,44.0,14.582705,641.6390200000001,1.2832780400000001,rebalance_trim
2019-07-09,ORHD,SELL,19.0,6.63668,126.09692,0.25219384,rebalance_trim
2019-07-09,VLMR,BUY,1178.0,1.96098,2310.03444,9.62006888,rebalance_buy
2019-07-09,COMI,BUY,17.0,36.648315000000004,623.0213550000001,6.24604271,rebalance_buy
2019-07-09,JUFO,BUY,269.0,10.105049999999999,2718.25845,10.4365169,rebalance_buy
2019-07-09,ISPH,BUY,125.0,7.773884999999999,971.7356249999999,6.94347125,rebalance_buy
