symbol,benchmark,as_of_date,overlap_start,overlap_end,overlap_rows,stock_close,benchmark_close,signal_score,signal_state,main_rule_on,main_rule_edge_63d,main_rule_hit_rate_63d,main_rule_samples_63d,rel_mom_21,rel_mom_63,rel_mom_126,rel_mom_252,ratio_vs_sma50,ratio_vs_sma200,sma50_vs_sma200,ratio_breakout_20,ratio_breakout_63,ratio_breakout_126,vol_adj_rel_mom_63,volume_ratio_20_63,mom63_volume_score,down_day_excess_63,down_day_excess_126,beta_252,corr_252,residual_strength_21_126b,residual_strength_63_126b,residual_strength_126_126b,rank
ABUK,etf,2026-04-05,2015-01-15,2026-04-05,1687,81.27,53.39,100.0,bullish,True,0.2280110724570965,0.7272727272727273,22,0.21528649592993299,0.3909205843790968,0.15372497982843525,-0.1100016339022768,0.12121450918991261,0.21920424628175095,0.0873960658631121,-0.1354255319148936,-0.1354255319148936,-0.1354255319148936,10.128087215354661,1.1935011424390336,0.4665641640593867,0.021481596806331216,0.01337369102464694,0.23555811376827904,0.13190102356673314,0.21047242568545968,0.46922723271432526,0.3936622448812762,1
EGAL,etf,2026-04-05,2015-01-15,2026-04-05,1673,323.8,53.39,100.0,bullish,True,-0.018941034738137075,0.5294117647058824,34,0.3838966214744528,0.2652903082510232,0.5034954066744983,0.3158545416137095,0.26199855874575095,0.35925401562305037,0.07706463387244877,0.024946344363341533,0.024946344363341533,0.024946344363341533,6.1025778372754065,1.552074514764201,0.4117503264503521,0.02970993632873437,0.022683120231757697,0.061800549964738244,0.02817567705072434,0.33367294136146625,0.43119328503158094,0.7471276637268676,2
RAYA,etf,2026-04-05,2015-01-15,2026-04-05,1745,5.16,53.39,85.0,bullish,False,-0.5872388958249323,0.375,24,-0.03477509021203695,0.37256649749400306,0.3537453911049899,0.3661873148668431,0.05009787325062254,0.23453005708233587,0.1756333276447799,-0.1023238495205191,-0.1023238495205191,-0.1023238495205191,11.625077822450262,0.9113324194823849,0.3395319275792877,0.008464577131309266,0.0076922883585217395,0.5537225222736334,0.25144379665695676,-0.03909846449980101,0.5026436507383443,0.6109632340808242,3
ETEL,etf,2026-04-05,2015-01-15,2026-04-05,1755,88.9,53.39,85.0,bullish,False,-0.030444406023847032,0.2777777777777778,18,0.01465921772537504,0.2225122960389312,0.3969268763050371,0.5115323755507659,0.05248097686139963,0.3031169528467106,0.23813824809711215,0.0024693933150574665,-0.1412133437219235,-0.1412133437219235,5.8267592567919735,0.7950558048260341,0.1769096926109212,0.0015422963607892516,0.00619089526371068,0.5360000486171738,0.2522203514856638,0.014415015449290657,0.3720523325522486,0.6863275014601028,4
ADIB,etf,2026-04-05,2015-01-15,2026-04-05,1753,39.72,53.39,85.0,bullish,False,0.1961539273223688,0.7,20,0.007015005296557186,0.1931187908765304,0.4212316281420867,-0.3827292197692126,0.03815938739615454,0.1735490884915687,0.13041321278709406,-0.02957844454081715,-0.02957844454081715,-0.02957844454081715,8.072716739731849,0.6898534558849121,0.13322366528249013,0.0002756428264928433,0.005721820526816426,0.4801476745388482,0.16143357514733733,0.0090797764333848,0.32937960340542505,0.7020169260930663,5
VLMRA,etf,2026-04-05,2021-09-19,2026-04-05,1072,32.5,53.39,85.0,bullish,False,-0.06427263258405015,0.25,4,0.23271451131433252,0.18308062111047407,0.01004549556008838,-0.32765869543352955,0.17182040211563,0.05575250078918792,-0.09904922385451775,-0.053769792672208716,-0.053769792672208716,-0.053769792672208716,6.1382726375904735,0.9570314223679087,0.17521390722935717,0.019652637711272646,0.012963918901869202,0.19651294035646602,0.14015593125356066,0.2110890293189619,0.2836196111860031,0.23725078084542525,6
AMOC,etf,2026-04-05,2015-01-15,2026-04-05,1755,8.7,53.39,80.0,bullish,True,0.19327287902398677,0.65,20,0.252923917485399,0.10549357854042651,-0.13063097242490762,-0.29592496651553013,0.1452267698295333,-0.021741976552234532,-0.145795357548812,-0.09260608972531925,-0.09260608972531925,-0.1308517352028511,3.0525507011501523,1.9588253739531798,0.20664349843411012,0.024446055596120363,0.01374973090424082,0.06277019966661332,0.04310817945662343,0.2342841606654926,0.23712886690004562,0.12957883248049745,7
RMDA,etf,2026-04-05,2019-12-25,2026-04-05,1267,4.16,53.39,80.0,bullish,True,0.02624850544174856,0.4444444444444444,9,-0.09492301768426836,0.09993909913830334,-0.24483170616549987,-0.35662109009177745,0.06272406099822248,-0.16350092341538403,-0.21287274158553648,-0.12041226897058821,-0.12041226897058821,-0.25458002715432826,3.8590999077187154,1.1112868415224595,0.11106100582600507,0.009826347121459689,0.007529585435313074,0.42028185995090017,0.2124377739760295,-0.10808507326332244,0.25538995863635217,0.010064859095815426,8
COMI,etf,2026-04-05,2015-01-15,2026-04-05,1754,126.9,53.39,75.0,bullish,False,-0.08312201836104825,0.3333333333333333,21,0.003188060054613029,0.08278703877130544,-0.04810751629535659,0.06725207408305156,0.001079106261745011,0.004549334637884206,0.003466487667590945,-0.0223213105928457,-0.0398591887910138,-0.059668069834296844,4.183387605198325,1.0628094855763315,0.08798685008891895,-0.0006136067854601174,0.0012475764935914832,0.6074890277397021,0.3919759851053748,0.00734932031843725,0.15064234274831417,0.1628402937416581,9
OIH,etf,2026-04-05,2015-01-15,2026-04-05,1750,1.42,53.39,75.0,bullish,False,-0.06767304500078432,0.35294117647058826,17,0.23049708402770763,0.08106580723498524,-0.09112516227370493,0.7569193309032229,0.16196715229917502,0.04370209095528477,-0.10178003836845129,-0.0076331940791170005,-0.0076331940791170005,-0.09112516227370493,3.6676413179317082,0.9462483333486874,0.07670838498767076,0.01331780646768861,0.008409387139580343,0.20011066855590484,0.08686024914966345,0.20263862341408567,0.2398678157330652,0.224626805309951,10
