symbol,sample,rule,horizon_days,samples,days_on,coverage,avg_excess_on,hit_rate_on,avg_excess_off,hit_rate_off,edge_avg_excess,edge_hit_rate
ABUK,month_end,rel_mom_63_gt_0,21,131,68,0.5190839694656488,0.008705514048557026,0.5,0.028255640847377923,0.5238095238095238,-0.0195501267988209,-0.023809523809523836
ABUK,month_end,rel_mom_126_gt_0,21,131,67,0.5114503816793893,-0.016222832001434147,0.4626865671641791,0.05404703238723087,0.5625,-0.07026986438866502,-0.09981343283582089
ABUK,month_end,ratio_gt_sma50,21,131,59,0.45038167938931295,0.04269418516045133,0.6271186440677966,-0.0020399527191658617,0.4166666666666667,0.04473413787961719,0.21045197740112992
ABUK,month_end,ratio_gt_sma200,21,131,69,0.5267175572519084,0.00897921272175542,0.5362318840579711,0.028266365336863924,0.4838709677419355,-0.019287152615108504,0.052360916316035566
ABUK,month_end,sma50_gt_sma200,21,131,64,0.48854961832061067,-0.0016084495792089357,0.46875,0.03694061345904566,0.5522388059701493,-0.038549063038254595,-0.0834888059701493
ABUK,month_end,rel_mom_63_volume_1_1,21,131,22,0.16793893129770993,0.10361609896905605,0.7727272727272727,0.0008488637740133355,0.45871559633027525,0.10276723519504272,0.31401167639699745
ABUK,month_end,residual_strength_63_gt_0,21,131,66,0.5038167938931297,0.03183061997089649,0.5454545454545454,0.004173221701654132,0.47692307692307695,0.02765739826924236,0.06853146853146846
ABUK,month_end,relative_breakout_63,21,131,9,0.06870229007633588,-0.0048191779930593336,0.4444444444444444,0.019798794513313282,0.5163934426229508,-0.024617972506372616,-0.07194899817850642
ABUK,month_end,rel_mom_63_gt_0,63,128,67,0.5234375,0.010808275679451902,0.417910447761194,0.14765258790087138,0.5901639344262295,-0.1368443122214195,-0.17225348666503548
ABUK,month_end,rel_mom_126_gt_0,63,128,67,0.5234375,0.031907539528580435,0.4626865671641791,0.12447798662395972,0.5409836065573771,-0.09257044709537929,-0.07829703939319799
ABUK,month_end,ratio_gt_sma50,63,128,56,0.4375,0.09341171674265761,0.5,0.062498697151216746,0.5,0.03091301959144086,0.0
ABUK,month_end,ratio_gt_sma200,63,128,68,0.53125,0.06013167492671168,0.5147058823529411,0.0940334739576673,0.48333333333333334,-0.033901799030955616,0.03137254901960779
ABUK,month_end,sma50_gt_sma200,63,128,64,0.5,0.028584031438023003,0.5,0.12346225500692125,0.5,-0.09487822356889825,0.0
ABUK,month_end,rel_mom_63_volume_1_1,63,128,22,0.171875,0.2648448126010052,0.7272727272727273,0.03683374014390865,0.4528301886792453,0.2280110724570965,0.274442538593482
ABUK,month_end,residual_strength_63_gt_0,63,128,64,0.5,0.10003246558783872,0.484375,0.05201382085710551,0.515625,0.048018644730733216,-0.03125
ABUK,month_end,relative_breakout_63,63,128,8,0.0625,0.11408992759496943,0.5,0.07348535759763895,0.5,0.040604569997330475,0.0
ABUK,month_end,rel_mom_63_gt_0,126,125,67,0.536,-0.0757296198531559,0.4925373134328358,0.37547859130152417,0.6206896551724138,-0.45120821115468007,-0.128152341739578
ABUK,month_end,rel_mom_126_gt_0,126,125,67,0.536,0.007972492567758773,0.5970149253731343,0.2787882200566744,0.5,-0.27081572748891564,0.09701492537313428
ABUK,month_end,ratio_gt_sma50,126,125,56,0.448,-0.009224786053196755,0.4642857142857143,0.2495719099174779,0.6231884057971014,-0.2587966959706747,-0.15890269151138714
ABUK,month_end,ratio_gt_sma200,126,125,68,0.544,0.05356381407702372,0.6323529411764706,0.22914972645770776,0.45614035087719296,-0.17558591238068405,0.1762125902992776
ABUK,month_end,sma50_gt_sma200,126,125,64,0.512,0.06779520691879166,0.640625,0.2027045987299064,0.45901639344262296,-0.13490939181111472,0.18160860655737704
