date,symbol,stock_close,benchmark_close,ratio,rel_mom_21,rel_mom_63,rel_mom_126,rel_mom_252,ratio_vs_sma50,ratio_vs_sma200,sma50_vs_sma200,ratio_breakout_20,ratio_breakout_63,ratio_breakout_126,vol_adj_rel_mom_63,volume_ratio_20_63,mom63_volume_score,down_day_excess_63,down_day_excess_126,beta_252,corr_252,residual_strength_21_126b,residual_strength_63_126b,residual_strength_126_126b,excess_fwd_21,excess_fwd_63,excess_fwd_126
2015-01-15,AMOC,3.93,10.4,0.3778846153846154,,,,,,,,,,,,,,,,,,,,,-0.0008440986494421265,-0.05131141123507532,-0.1447886083382267
2015-01-18,AMOC,3.87,10.22,0.3786692759295499,,,,,,,,,,,,,,,,,,,,,-0.014173960972304389,-0.06431630738734906,-0.15218424632250693
2015-01-19,AMOC,3.83,10.2,0.3754901960784314,,,,,,,,,,,,,,,,,,,,,-0.009793682486049504,-0.07300465878257312,-0.13706291916244306
2015-01-20,AMOC,3.79,10.51,0.36060894386298764,,,,,,,,,,,,,,,,,,,,,0.02560195215512795,-0.023545862842022536,-0.10358773777455321
2015-01-21,AMOC,3.77,10.58,0.3563327032136106,,,,,,,,,,,,,,,,,,,,,0.0635401362863719,-0.04405238852145843,-0.10917200262744875
2015-01-22,AMOC,3.77,10.65,0.3539906103286385,,,,,,,,,,,,,,,,,,,,,0.032863849765258135,-0.03168578224430574,-0.11761995491961497
2015-01-26,AMOC,3.83,10.54,0.3633776091081594,,,,,,,,,,,,,,,,,,,,,0.019203234228922672,-0.05967073092186426,-0.13216095837812936
2015-01-27,AMOC,3.82,10.68,0.35767790262172283,,,,,,,,,,,,,,,,,,,,,0.028300684353981587,-0.06171441457340621,-0.12094338882679379
2015-01-28,AMOC,3.79,10.57,0.358561967833491,,,,,,,,,,,,,,,,,,,,,0.042226343786741505,-0.06967496499027725,-0.11728569181958204
2015-01-29,AMOC,3.74,10.51,0.3558515699333968,,,,,,,,,,,,,,,,,,,,,0.05482428245063242,-0.05182739128001346,-0.06876313365931097
2015-02-01,AMOC,3.87,10.47,0.36962750716332377,,,,,,,,,,,,,,,,,,,,,-0.00016288694905330914,-0.08862530818951142,-0.12752567320435648
2015-02-02,AMOC,3.92,10.5,0.37333333333333335,,,,,,,,,,,,,,,,,,,,,-0.013231292517006832,-0.11112244897959189,-0.16309523809523807
2015-02-03,AMOC,3.91,10.56,0.3702651515151515,,,,,,,,,,,,,,,,,,,,,-0.01166153220181343,-0.11521545377044107,-0.1752160350306129
2015-02-04,AMOC,3.95,10.68,0.3698501872659176,,,,,,,,,,,,,,,,,,,,,-0.01356137107097155,-0.10716588441663122,-0.15489024794955675
2015-02-05,AMOC,3.98,10.62,0.3747645951035782,,,,,,,,,,,,,,,,,,,,,-0.027032526095638332,-0.11911251171109782,-0.2595699779500138
2015-02-08,AMOC,3.97,10.61,0.3741753063147974,,,,,,,,,,,,,,,,,,,,,-0.03689072378370295,-0.12055543817082404,-0.26153740233656286
2015-02-09,AMOC,3.94,10.68,0.36891385767790263,,,,,,,,,,,,,,,,,,,,,-0.02333694556930732,-0.06617045951443956,-0.24507119907222574
2015-02-10,AMOC,3.91,10.64,0.3674812030075188,,,,,,,,,,,,,,,,,,,,,-0.0025407188046843165,-0.10268397977039789,-0.24168076841720676
2015-02-11,AMOC,3.91,10.42,0.3752399232245682,,,,,,,,,,,,,,0.008185038272254641,,,,,,,-0.03739856954214549,-0.13742507768358125,-0.27064076068548093
2015-02-12,AMOC,3.91,10.43,0.37488015340364333,,,,,,,,,,,,,,0.008185038272254641,,,,,,,-0.04507703285574516,-0.12279157358887538,-0.2698908568387962
2015-02-15,AMOC,3.88,10.43,0.3720038350910834,,,,,,,,-0.017602275289180236,,,,,,0.008185038272254641,,,,,,,-0.017566792855660318,-0.10383410265787629,-0.23435816587757363
2015-02-16,AMOC,3.87,10.25,0.3775609756097561,-0.0008564513126047002,,,,,,,-0.0029268292682926855,,,,,,0.008775543000934275,,,,,,,-0.03939244973845091,-0.16389739711350615,-0.24607802357093345
2015-02-17,AMOC,3.8,10.18,0.37328094302554027,-0.014229654335653374,,,,,,,-0.011336003614525136,,,,,,0.007106032167150185,,,,,,,-0.027649674283941605,-0.14161927411849862,-0.25505118395202153
2015-02-18,AMOC,3.8,10.22,0.37181996086105673,-0.009774516766898667,,,,,,,-0.015205530019165026,,,,,,0.007106032167150185,,,,,,,-0.040822947780409846,-0.14213616232361703,-0.2547069729117314
2015-02-19,AMOC,3.75,10.13,0.37018756169792694,0.026562341278419943,,,,,,,-0.019529067854327842,,,,,,0.0062246733461446095,,,,,,,-0.024500164527805124,-0.13976966107272115,-0.2707337940111878
2015-02-22,AMOC,3.81,10.02,0.38023952095808383,0.06709128162772604,,,,,,,0.0070943384548731725,,,,,,0.007698542045929949,,,,,,,-0.0609961180002202,-0.16339761422037813,-0.21791849372121896
2015-02-23,AMOC,3.77,10.3,0.36601941747572814,0.03398058252427183,,,,,,,-0.037397752465407885,,,,,,0.007698542045929949,,,,,,,-0.05433287837037404,-0.10975766784270291,-0.19924544822435675
2015-02-24,AMOC,3.78,10.2,0.37058823529411766,0.01984334203655358,,,,,,,-0.02538212135247797,,,,,,0.008009389760066413,,,,,,,-0.07043261749144103,-0.11812947401182694,-0.18137254901960786
2015-02-25,AMOC,3.76,10.21,0.36826640548481876,0.029603458266456606,,,,,,,-0.03148835092968927,,,,,,0.008009389760066413,,,,,,,-0.06300925250588685,-0.11284827140683928,-0.19400306332965178
2015-02-26,AMOC,3.76,10.04,0.3745019920318725,0.044455423687834505,,,,,,,-0.015089249302004615,,,,,,0.008549449325135731,,,,,,,-0.07184029838094441,-0.09982410782402307,-0.21350767144189198
2015-03-01,AMOC,3.76,9.99,0.37637637637637633,0.05767799885446934,,,,,,,-0.01015976606527802,,,,,,0.008339486404908617,,,,,,,-0.09734468511064254,-0.11149713543330553,-0.2339600238536409
