rebalance_date,warning,symbols
2015-05-03,selected_without_fundamentals,"ARCC,VLMR,JUFO"
2015-07-02,selected_without_fundamentals,"ABUK,EAST"
2015-08-03,selected_without_fundamentals,"COMI,EAST,ORWE,ARCC,BFTH,VLMR,EGCH"
2015-10-04,selected_without_fundamentals,"EAST,ORWE,COMI"
2015-11-01,selected_without_fundamentals,"EFID,ORWE,BFTH,OIH,CCAP,HRHO,ARCC"
2015-12-02,selected_without_fundamentals,"BFTH,GBCO,EFID"
2016-01-03,selected_without_fundamentals,"ADIB,PHDC,BFTH,HELI,GBCO,EFID,HRHO,OIH,COMI"
2016-02-01,selected_without_fundamentals,EGCH
2016-03-02,selected_without_fundamentals,"EGCH,PHDC,ETEL,RAYA,EAST,ORWE"
2016-04-04,selected_without_fundamentals,"BFTH,EGCH,ETEL,PHDC,EAST,OIH,HRHO,HELI,EFID,AMOC"
2016-05-03,selected_without_fundamentals,"BFTH,COMI,HRHO,EGCH,TMGH,OIH,HELI,EMFD,EFID,ORHD"
2016-06-01,selected_without_fundamentals,"HRHO,AMOC,ETEL,EFID,COMI,ARCC"
2016-07-10,selected_without_fundamentals,"HRHO,ETEL,AMOC"
2016-10-03,selected_without_fundamentals,"ORWE,ORAS,AMOC"
2016-11-02,selected_without_fundamentals,"ORAS,ORWE,HRHO,COMI,AMOC,HELI"
2016-12-01,selected_without_fundamentals,"ORWE,ORAS,HRHO,HELI,AMOC,OIH,EAST"
2017-01-02,selected_without_fundamentals,"HRHO,ORWE,ADIB,HELI,AMOC,TMGH,ORAS,COMI,JUFO"
2017-02-07,selected_without_fundamentals,"AMOC,ORWE,HELI,EAST,CCAP,GBCO,EFID,ARCC"
2017-03-01,selected_without_fundamentals,"AMOC,EGCH,ORWE"
2017-04-05,selected_without_fundamentals,RAYA
2017-05-02,selected_without_fundamentals,"EGAL,RAYA,ABUK,EAST,JUFO"
2017-06-01,selected_without_fundamentals,"EGAL,ABUK,ORHD,EAST,ORAS,JUFO"
2017-07-09,selected_without_fundamentals,"ABUK,ORHD,EAST,ORAS,EGAL,BFTH"
2017-08-14,selected_without_fundamentals,"EGAL,ABUK,ORHD,EAST,BFTH"
2017-09-07,selected_without_fundamentals,"EGAL,CCAP,ETEL"
