date,symbol,action,shares,price,value,fee,reason
2021-11-01,MCQE,BUY,11428.0,9.714855,111021.36294,227.04272588,rebalance_buy
2021-11-01,GBCO,BUY,26674.0,4.16208,111019.32191999999,227.03864384,rebalance_buy
2021-11-01,ETEL,BUY,8281.0,13.406699999999999,111020.88269999999,227.04176539999997,rebalance_buy
2021-11-01,ADIB,BUY,11052.0,10.04502,111017.56103999999,227.03512207999998,rebalance_buy
2021-11-01,AMOC,BUY,26739.0,4.152075,111022.333425,227.04466685000003,rebalance_buy
2021-11-01,ORWE,BUY,13565.0,8.18409,111017.18084999999,227.03436169999998,rebalance_buy
2021-11-01,HRHO,BUY,13434.0,8.26413,111020.32242,227.04064484,rebalance_buy
2021-11-01,EGAL,BUY,4451.0,24.942465,111018.911715,227.03782343,rebalance_buy
2021-12-01,EGAL,SELL,4451.0,21.00949,93513.23999,187.02647998,rebalance_exit
2021-12-01,ORWE,SELL,13565.0,8.465765000000001,114838.10222500001,229.67620445000003,rebalance_exit
2021-12-01,MCQE,SELL,326.0,10.03498,3271.4034799999995,6.542806959999999,rebalance_trim
2021-12-01,ETEL,SELL,519.0,14.35282,7449.113579999999,14.89822716,rebalance_trim
2021-12-01,ADIB,SELL,251.0,10.31484,2589.02484,5.17804968,rebalance_trim
2021-12-01,HRHO,SELL,1824.0,9.5952,17501.644800000002,35.0032896,rebalance_trim
2021-12-01,AMOC,BUY,5276.0,3.48174,18369.660239999997,41.739320479999996,rebalance_buy
2021-12-01,GBCO,BUY,1900.0,3.90195,7413.705,19.82741,rebalance_buy
2021-12-01,TMGH,BUY,13575.0,8.194094999999999,111234.839625,227.46967924999998,rebalance_buy
2021-12-01,AMOC,BUY,4560.0,3.48174,15876.7344,36.7534688,cash_deploy_current_basket
2021-12-01,MCQE,BUY,1580.0,10.04502,15871.131599999999,36.7422632,cash_deploy_current_basket
2021-12-01,ETEL,BUY,1105.0,14.36718,15875.7339,36.7514678,cash_deploy_current_basket
2021-12-01,GBCO,BUY,4069.0,3.90195,15877.034549999998,36.754069099999995,cash_deploy_current_basket
2021-12-01,ADIB,BUY,1537.0,10.32516,15869.77092,36.73954184,cash_deploy_current_basket
2021-12-01,HRHO,BUY,1653.0,9.6048,15876.7344,36.7534688,cash_deploy_current_basket
2021-12-01,TMGH,BUY,1937.0,8.194094999999999,15871.962014999997,36.743924029999995,cash_deploy_current_basket
2022-01-02,MCQE,SELL,12682.0,9.735130000000002,123460.91866000002,246.92183732000007,rebalance_exit
2022-01-02,HRHO,SELL,744.0,9.865065,7339.608359999999,14.67921672,rebalance_trim
2022-01-02,ETEL,SELL,1499.0,16.761615,25125.660884999998,50.25132177,rebalance_trim
2022-01-02,ADIB,SELL,1012.0,10.904545,11035.39954,22.07079908,rebalance_trim
2022-01-02,GBCO,SELL,8419.0,5.09745,42915.43155,85.8308631,rebalance_trim
2022-01-02,TMGH,SELL,1889.0,9.065465000000001,17124.663385000003,34.24932677000001,rebalance_trim
2022-01-02,AMOC,SELL,2816.0,3.65817,10301.40672,20.602813440000002,rebalance_trim
2022-01-02,GBCO,BUY,2.0,5.102549999999999,10.205099999999998,5.0204102,rebalance_buy
2022-01-02,JUFO,BUY,16110.0,7.653825,123303.12075,251.6062415,rebalance_buy
2022-01-02,PHDC,BUY,61795.0,1.9909949999999998,123033.536025,251.06707205,rebalance_buy
2022-02-01,ADIB,SELL,11326.0,8.645675,97920.91505000001,195.84183010000004,rebalance_exit
2022-02-01,PHDC,SELL,61795.0,1.73913,107469.53835,214.93907670000002,rebalance_exit
2022-02-01,ETEL,SELL,368.0,16.861565000000002,6205.055920000001,12.41011184,rebalance_trim
2022-02-01,HRHO,SELL,445.0,9.77511,4349.92395,8.6998479,rebalance_trim
2022-02-01,TMGH,SELL,858.0,9.245375000000001,7932.531750000001,15.865063500000002,rebalance_trim
2022-02-01,AMOC,SELL,2522.0,3.77811,9528.39342,19.05678684,rebalance_trim
2022-02-01,GBCO,BUY,320.0,4.812404999999999,1539.9695999999997,8.079939199999998,rebalance_buy
2022-02-01,COMI,BUY,3450.0,34.147065,117807.37425,240.6147485,rebalance_buy
2022-02-01,HELI,BUY,18754.0,6.2831399999999995,117834.00755999998,240.66801511999998,rebalance_buy
2022-02-01,JUFO,BUY,750.0,7.0035,5252.625,15.50525,rebalance_buy
2022-03-01,AMOC,SELL,31237.0,3.548225,110835.904325,221.67180865,rebalance_exit
2022-03-01,HELI,SELL,18754.0,4.957520000000001,92973.33008000001,185.94666016000002,rebalance_exit
2022-03-01,ETEL,SELL,268.0,17.67116,4735.87088,9.47174176,rebalance_trim
2022-03-01,TMGH,SELL,50.0,9.35532,467.766,0.935532,rebalance_trim
2022-03-01,GBCO,SELL,3886.0,5.7571200000000005,22372.16832,44.74433664,rebalance_trim
2022-03-01,HRHO,SELL,1788.0,11.564215,20676.816420000003,41.35363284,rebalance_trim
2022-03-01,JUFO,BUY,2297.0,6.213105,14271.502185,33.54300437,rebalance_buy
