date,symbol,action,shares,price,value,fee,reason
2021-11-01,ETEL,BUY,22083.0,13.406699999999999,296060.15609999996,597.1203122,pullback_signal_buy
2021-11-01,ADIB,BUY,29474.0,10.04502,296066.91948,597.1338389599999,pullback_signal_buy
2021-11-01,ORWE,BUY,36176.0,8.18409,296067.63983999996,597.1352796799999,pullback_signal_buy
2021-12-01,ORWE,SELL,36176.0,8.465765000000001,306257.51464000007,612.5150292800001,rebalance_exit
2021-12-01,AMOC,BUY,90478.0,3.48174,315020.87172,635.04174344,pullback_signal_buy
2022-01-13,ADIB,BUY,468.0,10.64532,4982.00976,14.96401952,pullback_signal_buy
2022-01-13,GBCO,BUY,1058.0,4.712355,4985.67159,14.97134318,pullback_signal_buy
2022-02-01,ADIB,SELL,29942.0,8.645675,258868.80085000003,517.7376017,rebalance_exit
2022-02-01,GBCO,BUY,11129.0,4.812404999999999,53557.25524499999,112.11451048999999,pullback_signal_buy
2022-02-01,COMI,BUY,1568.0,34.147065,53542.59792,112.08519584,pullback_signal_buy
2022-02-01,HRHO,BUY,5473.0,9.784889999999999,53552.70296999999,112.10540593999998,pullback_signal_buy
2022-02-01,HELI,BUY,8524.0,6.2831399999999995,53557.48536,112.11497072,pullback_signal_buy
2022-02-01,JUFO,BUY,7647.0,7.0035,53555.7645,112.11152899999999,pullback_signal_buy
2022-02-02,JUFO,BUY,1.0,7.0035,7.0035,5.014007,pullback_signal_buy
2022-02-13,AMOC,BUY,1.0,3.6718349999999997,3.6718349999999997,5.00734367,pullback_signal_buy
2022-02-24,AMOC,BUY,1.0,3.591795,3.591795,5.00718359,pullback_signal_buy
2022-03-01,AMOC,SELL,90480.0,3.548225,321043.398,642.0867959999999,rebalance_exit
2022-03-01,HELI,SELL,8524.0,4.957520000000001,42257.900480000004,84.51580096,rebalance_exit
2022-03-01,JUFO,BUY,59845.0,6.213105,371823.268725,748.64653745,pullback_signal_buy
2022-04-03,COMI,SELL,1568.0,30.68465,48113.531200000005,96.22706240000001,rebalance_exit
2022-04-03,GBCO,SELL,12187.0,3.9880050000000002,48601.816935,97.20363387,rebalance_exit
2022-04-03,JUFO,SELL,67493.0,7.266365,490428.77294500003,980.8575458900001,rebalance_exit
