rebalance_date,selection_date,mode,selected_count,weights
2021-11-01,2021-10-31,ensemble,8,{}
2021-12-01,2021-11-30,ensemble,8,{}
2022-01-02,2021-12-29,ensemble,8,{}
2022-02-01,2022-01-31,ensemble,8,{}
2022-03-01,2022-02-28,ensemble,8,{}
2022-04-03,2022-03-31,ensemble,8,{}
2022-05-08,2022-04-28,ensemble,8,{}
2022-06-01,2022-05-31,ensemble,2,{}
2022-07-03,2022-06-29,ensemble,3,{}
2022-08-01,2022-07-31,ensemble,5,{}
2022-09-01,2022-08-31,ensemble,8,{}
2022-10-02,2022-09-29,ensemble,8,{}
2022-11-01,2022-10-31,ensemble,8,{}
2022-12-01,2022-11-30,ensemble,8,{}
2023-01-02,2022-12-29,ensemble,8,{}
2023-02-01,2023-01-31,ensemble,8,{}
2023-03-01,2023-02-28,ensemble,8,{}
2023-04-02,2023-03-30,ensemble,8,{}
2023-05-01,2023-04-30,ensemble,8,{}
2023-06-01,2023-05-31,ensemble,8,{}
2023-07-04,2023-06-26,ensemble,8,{}
2023-08-01,2023-07-31,ensemble,8,{}
2023-09-03,2023-08-31,ensemble,8,{}
2023-10-01,2023-09-27,ensemble,8,{}
2023-11-01,2023-10-31,ensemble,8,{}
2023-12-03,2023-11-30,ensemble,8,{}
2024-01-02,2023-12-31,ensemble,8,{}
2024-02-01,2024-01-31,ensemble,8,{}
2024-03-03,2024-02-29,ensemble,8,{}
2024-04-01,2024-03-31,ensemble,8,{}
2024-05-01,2024-04-30,ensemble,8,{}
2024-06-02,2024-05-30,ensemble,8,{}
2024-07-01,2024-06-27,ensemble,8,{}
2024-08-01,2024-07-31,ensemble,8,{}
2024-09-01,2024-08-29,ensemble,8,{}
2024-10-01,2024-09-30,ensemble,8,{}
2024-11-03,2024-10-31,ensemble,8,{}
2024-12-01,2024-11-28,ensemble,8,{}
2025-01-02,2024-12-31,ensemble,8,{}
2025-02-02,2025-01-30,ensemble,8,{}
2025-03-02,2025-02-27,ensemble,8,{}
2025-04-03,2025-03-27,ensemble,8,{}
2025-05-04,2025-04-30,ensemble,8,{}
2025-07-01,2025-06-30,ensemble,8,{}
2025-08-03,2025-07-31,ensemble,8,{}
2025-09-01,2025-08-31,ensemble,8,{}
2025-10-01,2025-09-30,ensemble,8,{}
2025-11-02,2025-10-30,ensemble,8,{}
2025-12-01,2025-11-30,ensemble,8,{}
2026-01-04,2025-12-31,ensemble,8,{}
2026-02-01,2026-01-28,ensemble,8,{}
2026-03-01,2026-02-26,ensemble,8,{}
2026-04-01,2026-03-31,ensemble,8,{}
