date,etf_dca_equity,ensemble_immediate_equity,ensemble_pullback_equity,walk_forward_ic_immediate_equity,walk_forward_ic_pullback_equity
2015-01-15,107655.38877940002,110000.0,110000.0,110000.0,110000.0
2015-01-18,105792.20877940001,110000.0,110000.0,110000.0,110000.0
2015-01-19,105585.1887794,110000.0,110000.0,110000.0,110000.0
2015-01-20,108793.9987794,110000.0,110000.0,110000.0,110000.0
2015-01-21,109518.56877940001,110000.0,110000.0,110000.0,110000.0
2015-01-22,110243.13877940002,110000.0,110000.0,110000.0,110000.0
2015-01-26,109104.5287794,110000.0,110000.0,110000.0,110000.0
2015-01-27,110553.6687794,110000.0,110000.0,110000.0,110000.0
2015-01-28,109415.05877940002,110000.0,110000.0,110000.0,110000.0
2015-01-29,108793.9987794,110000.0,110000.0,110000.0,110000.0
2015-02-01,118279.42443465002,120000.0,120000.0,120000.0,120000.0
2015-02-02,118618.30443465001,120000.0,120000.0,120000.0,120000.0
2015-02-03,119296.06443465002,120000.0,120000.0,120000.0,120000.0
2015-02-04,120651.58443465001,120000.0,120000.0,120000.0,120000.0
2015-02-05,119973.82443465,120000.0,120000.0,120000.0,120000.0
2015-02-08,119860.86443465001,120000.0,120000.0,120000.0,120000.0
2015-02-09,120651.58443465001,120000.0,120000.0,120000.0,120000.0
2015-02-10,120199.74443465001,120000.0,120000.0,120000.0,120000.0
2015-02-11,117714.62443465,120000.0,120000.0,120000.0,120000.0
2015-02-12,117827.58443465001,120000.0,120000.0,120000.0,120000.0
2015-02-15,117827.58443465001,120000.0,120000.0,120000.0,120000.0
2015-02-16,115794.30443465001,120000.0,120000.0,120000.0,120000.0
2015-02-17,115003.58443465001,120000.0,120000.0,120000.0,120000.0
2015-02-18,115455.42443465002,120000.0,120000.0,120000.0,120000.0
2015-02-19,114438.78443465002,120000.0,120000.0,120000.0,120000.0
2015-02-22,113196.22443465001,120000.0,120000.0,120000.0,120000.0
2015-02-23,116359.10443465001,120000.0,120000.0,120000.0,120000.0
2015-02-24,115229.50443465,120000.0,120000.0,120000.0,120000.0
2015-02-25,115342.46443465001,120000.0,120000.0,120000.0,120000.0
2015-02-26,113422.14443465,120000.0,120000.0,120000.0,120000.0
2015-03-01,122723.70745585002,130000.0,130000.0,130000.0,130000.0
2015-03-02,124320.62745585,130000.0,130000.0,130000.0,130000.0
2015-03-03,124443.46745585003,130000.0,130000.0,130000.0,130000.0
2015-03-04,124934.82745585001,130000.0,130000.0,130000.0,130000.0
2015-03-05,125671.86745585002,130000.0,130000.0,130000.0,130000.0
2015-03-08,125794.70745585002,130000.0,130000.0,130000.0,130000.0
2015-03-09,127268.78745585,130000.0,130000.0,130000.0,130000.0
2015-03-10,127268.78745585,130000.0,130000.0,130000.0,130000.0
2015-03-11,124689.14745585002,130000.0,130000.0,130000.0,130000.0
2015-03-12,126900.26745585001,130000.0,130000.0,130000.0,130000.0
2015-03-15,128005.82745585001,130000.0,130000.0,130000.0,130000.0
