rebalance_date,selection_date,horizon,factor,ic,observations
2021-11-01,2021-10-31,1m,score_momentum,-0.62697118916282,12
2021-11-01,2021-10-31,1m,score_value,-0.3292288085687648,12
2021-11-01,2021-10-31,1m,score_quality,0.13781693108434281,12
2021-11-01,2021-10-31,1m,score_growth,-0.46153846153846156,12
2021-11-01,2021-10-31,1m,score_low_risk,0.3636363636363637,12
2021-11-01,2021-10-31,1m,score_liquidity,-0.16783216783216784,12
2021-11-01,2021-10-31,3m,score_momentum,-0.325744807777331,12
2021-11-01,2021-10-31,3m,score_value,0.1911651146528312,12
2021-11-01,2021-10-31,3m,score_quality,0.5371326544825669,12
2021-11-01,2021-10-31,3m,score_growth,-0.23076923076923078,12
2021-11-01,2021-10-31,3m,score_low_risk,0.39860139860139865,12
2021-11-01,2021-10-31,3m,score_liquidity,-0.07692307692307693,12
2021-11-01,2021-10-31,6m,score_momentum,-0.4518395720782334,12
2021-11-01,2021-10-31,6m,score_value,0.09204246261062243,12
2021-11-01,2021-10-31,6m,score_quality,0.3745793511523164,12
2021-11-01,2021-10-31,6m,score_growth,-0.3426573426573427,12
2021-11-01,2021-10-31,6m,score_low_risk,0.20979020979020982,12
2021-11-01,2021-10-31,6m,score_liquidity,0.16783216783216784,12
2021-12-01,2021-11-30,1m,score_momentum,0.07692307692307693,14
2021-12-01,2021-11-30,1m,score_value,0.1502785366698737,14
2021-12-01,2021-11-30,1m,score_quality,0.042855446988560704,14
2021-12-01,2021-11-30,1m,score_growth,0.24395604395604395,14
2021-12-01,2021-11-30,1m,score_low_risk,-0.2552256769947235,14
2021-12-01,2021-11-30,1m,score_liquidity,0.178021978021978,14
2021-12-01,2021-11-30,3m,score_momentum,0.3142857142857143,14
2021-12-01,2021-11-30,3m,score_value,0.4861952656966502,14
2021-12-01,2021-11-30,3m,score_quality,0.027066598098038335,14
2021-12-01,2021-11-30,3m,score_growth,0.1252747252747253,14
2021-12-01,2021-11-30,3m,score_low_risk,-0.17821792962562585,14
2021-12-01,2021-11-30,3m,score_liquidity,0.389010989010989,14
2021-12-01,2021-11-30,6m,score_momentum,-0.3450549450549451,14
2021-12-01,2021-11-30,6m,score_value,0.07513926833493685,14
2021-12-01,2021-11-30,6m,score_quality,0.2097661352597971,14
2021-12-01,2021-11-30,6m,score_growth,0.13406593406593406,14
2021-12-01,2021-11-30,6m,score_low_risk,0.14521460932458408,14
2021-12-01,2021-11-30,6m,score_liquidity,0.2043956043956044,14
2022-01-02,2021-12-29,1m,score_momentum,0.24264705882352944,17
2022-01-02,2021-12-29,1m,score_value,0.33579564410061946,17
2022-01-02,2021-12-29,1m,score_quality,0.040691278894576334,17
2022-01-02,2021-12-29,1m,score_growth,0.11764705882352941,17
2022-01-02,2021-12-29,1m,score_low_risk,-0.303921568627451,17
2022-01-02,2021-12-29,1m,score_liquidity,0.27941176470588236,17
2022-01-02,2021-12-29,3m,score_momentum,0.22058823529411767,17
2022-01-02,2021-12-29,3m,score_value,0.14637246024898798,17
2022-01-02,2021-12-29,3m,score_quality,-0.1541336321764255,17
2022-01-02,2021-12-29,3m,score_growth,-0.07843137254901962,17
2022-01-02,2021-12-29,3m,score_low_risk,0.24754901960784317,17
2022-01-02,2021-12-29,3m,score_liquidity,0.23529411764705882,17
2022-01-02,2021-12-29,6m,score_momentum,-0.2377450980392157,17
2022-01-02,2021-12-29,6m,score_value,-0.012300206743612435,17
2022-01-02,2021-12-29,6m,score_quality,0.046856624181633354,17
2022-01-02,2021-12-29,6m,score_growth,-0.15441176470588236,17
2022-01-02,2021-12-29,6m,score_low_risk,0.1519607843137255,17
2022-01-02,2021-12-29,6m,score_liquidity,0.11519607843137256,17
2022-02-01,2022-01-31,1m,score_momentum,0.577717190274766,13
2022-02-01,2022-01-31,1m,score_value,0.2929215034631449,13
2022-02-01,2022-01-31,1m,score_quality,0.15022039218474323,13
2022-02-01,2022-01-31,1m,score_growth,-0.17032967032967034,13
2022-02-01,2022-01-31,1m,score_low_risk,0.11019325559678173,13
2022-02-01,2022-01-31,1m,score_liquidity,-0.010989010989010988,13
2022-02-01,2022-01-31,3m,score_momentum,-0.17881722556123708,13
2022-02-01,2022-01-31,3m,score_value,-0.22875774556169406,13
2022-02-01,2022-01-31,3m,score_quality,-0.008345577343596845,13
2022-02-01,2022-01-31,3m,score_growth,-0.5054945054945055,13
2022-02-01,2022-01-31,3m,score_low_risk,0.42424403404760963,13
2022-02-01,2022-01-31,3m,score_liquidity,-0.06043956043956044,13
2022-02-01,2022-01-31,6m,score_momentum,-0.26960135546155745,13
2022-02-01,2022-01-31,6m,score_value,-0.10321995836320341,13
2022-02-01,2022-01-31,6m,score_quality,0.09458320989409758,13
2022-02-01,2022-01-31,6m,score_growth,-0.4450549450549451,13
2022-02-01,2022-01-31,6m,score_low_risk,0.07438044752782767,13
2022-02-01,2022-01-31,6m,score_liquidity,0.14835164835164835,13
2022-03-01,2022-02-28,1m,score_momentum,-0.08333333333333334,9
2022-03-01,2022-02-28,1m,score_value,-0.08257228238447704,9
2022-03-01,2022-02-28,1m,score_quality,-0.20110550732501734,9
2022-03-01,2022-02-28,1m,score_growth,0.016666666666666666,9
2022-03-01,2022-02-28,1m,score_low_risk,0.8666666666666667,9
2022-03-01,2022-02-28,1m,score_liquidity,0.3,9
2022-03-01,2022-02-28,3m,score_momentum,-0.09999999999999999,9
2022-03-01,2022-02-28,3m,score_value,-0.1926686588971131,9
2022-03-01,2022-02-28,3m,score_quality,-0.026231153129350083,9
2022-03-01,2022-02-28,3m,score_growth,0.0,9
2022-03-01,2022-02-28,3m,score_low_risk,0.6833333333333333,9
2022-03-01,2022-02-28,3m,score_liquidity,0.049999999999999996,9
2022-03-01,2022-02-28,6m,score_momentum,-0.049999999999999996,9
2022-03-01,2022-02-28,6m,score_value,-0.1926686588971131,9
2022-03-01,2022-02-28,6m,score_quality,-0.07869345938805025,9
2022-03-01,2022-02-28,6m,score_growth,-0.016666666666666666,9
2022-03-01,2022-02-28,6m,score_low_risk,0.8333333333333333,9
2022-03-01,2022-02-28,6m,score_liquidity,0.06666666666666667,9
2022-04-03,2022-03-31,1m,score_momentum,-0.39090909090909093,11
2022-04-03,2022-03-31,1m,score_value,0.11927107455535572,11
2022-04-03,2022-03-31,1m,score_quality,0.49543369430686224,11
2022-04-03,2022-03-31,1m,score_growth,-0.7818181818181819,11
2022-04-03,2022-03-31,1m,score_low_risk,0.15489789617658978,11
2022-04-03,2022-03-31,1m,score_liquidity,-0.41818181818181827,11
2022-04-03,2022-03-31,3m,score_momentum,-0.11818181818181818,11
2022-04-03,2022-03-31,3m,score_value,-0.05504818825631804,11
2022-04-03,2022-03-31,3m,score_quality,0.0,11
2022-04-03,2022-03-31,3m,score_growth,-0.43636363636363645,11
2022-04-03,2022-03-31,3m,score_low_risk,-0.4510262271024232,11
2022-04-03,2022-03-31,3m,score_liquidity,0.19090909090909092,11
2022-04-03,2022-03-31,6m,score_momentum,-0.08181818181818183,11
2022-04-03,2022-03-31,6m,score_value,0.21101805498255247,11
2022-04-03,2022-03-31,6m,score_quality,0.3027650354097492,11
2022-04-03,2022-03-31,6m,score_growth,0.10000000000000002,11
2022-04-03,2022-03-31,6m,score_low_risk,-0.33257489473208984,11
2022-04-03,2022-03-31,6m,score_liquidity,0.018181818181818184,11
2022-05-08,2022-04-28,1m,score_momentum,-0.27272727272727276,11
2022-05-08,2022-04-28,1m,score_value,0.1885182008473982,11
2022-05-08,2022-04-28,1m,score_quality,0.13026778945578593,11
2022-05-08,2022-04-28,1m,score_growth,-0.3454545454545455,11
2022-05-08,2022-04-28,1m,score_low_risk,-0.15034207570080774,11
2022-05-08,2022-04-28,1m,score_liquidity,-0.6090909090909091,11
2022-05-08,2022-04-28,3m,score_momentum,0.009090909090909092,11
2022-05-08,2022-04-28,3m,score_value,-0.059774063683321374,11
2022-05-08,2022-04-28,3m,score_quality,-0.12096294735180121,11
2022-05-08,2022-04-28,3m,score_growth,-0.02727272727272728,11
2022-05-08,2022-04-28,3m,score_low_risk,-0.6514823280368335,11
2022-05-08,2022-04-28,3m,score_liquidity,-0.03636363636363637,11
2022-05-08,2022-04-28,6m,score_momentum,-0.14545454545454548,11
2022-05-08,2022-04-28,6m,score_value,-0.02758802939230218,11
2022-05-08,2022-04-28,6m,score_quality,0.13026778945578593,11
2022-05-08,2022-04-28,6m,score_growth,-0.009090909090909092,11
2022-05-08,2022-04-28,6m,score_low_risk,-0.514807713763372,11
2022-05-08,2022-04-28,6m,score_liquidity,-0.13636363636363638,11
2022-06-01,2022-05-31,1m,score_momentum,,2
2022-06-01,2022-05-31,1m,score_value,,2
2022-06-01,2022-05-31,1m,score_quality,,2
2022-06-01,2022-05-31,1m,score_growth,,2
2022-06-01,2022-05-31,1m,score_low_risk,,2
2022-06-01,2022-05-31,1m,score_liquidity,,2
2022-06-01,2022-05-31,3m,score_momentum,,2
2022-06-01,2022-05-31,3m,score_value,,2
2022-06-01,2022-05-31,3m,score_quality,,2
2022-06-01,2022-05-31,3m,score_growth,,2
2022-06-01,2022-05-31,3m,score_low_risk,,2
2022-06-01,2022-05-31,3m,score_liquidity,,2
2022-06-01,2022-05-31,6m,score_momentum,,2
2022-06-01,2022-05-31,6m,score_value,,2
2022-06-01,2022-05-31,6m,score_quality,,2
2022-06-01,2022-05-31,6m,score_growth,,2
2022-06-01,2022-05-31,6m,score_low_risk,,2
2022-06-01,2022-05-31,6m,score_liquidity,,2
2022-07-03,2022-06-29,1m,score_momentum,,3
2022-07-03,2022-06-29,1m,score_value,,3
2022-07-03,2022-06-29,1m,score_quality,,3
2022-07-03,2022-06-29,1m,score_growth,,3
2022-07-03,2022-06-29,1m,score_low_risk,,3
2022-07-03,2022-06-29,1m,score_liquidity,,3
2022-07-03,2022-06-29,3m,score_momentum,,3
2022-07-03,2022-06-29,3m,score_value,,3
2022-07-03,2022-06-29,3m,score_quality,,3
2022-07-03,2022-06-29,3m,score_growth,,3
2022-07-03,2022-06-29,3m,score_low_risk,,3
2022-07-03,2022-06-29,3m,score_liquidity,,3
2022-07-03,2022-06-29,6m,score_momentum,,3
2022-07-03,2022-06-29,6m,score_value,,3
2022-07-03,2022-06-29,6m,score_quality,,3
2022-07-03,2022-06-29,6m,score_growth,,3
2022-07-03,2022-06-29,6m,score_low_risk,,3
2022-07-03,2022-06-29,6m,score_liquidity,,3
2022-08-01,2022-07-31,1m,score_momentum,-0.8999999999999998,5
2022-08-01,2022-07-31,1m,score_value,-0.35355339059327373,5
2022-08-01,2022-07-31,1m,score_quality,,5
2022-08-01,2022-07-31,1m,score_growth,-0.8999999999999998,5
2022-08-01,2022-07-31,1m,score_low_risk,-0.6,5
2022-08-01,2022-07-31,1m,score_liquidity,0.09999999999999999,5
2022-08-01,2022-07-31,3m,score_momentum,-0.49999999999999994,5
2022-08-01,2022-07-31,3m,score_value,0.0,5
2022-08-01,2022-07-31,3m,score_quality,,5
2022-08-01,2022-07-31,3m,score_growth,-0.6,5
2022-08-01,2022-07-31,3m,score_low_risk,0.0,5
2022-08-01,2022-07-31,3m,score_liquidity,0.49999999999999994,5
2022-08-01,2022-07-31,6m,score_momentum,0.0,5
2022-08-01,2022-07-31,6m,score_value,0.7071067811865475,5
2022-08-01,2022-07-31,6m,score_quality,,5
2022-08-01,2022-07-31,6m,score_growth,-0.7,5
2022-08-01,2022-07-31,6m,score_low_risk,-0.49999999999999994,5
2022-08-01,2022-07-31,6m,score_liquidity,0.49999999999999994,5
2022-09-01,2022-08-31,1m,score_momentum,-0.05882560647712125,9
2022-09-01,2022-08-31,1m,score_value,0.0,9
2022-09-01,2022-08-31,1m,score_quality,0.20889318714683738,9
2022-09-01,2022-08-31,1m,score_growth,-0.04184137043778616,9
2022-09-01,2022-08-31,1m,score_low_risk,-0.02510482226267169,9
2022-09-01,2022-08-31,1m,score_liquidity,-0.26666666666666666,9
2022-09-01,2022-08-31,3m,score_momentum,-0.4033755872716886,9
2022-09-01,2022-08-31,3m,score_value,-0.6102571532587293,9
2022-09-01,2022-08-31,3m,score_quality,-0.6266795614405122,9
2022-09-01,2022-08-31,3m,score_growth,-0.5272012675161055,9
2022-09-01,2022-08-31,3m,score_low_risk,0.20920685218893076,9
2022-09-01,2022-08-31,3m,score_liquidity,0.26666666666666666,9
2022-09-01,2022-08-31,6m,score_momentum,-0.4285865614761691,9
2022-09-01,2022-08-31,6m,score_value,-0.35598333940092547,9
2022-09-01,2022-08-31,6m,score_quality,-0.3133397807202561,9
2022-09-01,2022-08-31,6m,score_growth,-0.4435185266405332,9
2022-09-01,2022-08-31,6m,score_low_risk,-0.31799441532717476,9
2022-09-01,2022-08-31,6m,score_liquidity,0.2333333333333333,9
2022-10-02,2022-09-29,1m,score_momentum,-0.6200636545536659,10
2022-10-02,2022-09-29,1m,score_value,-0.2813874297663251,10
2022-10-02,2022-09-29,1m,score_quality,-0.43316048316960803,10
2022-10-02,2022-09-29,1m,score_growth,-0.4545454545454545,10
2022-10-02,2022-09-29,1m,score_low_risk,0.5515151515151515,10
2022-10-02,2022-09-29,1m,score_liquidity,0.34545454545454546,10
2022-10-02,2022-09-29,3m,score_momentum,-0.37690143708164003,10
2022-10-02,2022-09-29,3m,score_value,-0.26888132177671065,10
2022-10-02,2022-09-29,3m,score_quality,-0.49781130155313164,10
2022-10-02,2022-09-29,3m,score_growth,-0.5151515151515151,10
2022-10-02,2022-09-29,3m,score_low_risk,-0.07878787878787878,10
2022-10-02,2022-09-29,3m,score_liquidity,0.6727272727272726,10
2022-10-02,2022-09-29,6m,score_momentum,0.06079055436800646,10
2022-10-02,2022-09-29,6m,score_value,-0.012506107989614448,10
2022-10-02,2022-09-29,6m,score_quality,-0.08404606389858067,10
2022-10-02,2022-09-29,6m,score_growth,0.2606060606060606,10
2022-10-02,2022-09-29,6m,score_low_risk,-0.4424242424242424,10
2022-10-02,2022-09-29,6m,score_liquidity,0.19999999999999998,10
2022-11-01,2022-10-31,1m,score_momentum,-0.006017300162277876,20
2022-11-01,2022-10-31,1m,score_value,0.20695076551698638,20
2022-11-01,2022-10-31,1m,score_quality,0.03397537786351307,20
2022-11-01,2022-10-31,1m,score_growth,0.218127130882573,20
2022-11-01,2022-10-31,1m,score_low_risk,-0.1582520999627809,20
2022-11-01,2022-10-31,1m,score_liquidity,0.17142857142857143,20
2022-11-01,2022-10-31,3m,score_momentum,0.25648741941709446,20
2022-11-01,2022-10-31,3m,score_value,-0.030211790586421365,20
2022-11-01,2022-10-31,3m,score_quality,-0.088335982445134,20
2022-11-01,2022-10-31,3m,score_growth,0.08273787723132078,20
2022-11-01,2022-10-31,3m,score_low_risk,-0.16880223996029958,20
2022-11-01,2022-10-31,3m,score_liquidity,0.47218045112781953,20
2022-11-01,2022-10-31,6m,score_momentum,0.07371192698790398,20
2022-11-01,2022-10-31,6m,score_value,-0.19939781787038102,20
2022-11-01,2022-10-31,6m,score_quality,-0.31181846794735335,20
