factor,horizon,mean_ic,median_ic,hit_rate,months,avg_observations
score_low_risk,1m,0.05565145184403018,0.015134839103310567,0.52,50,17.0
score_growth,1m,0.037153477107641504,0.04347826086956522,0.56,50,17.0
score_momentum,1m,0.020018485132970977,0.013877416256386952,0.54,50,17.0
score_quality,1m,-0.01764328596463477,-0.021694226452167842,0.4489795918367347,49,17.244897959183675
score_value,1m,-0.02261985330105681,-0.018797830420827968,0.44,50,17.0
score_liquidity,1m,-0.05952607571008433,-0.0196078431372549,0.44,50,17.0
score_growth,3m,0.05070819540155506,0.1032967032967033,0.6170212765957447,47,16.76595744680851
score_low_risk,3m,0.028707895948956213,0.03448278065892154,0.5531914893617021,47,16.76595744680851
score_momentum,3m,0.01290609545210653,0.009090909090909092,0.5106382978723404,47,16.76595744680851
score_value,3m,-0.030074326588745693,-0.040289277696883126,0.3829787234042553,47,16.76595744680851
score_liquidity,3m,-0.03324901049294815,-0.04347826086956522,0.40425531914893614,47,16.76595744680851
score_quality,3m,-0.07678068813528689,-0.07517578042731171,0.30434782608695654,46,17.02173913043478
score_growth,6m,0.0769260750084573,0.09499226872507144,0.6888888888888889,45,16.622222222222224
score_low_risk,6m,0.001531590585274871,-0.002066116804968366,0.4888888888888889,45,16.622222222222224
score_momentum,6m,-0.02492392130283114,0.0,0.4666666666666667,45,16.622222222222224
score_value,6m,-0.02917002168986632,-0.026859518464588755,0.4444444444444444,45,16.622222222222224
score_liquidity,6m,-0.1117499709625164,-0.13636363636363638,0.28888888888888886,45,16.622222222222224
score_quality,6m,-0.11673707890386174,-0.13241459243703116,0.22727272727272727,44,16.886363636363637
