rebalance_date,selection_date,mode,selected_count,weights
2021-11-01,2021-10-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2021-12-01,2021-11-30,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-01-02,2021-12-29,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-02-01,2022-01-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-03-01,2022-02-28,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-04-03,2022-03-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-05-08,2022-04-28,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-06-01,2022-05-31,walk_forward_ic,2,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-07-03,2022-06-29,walk_forward_ic,3,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-08-01,2022-07-31,walk_forward_ic,5,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-09-01,2022-08-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-10-02,2022-09-29,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-11-01,2022-10-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2022-12-01,2022-11-30,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-01-02,2022-12-29,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-02-01,2023-01-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-03-01,2023-02-28,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-04-02,2023-03-30,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-05-01,2023-04-30,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-06-01,2023-05-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-07-04,2023-06-26,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-08-01,2023-07-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-09-03,2023-08-31,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-10-01,2023-09-27,walk_forward_ic,8,"{""score_growth"": 0.1, ""score_liquidity"": 0.1, ""score_low_risk"": 0.1, ""score_momentum"": 0.3, ""score_quality"": 0.2, ""score_value"": 0.2}"
2023-11-01,2023-10-31,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 0.9190772566443334, ""score_low_risk"": 0.0809227433556666, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2023-12-03,2023-11-30,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 1.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-01-02,2023-12-31,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 1.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-02-01,2024-01-31,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 1.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-03-03,2024-02-29,walk_forward_ic,8,"{""score_growth"": 0.09858461230401078, ""score_liquidity"": 0.9014153876959893, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-04-01,2024-03-31,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 1.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-05-01,2024-04-30,walk_forward_ic,8,"{""score_growth"": 0.0, ""score_liquidity"": 1.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-06-02,2024-05-30,walk_forward_ic,8,"{""score_growth"": 0.2804324132198276, ""score_liquidity"": 0.5319567622894807, ""score_low_risk"": 0.0, ""score_momentum"": 0.1876108244906917, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-07-01,2024-06-27,walk_forward_ic,8,"{""score_growth"": 0.5231543043985799, ""score_liquidity"": 0.4768456956014201, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-08-01,2024-07-31,walk_forward_ic,8,"{""score_growth"": 0.4994921641939819, ""score_liquidity"": 0.5005078358060181, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-09-01,2024-08-29,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-10-01,2024-09-30,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-11-03,2024-10-31,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2024-12-01,2024-11-28,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
2025-01-02,2024-12-31,walk_forward_ic,8,"{""score_growth"": 1.0, ""score_liquidity"": 0.0, ""score_low_risk"": 0.0, ""score_momentum"": 0.0, ""score_quality"": 0.0, ""score_value"": 0.0}"
