date,momentum_pyramid_equity,annual_top10_dca_equity,etf_dca_equity
2019-02-05,111359.40221874001,111394.21354325999,111920.07777500001
2019-02-14,113404.81243983001,113273.56354326001,114846.07777500001
2019-02-19,113833.27243983002,113736.61354326,114187.727775
2019-02-21,113686.82243983001,113569.95354326001,116821.12777500002
2019-02-28,113141.98243983001,113195.98354326,113456.227775
2019-04-17,118662.20450437,118279.77987677,125040.58575218002
2019-05-21,116067.80923190003,114942.49331712001,122077.29628838
2019-07-09,129053.99569493002,129146.64878627002,137930.41830918004
2019-07-11,125698.97569492999,125829.57878627002,137560.65830918003
2019-08-21,129884.21428163003,134961.82106016,151056.62032998
2019-08-22,129302.20028746003,134302.64106016,150364.18032998
2019-08-28,129896.52028746002,133655.51106015997,148385.78032998
2019-09-02,142950.92576108006,147249.40069398005,166806.43285498003
2019-09-04,141769.5119393101,144972.17069398,167545.42285498002
2019-09-09,143874.50948146006,145987.06069398002,166700.86285498002
2019-09-17,140030.09948146006,143424.64069398,167123.14285498002
2019-09-23,125309.31948146001,129924.28069397999,155827.15285498003
2019-10-24,140685.2262775,142162.23891524,167616.98263688
2019-10-27,141990.02693276003,142743.18891524003,168627.32263688
2019-10-28,142818.46444299002,143753.30891524002,168964.10263688004
2019-10-30,145156.6785366301,146944.90891524,171658.34263688
2019-10-31,145053.87323451007,147902.71891524,171770.60263688004
2019-11-03,155327.4498831,158577.22511869,182927.56815108002
2019-11-04,154938.35542454006,159173.27511868998,183759.58815108
2019-11-20,151554.45443374006,153818.30511869004,180431.50815108002
2019-11-21,150220.78032410002,152923.73511869003,179480.62815108002
2019-11-27,146073.30276708005,149419.40511869002,173775.34815108
2019-12-03,150480.27870111004,155558.60993059003,180506.60618628
2019-12-25,152984.87414645002,157710.09993059002,183902.66618628
2019-12-30,159286.54905665005,161603.46993059,184028.44618628002
2019-12-31,185995.25905665004,171278.08993059007,185663.58618628
2020-01-02,169729.97896166003,171057.61160904003,195743.89871128
2020-01-12,163443.60604445005,166539.53678211002,192433.14871128
2020-01-28,158533.59604445004,163683.00678211002,191108.84871128
2020-01-30,163017.87604445004,168245.96678211002,196670.90871128
2020-02-05,169921.85790337005,175705.9163009,204558.70073208
2020-02-11,168844.14328448003,176856.57630090002,205393.60073208
2020-02-12,166654.83045115002,174553.6463009,199827.60073208
2020-02-16,165019.95457380003,172673.15630090004,198714.40073208
2020-02-18,162988.6645738,170811.29630090002,196627.15073208002
2020-02-23,162479.81457380005,170730.88630090002,204697.85073208003
2020-02-24,158249.99894655004,165740.17630090003,201079.95073208
2020-03-03,153960.03795313003,160958.26205417005,189726.39575008003
2020-03-08,146796.24769213,154966.97205417007,190457.79575008003
2020-03-10,136433.93017866006,144753.38205417004,173050.47575008002
