date,symbol,holding_name,action,shares,price,value,fee,fixed_fee,bps_fee
2015-02-01,ADIB,Abu Dhabi Islamic Bank- Egypt,BUY,891.0,5.592795,4983.180345,14.96636069,5.0,9.96636069
2015-02-01,AMOC,Alexandria Mineral Oils Company,BUY,1332.0,3.74187,4984.17084,14.96834168,5.0,9.96834168
2015-02-01,ARCC,Arabian Cement Company,BUY,307.0,16.198095000000002,4972.815165000001,14.945630330000002,5.0,9.945630330000002
2015-02-01,BFTH,Beltone Holding,BUY,2234.0,2.231115,4984.31091,14.968621820000001,5.0,9.968621820000001
2015-02-01,CCAP,QALA For Financial Investments,BUY,1542.0,3.2316149999999997,4983.1503299999995,14.96630066,5.0,9.96630066
2015-02-01,COMI,Commercial International Bank-Egypt (CIB),BUY,282.0,17.618805,4968.503009999999,14.937006019999998,5.0,9.937006019999998
2015-02-01,EAST,Eastern Company,BUY,1372.0,3.6318149999999996,4982.850179999999,14.96570036,5.0,9.96570036
2015-02-01,EGAL,Egypt Aluminum,BUY,1006.0,4.952475,4982.18985,14.9643797,5.0,9.9643797
2015-02-01,EGCH,Egyptian Chemical Industries (KIMA),BUY,1109.0,4.492245,4981.899705,14.96379941,5.0,9.96379941
2015-02-01,ETEL,Telecom Egypt,BUY,408.0,12.216105,4984.170840000001,14.968341680000002,5.0,9.968341680000002
2015-02-01,GBCO,GB Corp,BUY,137.0,36.368175,4982.439975,14.96487995,5.0,9.96487995
2015-02-01,HELI,Heliopolis Housing,BUY,868.0,5.74287,4984.81116,14.969622320000001,5.0,9.969622320000001
2015-02-01,HRHO,EFG Holding,BUY,720.0,6.9234599999999995,4984.8912,14.9697824,5.0,9.9697824
2015-02-01,JUFO,Juhayna Food Industries,BUY,472.0,10.545269999999999,4977.367439999999,14.954734879999998,5.0,9.954734879999998
2015-02-01,MCQE,Misr Cement - Qena,BUY,176.0,28.314149999999998,4983.2904,14.9665808,5.0,9.9665808
