date,symbol,action,shares,price,value,fee
2015-05-03,VLMR,BUY,13725.0,1.02,13999.5,5.0
2015-05-03,ARCC,BUY,800.0,17.48,13984.0,5.0
2015-05-03,JUFO,BUY,1502.0,9.32,13998.640000000001,5.0
2015-06-01,VLMR,SELL,13725.0,0.97,13313.25,
2015-06-01,ARCC,SELL,800.0,16.7,13360.0,
2015-06-01,JUFO,SELL,1502.0,9.73,14614.460000000001,
2015-07-02,EAST,BUY,4487.0,3.55,15928.849999999999,5.0
2015-08-03,COMI,BUY,947.0,17.81,16866.07,5.0
2015-08-03,BFTH,BUY,12407.0,1.36,16873.52,5.0
2015-08-03,VLMR,BUY,17396.0,0.97,16874.12,5.0
2015-08-03,ORWE,BUY,2414.0,6.99,16873.86,5.0
2015-08-03,EAST,BUY,432.0,3.43,1481.76,5.0
2015-08-03,ARCC,BUY,1048.0,16.1,16872.800000000003,5.0
2015-08-03,EGCH,BUY,5425.0,3.11,16871.75,5.0
2015-09-01,EAST,SELL,4919.0,3.3,16232.699999999999,
2015-09-01,COMI,SELL,947.0,15.99,15142.53,
2015-09-01,BFTH,SELL,12407.0,0.88,10918.16,
2015-09-01,VLMR,SELL,17396.0,0.95,16526.2,
2015-09-01,ORWE,SELL,2414.0,6.47,15618.58,
2015-09-01,ARCC,SELL,1048.0,13.91,14577.68,
2015-09-01,EGCH,SELL,5425.0,2.49,13508.250000000002,
2015-10-04,COMI,BUY,1024.0,16.9,17305.6,5.0
2015-10-04,ORWE,BUY,2591.0,6.68,17307.88,5.0
2015-10-04,EAST,BUY,4989.0,3.47,17311.83,5.0
2015-11-01,COMI,SELL,1024.0,16.84,17244.16,
2015-11-01,EAST,SELL,4989.0,3.39,16912.71,
2015-11-01,HRHO,BUY,4607.0,4.0,18428.0,5.0
2015-11-01,BFTH,BUY,15107.0,1.22,18430.54,5.0
2015-11-01,ORWE,SELL,73.0,7.32,534.36,0.0
2015-11-01,EFID,BUY,1100.0,16.75,18425.0,5.0
2015-11-01,CCAP,BUY,9909.0,1.86,18430.74,5.0
2015-11-01,ARCC,BUY,1421.0,12.97,18430.370000000003,5.0
2015-11-01,OIH,BUY,5814.0,3.17,18430.38,5.0
2015-12-02,ORWE,SELL,2518.0,5.59,14075.619999999999,
2015-12-02,HRHO,SELL,4607.0,3.46,15940.22,
