date,symbol,action,shares,price,value
2015-05-03,ARCC,BUY,800.0,17.48,13984.0
2015-05-03,VLMR,BUY,13725.0,1.02,13999.5
2015-05-03,JUFO,BUY,1502.0,9.32,13998.640000000001
2015-06-01,ARCC,SELL,800.0,16.7,13360.0
2015-06-01,VLMR,SELL,13725.0,0.97,13313.25
2015-06-01,JUFO,SELL,1502.0,9.73,14614.460000000001
2015-07-02,EAST,BUY,4487.0,3.55,15928.849999999999
2015-08-03,COMI,BUY,947.0,17.81,16866.07
2015-08-03,BFTH,BUY,12409.0,1.36,16876.24
2015-08-03,EAST,BUY,433.0,3.43,1485.19
2015-08-03,ARCC,BUY,1048.0,16.1,16872.800000000003
2015-08-03,VLMR,BUY,17398.0,0.97,16876.06
2015-08-03,EGCH,BUY,5426.0,3.11,16874.86
2015-08-03,ORWE,BUY,2414.0,6.99,16873.86
2015-09-01,EAST,SELL,4920.0,3.3,16236.0
2015-09-01,COMI,SELL,947.0,15.99,15142.53
2015-09-01,BFTH,SELL,12409.0,0.88,10919.92
2015-09-01,ARCC,SELL,1048.0,13.91,14577.68
2015-09-01,VLMR,SELL,17398.0,0.95,16528.1
2015-09-01,EGCH,SELL,5426.0,2.49,13510.740000000002
2015-09-01,ORWE,SELL,2414.0,6.47,15618.58
2015-10-04,ORWE,BUY,2592.0,6.68,17314.559999999998
2015-10-04,COMI,BUY,1024.0,16.9,17305.6
2015-10-04,EAST,BUY,4990.0,3.47,17315.3
2015-11-01,COMI,SELL,1024.0,16.84,17244.16
2015-11-01,EAST,SELL,4990.0,3.39,16916.100000000002
2015-11-01,BFTH,BUY,15113.0,1.22,18437.86
2015-11-01,HRHO,BUY,4609.0,4.0,18436.0
2015-11-01,EFID,BUY,1100.0,16.75,18425.0
2015-11-01,OIH,BUY,5816.0,3.17,18436.72
2015-11-01,ARCC,BUY,1421.0,12.97,18430.370000000003
2015-11-01,ORWE,SELL,73.0,7.32,534.36
2015-11-01,CCAP,BUY,9913.0,1.86,18438.18
2015-12-02,ORWE,SELL,2519.0,5.59,14081.21
2015-12-02,HRHO,SELL,4609.0,3.46,15947.14
2015-12-02,OIH,SELL,5816.0,2.1,12213.6
2015-12-02,ARCC,SELL,1421.0,11.17,15872.57
2015-12-02,CCAP,SELL,9913.0,1.61,15959.93
2015-12-02,EFID,SELL,39.0,16.45,641.55
2015-12-02,BFTH,BUY,461.0,1.12,516.32
2015-12-02,GBCO,BUY,5933.0,2.94,17443.02
2016-01-03,COMI,BUY,1242.0,15.19,18865.98
2016-01-03,BFTH,BUY,551.0,1.17,644.67
2016-01-03,HRHO,BUY,4825.0,3.91,18865.75
2016-01-03,EFID,BUY,92.0,16.35,1504.2
2016-01-03,GBCO,SELL,603.0,3.54,2134.62
2016-01-03,HELI,BUY,4535.0,4.16,18865.600000000002
2016-01-03,OIH,BUY,6961.0,2.71,18864.31
2016-01-03,PHDC,BUY,8132.0,2.32,18866.239999999998
2016-01-03,ADIB,BUY,5437.0,3.47,18866.39
2016-02-01,BFTH,SELL,16125.0,1.12,18060.0
2016-02-01,EFID,SELL,1153.0,14.35,16545.55
2016-02-01,GBCO,SELL,5330.0,2.63,14017.9
2016-02-01,COMI,SELL,1242.0,12.67,15736.14
2016-02-01,HRHO,SELL,4825.0,3.17,15295.25
2016-02-01,HELI,SELL,4535.0,3.54,16053.9
2016-02-01,OIH,SELL,6961.0,2.18,15174.980000000001
2016-02-01,PHDC,SELL,8132.0,2.0,16264.0
2016-02-01,ADIB,SELL,5437.0,2.92,15876.039999999999
2016-02-01,EGCH,BUY,6821.0,2.52,17188.920000000002
2016-03-02,EAST,BUY,6134.0,2.99,18340.66
2016-03-02,PHDC,BUY,8651.0,2.12,18340.120000000003
2016-03-02,ETEL,BUY,2749.0,6.67,18335.829999999998
2016-03-02,RAYA,BUY,203791.0,0.09,18341.19
2016-03-02,EGCH,SELL,127.0,2.74,347.98
2016-03-02,ORWE,BUY,3766.0,4.87,18340.420000000002
2016-04-04,RAYA,SELL,203791.0,0.1,20379.100000000002
2016-04-04,ORWE,SELL,3766.0,4.8,18076.8
2016-04-04,BFTH,BUY,4200.0,5.0,21000.0
2016-04-04,HRHO,BUY,4708.0,4.46,20997.68
2016-04-04,EAST,BUY,388.0,3.22,1249.3600000000001
2016-04-04,EFID,BUY,1291.0,16.26,20991.660000000003
2016-04-04,HELI,BUY,4872.0,4.31,20998.32
2016-04-04,OIH,BUY,6954.0,3.02,21001.08
2016-04-04,PHDC,SELL,986.0,2.74,2701.6400000000003
2016-04-04,ETEL,SELL,168.0,8.14,1367.52
2016-04-04,EGCH,SELL,406.0,3.34,1356.04
2016-04-04,AMOC,BUY,12001.0,1.75,21001.75
2016-05-03,EAST,SELL,6522.0,2.97,19370.34
2016-05-03,PHDC,SELL,7665.0,2.46,18855.9
2016-05-03,ETEL,SELL,2581.0,7.78,20080.18
