symbol,name,report_date,revenue_growth_yoy_pct,eps_growth_yoy_pct,roe_pct,net_debt_to_ebitda,pe_ratio,pe_vs_5y_avg,fundamental_score_100,notes
OIH,Orascom Investment Holding,2026-04-09,,,,,,,,
ARCC,Arabian Cement Company,2026-04-09,,,,,,,,
ETEL,Telecom Egypt,2026-04-09,,,,,,,,
ORAS,Orascom Construction PLC,2026-04-09,,,,,,,,
RAYA,Raya Holding For Financial Investments,2026-04-09,,,,,,,,
FWRY,Fawry For Banking Technology And Electronic Payment,2026-04-09,,,,,,,,
MCQE,Misr Cement - Qena,2026-04-09,,,,,,,,
CCAP,QALA For Financial Investments,2026-04-09,,,,,,,,
EGAL,Egypt Aluminum,2026-04-09,,,,,,,,
EFIH,E-finance For Digital and Financial Investments,2026-04-09,,,,,,,,
ADIB,Abu Dhabi Islamic Bank- Egypt,2026-04-09,,,,,,,,
ABUK,Abou Kir Fertilizers,2026-04-09,,,,,,,,
VLMRA,Egyptian Kuwaiti Holding (EGP),2026-04-09,,,,,,,,
TMGH,T M G Holding,2026-04-09,,,,,,,,
ORHD,Orascom Development Egypt,2026-04-09,,,,,,,,
VLMR,Egyptian Kuwaiti Holding,2026-04-09,,,,,,,,
RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,2026-04-09,,,,,,,,
HELI,Heliopolis Housing,2026-04-09,,,,,,,,
AMOC,Alexandria Mineral Oils Company,2026-04-09,,,,,,,,
EGX30_ETF,EGX30 ETF,2026-04-05,,,,,,,,
COMI,Commercial International Bank-Egypt (CIB),2026-04-09,,,,,,,,
EGX30_INDEX,EGX30 Index,2018-06-27,,,,,,,,
HRHO,EFG Holding,2026-04-09,,,,,,,,
GBCO,GB Corp,2026-04-09,,,,,,,,
ORWE,Oriental Weavers,2026-04-09,,,,,,,,
PHDC,Palm Hills Development Company,2026-04-09,,,,,,,,
EMFD,Emaar Misr for Development,2026-04-09,,,,,,,,
ISPH,Ibnsina Pharma,2026-04-09,,,,,,,,
EAST,Eastern Company,2026-04-09,,,,,,,,
BFTH,Beltone Holding,2026-04-09,,,,,,,,
JUFO,Juhayna Food Industries,2026-04-09,,,,,,,,
EGCH,Egyptian Chemical Industries (KIMA),2026-04-09,,,,,,,,
EFID,Edita Food Industries (EDITA),2026-04-09,,,,,,,,
