rank_composite,symbol,name,as_of_date,trend_state,regime_state,trend_score_100,stability_score_100,composite_score_100,ret_3m_pct,ret_6m_pct,ret_12m_pct,vs_egx30_3m_pct,vs_egx30_6m_pct
1,OIH,Orascom Investment Holding,2026-04-09,strong_uptrend,risk_on,86.36363636363637,81.5151515151515,84.9090909090909,23.275862068965523,26.54867256637168,169.81132075471695,10.543598555452016,-2.0399594182140657
2,ARCC,Arabian Cement Company,2026-04-09,strong_uptrend,risk_on,85.79594226330178,63.333333333333336,79.05715958431125,15.530303030303049,57.25915875169607,156.4159292035398,2.798039516789541,28.670526767110328
3,ETEL,Telecom Egypt,2026-04-09,strong_uptrend,neutral_up,88.33723022717086,43.333333333333336,74.83606115901961,43.77583830960037,100.04260758414998,148.41269841269846,31.043574796086858,71.45397559956423
4,ORAS,Orascom Construction PLC,2026-04-09,strong_uptrend,risk_on,80.72750582507628,60.0,74.5092540775534,34.54441560915218,30.354547761297333,106.99633699633702,21.81215209563867,1.7659157767115907
5,RAYA,Raya Holding For Financial Investments,2026-04-09,strong_uptrend,neutral_up,90.334189408425,33.333333333333336,73.23393258589749,44.99999999999999,83.80281690140845,120.253164556962,32.267736486486484,55.2141849168227
6,FWRY,Fawry For Banking Technology And Electronic Payment,2026-04-09,uptrend,risk_on,77.17607736491219,60.90909090909091,72.2959814281658,19.27788523533205,34.54545454545455,124.51456310679609,6.54562172181854,5.956822560868802
7,MCQE,Misr Cement - Qena,2026-04-09,uptrend,risk_on,76.67035575977911,60.0,71.66924903184537,0.5605011539729698,160.23890784982936,645.4175152749491,-12.171762359540539,131.65027586524363
8,CCAP,QALA For Financial Investments,2026-04-09,strong_uptrend,neutral_up,76.1139621436053,60.00000000000001,71.2797735005237,6.756756756756754,54.90196078431375,39.08450704225353,-5.975506756756754,26.31332879972801
9,EGAL,Egypt Aluminum,2026-04-09,strong_uptrend,neutral_up,86.55360873991938,30.606060606060606,69.76934429976174,16.80237154150197,91.72776227859597,83.54658385093168,4.070108027988462,63.139130294010236
10,EFIH,E-finance For Digital and Financial Investments,2026-04-09,strong_uptrend,neutral_up,78.15842719355804,43.33333333333333,67.71089903549063,15.977337110481592,65.0806451612903,27.142857142857135,3.2450735969680844,36.49201317670456
11,ADIB,Abu Dhabi Islamic Bank- Egypt,2026-04-09,uptrend,neutral_up,77.94946828330289,43.33333333333333,67.56462779831202,50.01722356183258,111.51044196211753,4.939759036144564,37.28496004831907,82.92180997753178
12,ABUK,Abou Kir Fertilizers,2026-04-09,strong_uptrend,neutral_up,84.64340299333946,26.363636363636363,67.15947300442853,64.21999999999998,59.498834498834505,33.51219512195123,51.48773648648648,30.910202514248763
13,VLMRA,Egyptian Kuwaiti Holding (EGP),2026-04-09,strong_uptrend,neutral_up,80.26201480225635,35.151515151515156,66.728864907034,35.43568464730289,34.98759305210919,8.402524078379269,22.70342113378938,6.398961067523445
14,TMGH,T M G Holding,2026-04-09,strong_uptrend,neutral_up,75.64470435929876,40.60606060606061,65.13311123332731,10.376623376623373,53.13513513513512,60.570564897033805,-2.355640136890136,24.54650315054938
15,ORHD,Orascom Development Egypt,2026-04-09,uptrend,risk_on,64.44677023808347,64.84848484848484,64.56728462120388,12.842892768079794,29.904306220095698,17.025862068965523,0.1106292545662857,1.315674235509956
16,VLMR,Egyptian Kuwaiti Holding,2026-04-09,strong_uptrend,risk_on,58.13290797391891,75.75757575757576,63.420308309015965,0.0,-4.109589041095896,-7.8947368421052655,-12.732263513513509,-32.69822102568164
17,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,2026-04-09,strong_uptrend,neutral_up,67.55761141483191,47.272727272727266,61.47214617220052,34.24242424242425,8.312958435207829,5.2256532066508266,21.510160728910744,-20.275673549377913
18,HELI,Heliopolis Housing,2026-04-09,strong_uptrend,neutral_up,68.50497684836776,39.09090909090909,59.68075652113016,55.367231638418076,-45.32803180914513,-48.113207547169814,42.634968124904574,-73.91666379373088
19,AMOC,Alexandria Mineral Oils Company,2026-04-09,strong_uptrend,neutral_up,67.48030740559238,26.363636363636367,55.14530609300557,18.417266187050352,10.026737967914446,6.056701030927836,5.685002673536843,-18.5618940166713
20,EGX30_ETF,EGX30 ETF,2026-04-05,downtrend,neutral_down,40.6667152575873,59.696969696969695,46.37579158940201,12.732263513513509,28.588631984585746,53.15547905909352,0.0,0.0
21,COMI,Commercial International Bank-Egypt (CIB),2026-04-09,weak_ranging,neutral_down,42.605977758884656,48.18181818181819,44.27872988576471,28.730600875447678,31.0379746835443,66.96774193548387,15.998337361934167,2.4493426989585565
22,EGX30_INDEX,EGX30 Index,2018-06-27,downtrend,neutral_down,21.553665723250518,86.36363636363637,40.99665691536627,-5.204757456673425,10.177467317434651,19.897286443930383,-17.937020970186936,-18.41116466715109
23,HRHO,EFG Holding,2026-04-09,downtrend,neutral_down,23.453846359001773,64.84848484848484,35.87223790584669,6.330645161290316,0.6488549618320683,-2.3333333333333317,-6.401618352223193,-27.939777022753674
24,GBCO,GB Corp,2026-04-09,downtrend,neutral_down,32.57942769655847,37.57575757575758,34.0783266603182,-1.3461538461538525,19.30232558139535,49.9123319696084,-14.07841735966736,-9.286306403190391
25,ORWE,Oriental Weavers,2026-04-09,weak_ranging,neutral_down,16.208624955415363,74.24242424242425,33.61876474151803,-0.9170305676855728,6.028037383177587,-7.614006514657968,-13.64929408119908,-22.560594601408155
26,PHDC,Palm Hills Development Company,2026-04-09,downtrend,neutral_down,27.192249973868385,47.878787878787875,33.39821134534423,-0.5896226415094463,15.479452054794528,28.899082568807334,-13.321886155022955,-13.109179929791214
27,EMFD,Emaar Misr for Development,2026-04-09,weak_ranging,neutral_down,18.32440369361343,67.27272727272727,33.00890076734758,-2.008456659619462,14.162561576354694,10.752688172043023,-14.74072017313297,-14.426070408231052
28,ISPH,Ibnsina Pharma,2026-04-09,downtrend,neutral_down,24.994333877167882,46.36363636363637,31.405124623108428,-8.017621145374454,-4.83135824977211,56.287425149700596,-20.749884658887964,-33.419990234357854
29,EAST,Eastern Company,2026-04-09,downtrend,risk_off,27.48721955912399,36.969696969696976,30.331962782295882,6.111111111111112,-13.063268092853885,21.30835185773263,-6.621152402402397,-41.65190007743963
30,BFTH,Beltone Holding,2026-04-09,weak_ranging,risk_off,13.710522216899559,69.0909090909091,30.324638279102416,-15.339233038348087,-9.463722397476337,26.991150442477885,-28.071496551861596,-38.052354382062084
31,JUFO,Juhayna Food Industries,2026-04-09,downtrend,risk_off,20.082659178707488,52.42424242424243,29.785134152367966,5.681366706396496,-4.693658187029737,-24.645892351274778,-7.050896807117013,-33.28229017161548
32,EGCH,Egyptian Chemical Industries (KIMA),2026-04-09,weak_ranging,neutral_down,19.249255548769135,47.878787878787875,27.838115247774756,-5.833333333333323,0.9830205540661385,31.855309218203033,-18.565596846846834,-27.605611430519605
33,EFID,Edita Food Industries (EDITA),2026-04-09,weak_ranging,neutral_down,25.14929225326886,26.06060606060606,25.422686395470016,-0.25207057976233127,54.7486033519553,1.0580080262677871,-12.98433409327584,26.15997136736956
