date,symbol,action,shares,price,value,fee,reason
2016-01-03,ADIB,BUY,6322.0,3.471735,21948.30867,48.89661734,rebalance_buy
2016-01-03,PHDC,BUY,9456.0,2.32116,21948.88896,48.89777792,rebalance_buy
2016-01-03,BFTH,BUY,18752.0,1.1705849999999998,21950.809919999996,48.901619839999995,rebalance_buy
2016-01-03,HELI,BUY,5274.0,4.16208,21950.809919999996,48.901619839999995,rebalance_buy
2016-01-03,GBCO,BUY,6197.0,3.5417699999999996,21948.34869,48.89669738,rebalance_buy
2016-01-03,EFID,BUY,1341.0,16.358175,21936.312674999997,48.87262534999999,rebalance_buy
2016-01-03,HRHO,BUY,5611.0,3.911955,21949.979505,48.899959009999996,rebalance_buy
2016-01-03,OIH,BUY,8095.0,2.7113549999999997,21948.418725,48.89683745,rebalance_buy
2016-01-03,COMI,BUY,1444.0,15.197594999999998,21945.327179999997,48.89065435999999,rebalance_buy
2016-01-03,ADIB,BUY,702.0,3.471735,2437.1579699999998,9.874315939999999,cash_deploy_current_basket
2016-01-03,PHDC,BUY,1050.0,2.32116,2437.218,9.874436,cash_deploy_current_basket
2016-01-03,BFTH,BUY,2082.0,1.1705849999999998,2437.1579699999993,9.874315939999999,cash_deploy_current_basket
2016-01-03,HELI,BUY,585.0,4.16208,2434.8167999999996,9.8696336,cash_deploy_current_basket
2016-01-03,GBCO,BUY,688.0,3.5417699999999996,2436.73776,9.87347552,cash_deploy_current_basket
2016-01-03,EFID,BUY,149.0,16.358175,2437.368075,9.87473615,cash_deploy_current_basket
2016-01-03,HRHO,BUY,623.0,3.911955,2437.147965,9.87429593,cash_deploy_current_basket
2016-01-03,OIH,BUY,899.0,2.7113549999999997,2437.508145,9.87501629,cash_deploy_current_basket
2016-01-03,COMI,BUY,160.0,15.197594999999998,2431.6151999999997,9.863230399999999,cash_deploy_current_basket
2016-02-01,ADIB,BUY,378.0,2.9214599999999997,1104.31188,7.20862376,cash_deploy_current_basket
