rebalance_date,selection_date,active_members,candidates_before_gates,candidates_after_gates,coverage_fail_count,liquidity_fail_count,selected_count,retained_from_previous,cutoff_score
2015-02-01,2015-01-29,31,23,20,0,3,0,0,
2016-01-03,2015-12-31,31,25,21,1,3,9,0,0.2111111111111111
2017-01-02,2016-12-29,31,26,24,0,2,9,4,0.1111111111111111
2018-01-02,2017-12-26,31,27,26,1,1,9,4,0.18888888888888888
2019-01-06,2018-12-31,31,26,26,0,0,9,3,0.1111111111111111
2020-01-02,2019-12-31,31,29,26,2,2,10,4,0.2
2021-01-04,2020-12-30,29,27,26,0,1,10,4,0.30833333333333335
2022-01-02,2021-12-29,27,27,25,2,1,10,2,0.3333333333333333
2023-01-02,2022-12-29,24,24,24,0,0,10,2,0.18181818181818182
2024-01-02,2023-12-31,25,25,25,0,0,9,4,0.17777777777777778
2025-01-02,2024-12-31,24,24,24,0,0,7,2,0.2714285714285714
2026-01-04,2025-12-31,27,27,27,0,0,10,3,0.3076923076923077
