date,symbol,action,shares,price,value,fee,reason
2015-05-17,VLMR,BUY,146995.0,0.9504749999999998,139715.07262499997,284.43014524999995,pullback_signal_buy
2015-06-01,VLMR,SELL,146995.0,0.969515,142513.857425,285.02771485,rebalance_exit
2015-07-08,ABUK,BUY,14845.0,10.90545,161891.40525,328.78281050000004,pullback_signal_buy
2015-07-09,EAST,BUY,1.0,3.471735,3.471735,5.00694347,pullback_signal_buy
2015-08-03,ABUK,SELL,14845.0,10.924535,162174.722075,324.34944415,rebalance_exit
2015-08-17,VLMR,BUY,180439.0,0.9504749999999998,171502.75852499998,348.00551705,pullback_signal_buy
2015-09-01,EAST,SELL,1.0,3.29835,3.29835,0.0065967000000000005,rebalance_exit
2015-09-01,VLMR,SELL,180439.0,0.9495250000000001,171331.34147500002,342.66268295000003,rebalance_exit
2015-10-19,EAST,BUY,55220.0,3.451725,190604.2545,386.20850900000005,pullback_signal_buy
2015-11-01,EAST,SELL,55220.0,3.3883050000000003,187102.20210000002,374.20440420000006,rebalance_exit
2015-11-10,ORWE,BUY,28235.0,6.953475,196331.366625,397.66273325,pullback_signal_buy
2015-12-02,ORWE,SELL,28235.0,5.587205,157754.733175,315.50946635,rebalance_exit
2015-12-02,EFID,BUY,10153.0,16.458225,167100.35842499998,339.20071685,pullback_signal_buy
2016-01-05,EFID,BUY,622.0,16.018005000000002,9963.199110000001,24.926398220000003,pullback_signal_buy
2016-01-26,BFTH,BUY,1.0,1.06053,1.06053,5.00212106,pullback_signal_buy
2016-02-01,BFTH,SELL,1.0,1.1194400000000002,1.1194400000000002,0.0022388800000000004,rebalance_exit
2016-02-01,EFID,SELL,10775.0,14.342825000000001,154543.93937500002,309.08787875,rebalance_exit
2016-02-11,EGCH,BUY,68261.0,2.4012,163908.31319999998,332.81662639999996,pullback_signal_buy
2016-04-12,EAST,BUY,3175.0,3.1415699999999998,9974.48475,24.9489695,pullback_signal_buy
2016-04-12,AMOC,BUY,5934.0,1.68084,9974.10456,24.94820912,pullback_signal_buy
2016-05-03,AMOC,SELL,5934.0,1.8390800000000003,10913.100720000002,21.826201440000006,rebalance_exit
2016-05-03,EAST,SELL,3175.0,2.9685150000000005,9425.035125000002,18.850070250000005,rebalance_exit
2016-05-03,EGCH,BUY,3227.0,3.12156,10073.27412,25.14654824,pullback_signal_buy
2016-05-03,OIH,BUY,3558.0,2.831415,10074.17457,25.14834914,pullback_signal_buy
2016-05-03,HELI,BUY,2369.0,4.2521249999999995,10073.284124999998,25.146568249999998,pullback_signal_buy
2016-06-01,EGCH,SELL,71488.0,2.89855,207211.5424,414.4230848,rebalance_exit
2016-06-01,HELI,SELL,2369.0,3.87806,9187.12414,18.37424828,rebalance_exit
2016-06-01,OIH,SELL,3558.0,2.708645,9637.35891,19.274717820000003,rebalance_exit
2016-06-01,COMI,BUY,6919.0,16.98849,117543.36231,240.08672462,pullback_signal_buy
2016-06-01,ARCC,BUY,14259.0,8.24412,117552.90708,240.10581416000002,pullback_signal_buy
