date,symbol,action,shares,price,value,fee,reason
2020-06-29,RMDA,BUY,109842.0,2.24112,246169.10304,497.33820607999996,news_event_rules_entry
2020-07-08,RMDA,SELL,109842.0,2.168915,238237.96143000002,476.4759228600001,signal_fail
2021-07-04,MCQE,BUY,34468.0,8.214105,283123.77114,571.2475422800001,news_event_rules_entry
2021-07-05,MCQE,SELL,34468.0,9.025485,311090.41698,622.18083396,signal_fail
2021-08-09,ARCC,BUY,51520.0,5.732865,295357.2048,595.7144096000001,news_event_rules_entry
2021-08-24,ARCC,SELL,51520.0,5.567215000000001,286822.91680000006,573.6458336000002,signal_fail
2021-09-12,VLMR,BUY,149904.0,1.9709849999999998,295458.53543999995,595.9170708799999,news_event_rules_entry
2021-09-20,VLMR,SELL,149904.0,1.15942,173801.69567999998,347.60339135999993,stop
2021-12-02,ISPH,BUY,84242.0,3.1415699999999998,264652.13993999996,534.30427988,news_event_rules_entry
2021-12-06,HELI,BUY,47068.0,5.622809999999999,264654.42108,534.30884216,news_event_rules_entry
2022-01-10,HELI,SELL,47068.0,6.776610000000001,318961.47948000004,637.9229589600001,signal_fail
2022-01-16,ISPH,SELL,84242.0,3.188405,268597.61401,537.1952280200001,signal_fail
2022-08-16,ARCC,BUY,72881.0,4.2521249999999995,309899.12212499994,624.7982442499999,news_event_rules_entry
2022-08-17,MCQE,BUY,28495.0,10.875434999999998,309895.52032499993,624.7910406499999,news_event_rules_entry
2022-09-07,AMOC,BUY,76306.0,4.192095,319882.00107,644.76400214,news_event_rules_entry
2022-09-19,AMOC,SELL,76306.0,4.027985,307359.42341,614.71884682,stop
2022-10-02,ARCC,SELL,72881.0,5.21739,380248.60059,760.4972011799999,signal_fail
2022-10-03,MCQE,SELL,28495.0,10.724635000000001,305598.474325,611.1969486500001,signal_fail
2022-11-03,EGAL,BUY,12499.0,26.913449999999997,336391.21154999995,677.7824231,news_event_rules_entry
2022-11-20,EAST,BUY,30989.0,10.855424999999999,336398.7653249999,677.7975306499999,news_event_rules_entry
2022-11-21,ABUK,BUY,11279.0,29.824904999999998,336395.103495,677.79020699,news_event_rules_entry
2022-11-22,EAST,SELL,30989.0,10.09495,312832.40555,625.6648111000001,stop
2022-11-24,EGCH,BUY,76330.0,4.08204,311582.1132,628.1642264000001,news_event_rules_entry
2022-11-27,EGAL,SELL,12499.0,25.857065000000002,323187.455435,646.37491087,stop
2022-11-28,AMOC,BUY,68453.0,4.70235,321889.96455,648.7799291,news_event_rules_entry
2022-12-05,AMOC,SELL,68453.0,5.647175000000001,386566.07027500006,773.1321405500001,target
2022-12-05,AMOC,BUY,69876.0,5.652825,394996.7997,794.9935994,news_event_rules_entry
2022-12-06,ABUK,SELL,11279.0,36.981500000000004,417114.33850000007,834.2286770000002,target
2022-12-06,ABUK,BUY,11222.0,37.018499999999996,415421.60699999996,835.843214,news_event_rules_entry
2022-12-12,EGCH,SELL,76330.0,4.957520000000001,378407.5016,756.8150032000001,target
2022-12-12,ABUK,SELL,11222.0,38.710634999999996,434410.74596999993,868.8214919399999,signal_fail
2022-12-13,AMOC,SELL,69876.0,6.21689,434411.40564,868.82281128,signal_fail
2022-12-14,ORWE,BUY,39045.0,10.6053,414083.9385,833.167877,news_event_rules_entry
2022-12-18,EAST,BUY,37119.0,11.155574999999999,414083.788425,833.1675768499999,news_event_rules_entry
2023-01-02,JUFO,BUY,43295.0,9.794894999999999,424069.97902499995,853.1399580499999,news_event_rules_entry
2023-01-03,ORWE,SELL,39045.0,10.51474,410548.0233,821.0960466,signal_fail
2023-01-03,EAST,SELL,37119.0,10.704645000000001,397345.71775500005,794.6914355100001,signal_fail
2023-01-03,JUFO,SELL,43295.0,9.585205,414991.450475,829.98290095,signal_fail
2023-03-02,EAST,BUY,29376.0,14.047019999999998,412645.25951999996,830.2905190399999,news_event_rules_entry
2023-03-07,EAST,SELL,29376.0,13.07346,384045.96096,768.09192192,stop
2023-05-09,EGAL,BUY,8892.0,46.022999999999996,409236.51599999995,823.4730319999999,news_event_rules_entry
2023-05-30,EGAL,SELL,8892.0,43.038470000000004,382698.07524000003,765.3961504800001,stop
2023-06-07,EGCH,BUY,58922.0,6.843419999999999,403227.9932399999,811.4559864799999,news_event_rules_entry
2023-07-05,EGCH,SELL,58922.0,7.2063950000000006,424615.20619000006,849.2304123800001,signal_fail
2023-08-17,JUFO,BUY,24426.0,17.04852,416427.14952,837.85429904,news_event_rules_entry
2023-08-20,JUFO,SELL,24426.0,15.67216,382808.18016,765.61636032,stop
2023-09-06,ORWE,BUY,24276.0,16.8084,408040.71839999995,821.0814367999999,news_event_rules_entry
2023-09-06,EGAL,BUY,8412.0,48.504239999999996,408017.66688,821.03533376,news_event_rules_entry
2023-09-24,ORWE,SELL,24276.0,15.682155,380699.99478,761.39998956,stop
2023-09-27,EGCH,BUY,51836.0,7.593794999999999,393631.95761999994,792.2639152399998,news_event_rules_entry
2023-10-01,EGAL,SELL,8412.0,44.9775,378350.73,756.70146,stop
2023-10-09,EGCH,SELL,51836.0,7.406295000000001,383912.70762000006,767.8254152400001,signal_fail
2023-10-18,EAST,BUY,19370.0,20.009999999999998,387593.69999999995,780.1873999999999,news_event_rules_entry
2023-10-19,AMOC,BUY,37760.0,10.26513,387611.3088,780.2226176,news_event_rules_entry
2023-10-23,EAST,SELL,19370.0,20.64967,399984.1079,799.9682158,signal_fail
2023-10-23,AMOC,SELL,37760.0,10.604695,400433.2832,800.8665664,signal_fail
2023-11-07,EFID,BUY,13967.0,28.514249999999997,398258.52975,801.5170595,news_event_rules_entry
2023-12-03,GBCO,BUY,50700.0,7.953975,403266.5325,811.533065,news_event_rules_entry
2023-12-05,ORHD,BUY,30192.0,13.356675,403264.7316,811.5294632,news_event_rules_entry
2023-12-13,ORHD,SELL,30192.0,11.504245000000001,347336.16504000005,694.6723300800002,stop
2023-12-18,JUFO,BUY,20412.0,16.94847,345952.16964000004,696.90433928,news_event_rules_entry
2023-12-24,JUFO,SELL,20412.0,16.681655000000003,340505.9418600001,681.0118837200001,signal_fail
2023-12-31,EFID,SELL,13967.0,31.684150000000002,442532.52305,885.0650461,stop
2024-01-02,GBCO,SELL,50700.0,7.896050000000001,400329.73500000004,800.65947,stop
2024-02-05,EGAL,BUY,3078.0,129.76485,399416.2083,803.8324166,news_event_rules_entry
2024-03-10,EGAL,SELL,3078.0,104.44775,321490.1745,642.980349,stop
2024-03-11,EFIH,BUY,17134.0,21.97098,376450.77132,757.90154264,news_event_rules_entry
2024-03-19,EFIH,SELL,17134.0,17.341325,297126.26255000004,594.2525251000001,stop
2024-06-03,AMOC,BUY,37361.0,9.624809999999998,359592.52640999993,724.1850528199999,news_event_rules_entry
2024-06-24,AMOC,SELL,37361.0,9.305345,347656.994545,695.3139890900001,signal_fail
2024-06-27,PHDC,BUY,82360.0,4.312155,355149.0858,715.2981716,news_event_rules_entry
2024-07-15,PHDC,SELL,82360.0,4.527735000000001,372904.25460000004,745.8085092000001,signal_fail
2024-08-22,MCQE,BUY,16204.0,22.661324999999998,367204.11029999994,739.4082205999999,news_event_rules_entry
2024-09-12,MCQE,SELL,16204.0,21.989,356309.756,712.619512,stop
2024-09-26,EMFD,BUY,43863.0,8.354175,366439.178025,737.87835605,news_event_rules_entry
2024-10-07,EMFD,SELL,43863.0,8.315840000000001,364757.6899200001,729.5153798400002,signal_fail
2024-10-07,EAST,BUY,13782.0,26.753369999999997,368714.94534,742.42989068,news_event_rules_entry
2024-10-08,ORAS,BUY,1279.0,288.29407499999996,368728.1219249999,742.4562438499999,news_event_rules_entry
2024-10-15,ORAS,SELL,1279.0,282.8585,361776.0215,723.5520429999999,signal_fail
2024-10-21,EAST,SELL,13782.0,27.52623,379366.50186,758.73300372,signal_fail
2025-02-12,ABUK,BUY,6644.0,57.528749999999995,382221.01499999996,769.4420299999999,news_event_rules_entry
2025-03-19,ABUK,SELL,6644.0,57.401285,381374.13754,762.7482750800001,stop
2025-04-03,FWRY,BUY,40410.0,9.6048,388129.96799999994,781.2599359999999,news_event_rules_entry
2025-04-07,FWRY,SELL,40410.0,9.065465000000001,366335.44065000006,732.6708813000001,stop
2025-04-15,GBCO,BUY,16624.0,22.881435,380380.97544,765.7619508800001,news_event_rules_entry
