date,symbol,shares,close,market_value,entry_date,bars_held
2016-01-03,ADIB,22037.0,3.47,76468.39,2016-01-03,0
2016-03-03,BFTH,21803.0,4.24,92444.72,2016-03-03,0
2016-03-06,BFTH,21803.0,4.67,101820.01,2016-03-03,1
2016-03-10,BFTH,18775.0,4.38,82234.5,2016-03-10,0
2016-03-13,BFTH,18775.0,4.42,82985.5,2016-03-10,1
2016-03-15,EGCH,29850.0,3.04,90744.0,2016-03-15,0
2016-03-15,ETEL,11703.0,7.82,91517.46,2016-03-15,0
2016-03-16,EGCH,29850.0,3.11,92833.5,2016-03-15,1
2016-03-16,ETEL,11703.0,7.91,92570.73,2016-03-15,1
2016-03-17,EGCH,29850.0,3.11,92833.5,2016-03-15,2
2016-03-17,ETEL,11703.0,7.85,91868.55,2016-03-15,2
2016-03-20,EGCH,29850.0,3.05,91042.5,2016-03-15,3
2016-03-20,ETEL,11703.0,7.63,89293.89,2016-03-15,3
2016-03-21,EGCH,29850.0,3.05,91042.5,2016-03-15,4
2016-03-21,ETEL,11703.0,7.53,88123.59,2016-03-15,4
2016-03-21,HELI,20265.0,4.38,88760.7,2016-03-21,0
2016-03-22,EGCH,29850.0,3.04,90744.0,2016-03-15,5
2016-03-22,ETEL,11703.0,7.46,87304.38,2016-03-15,5
2016-03-22,HELI,20265.0,4.29,86936.85,2016-03-21,1
2016-03-23,EGCH,29850.0,3.12,93132.0,2016-03-15,6
2016-03-23,ETEL,11703.0,7.52,88006.56,2016-03-15,6
2016-03-23,HELI,20265.0,4.34,87950.09999999999,2016-03-21,2
2016-03-27,EGCH,29850.0,3.18,94923.0,2016-03-15,7
2016-03-27,ETEL,11703.0,7.87,92102.61,2016-03-15,7
2016-03-27,HELI,20265.0,4.33,87747.45,2016-03-21,3
2016-03-28,EGCH,29850.0,3.17,94624.5,2016-03-15,8
2016-03-28,ETEL,11703.0,7.83,91634.49,2016-03-15,8
2016-03-28,HELI,20265.0,4.3,87139.5,2016-03-21,4
2016-03-29,EGCH,29850.0,3.18,94923.0,2016-03-15,9
2016-03-29,ETEL,11703.0,7.84,91751.52,2016-03-15,9
2016-03-29,HELI,20265.0,4.34,87950.09999999999,2016-03-21,5
2016-03-30,EGCH,29850.0,3.25,97012.5,2016-03-15,10
2016-03-30,ETEL,11703.0,8.26,96666.78,2016-03-15,10
2016-03-30,HELI,20265.0,4.26,86328.9,2016-03-21,6
2016-04-04,EGCH,29850.0,3.37,100594.5,2016-03-15,11
2016-04-04,ETEL,11703.0,8.42,98539.26,2016-03-15,11
2016-04-04,HELI,20265.0,4.46,90381.9,2016-03-21,7
2016-04-05,EGCH,29850.0,3.31,98803.5,2016-03-15,12
2016-04-05,ETEL,11703.0,8.6,100645.8,2016-03-15,12
2016-04-05,HELI,20265.0,4.61,93421.65000000001,2016-03-21,8
2016-04-06,EGCH,29850.0,3.19,95221.5,2016-03-15,13
2016-04-06,ETEL,11703.0,8.34,97603.02,2016-03-15,13
2016-04-06,HELI,20265.0,4.42,89571.3,2016-03-21,9
2016-04-12,EGCH,29850.0,3.15,94027.5,2016-03-15,14
2016-04-12,ETEL,11703.0,8.23,96315.69,2016-03-15,14
