date,symbol,shares,close,market_value,entry_date,bars_held
2020-06-29,RMDA,109842.0,2.15,236160.3,2020-06-29,0
2020-07-06,RMDA,109842.0,2.22,243849.24000000002,2020-06-29,1
2021-07-04,MCQE,34468.0,9.03,311246.04,2021-07-04,0
2021-08-09,ARCC,51520.0,5.85,301392.0,2021-08-09,0
2021-08-10,ARCC,51520.0,5.91,304483.2,2021-08-09,1
2021-08-15,ARCC,51520.0,5.86,301907.2,2021-08-09,2
2021-08-16,ARCC,51520.0,5.79,298300.8,2021-08-09,3
2021-08-17,ARCC,51520.0,5.8,298816.0,2021-08-09,4
2021-08-18,ARCC,51520.0,5.74,295724.8,2021-08-09,5
2021-08-19,ARCC,51520.0,5.44,280268.80000000005,2021-08-09,6
2021-08-23,ARCC,51520.0,5.57,286966.4,2021-08-09,7
2021-09-12,VLMR,149904.0,1.97,295310.88,2021-09-12,0
2021-09-14,VLMR,149904.0,1.95,292312.8,2021-09-12,1
2021-09-15,VLMR,149904.0,1.98,296809.92,2021-09-12,2
2021-09-16,VLMR,149904.0,1.98,296809.92,2021-09-12,3
2021-09-19,VLMR,149904.0,1.16,173888.63999999998,2021-09-12,4
2021-12-02,ISPH,84242.0,3.12,262835.04000000004,2021-12-02,0
2021-12-05,ISPH,84242.0,3.16,266204.72000000003,2021-12-02,1
2021-12-06,ISPH,84242.0,3.15,265362.3,2021-12-02,2
2021-12-06,HELI,47068.0,6.67,313943.56,2021-12-06,0
2021-12-08,ISPH,84242.0,3.09,260307.78,2021-12-02,3
2021-12-08,HELI,47068.0,5.86,275818.48000000004,2021-12-06,1
2021-12-12,ISPH,84242.0,3.19,268731.98,2021-12-02,4
2021-12-12,HELI,47068.0,6.35,298881.8,2021-12-06,2
2021-12-13,ISPH,84242.0,3.21,270416.82,2021-12-02,5
2021-12-13,HELI,47068.0,6.33,297940.44,2021-12-06,3
2021-12-14,ISPH,84242.0,3.17,267047.14,2021-12-02,6
2021-12-14,HELI,47068.0,6.7,315355.60000000003,2021-12-06,4
2021-12-15,ISPH,84242.0,3.27,275471.34,2021-12-02,7
