date,symbol,action,shares,price,value,fee,reason
2015-10-12,COMI,BUY,3809.0,17.5,66657.5,5.0,breakout_entry
2015-10-19,COMI,SELL,3809.0,17.24,65667.15999999999,5.0,signal_fail
2015-12-09,GBCO,BUY,21920.0,3.33,72993.6,5.0,breakout_entry
2016-01-13,GBCO,SELL,21920.0,3.12,68390.40000000001,5.0,signal_fail
2016-03-15,EGCH,BUY,27519.0,2.96,81456.24,5.0,breakout_entry
2016-03-15,ETEL,BUY,10789.0,7.55,81456.95,5.0,breakout_entry
2016-03-15,HELI,BUY,21048.0,3.87,81455.76000000001,5.0,breakout_entry
2016-04-05,HELI,SELL,21048.0,4.46,93874.08,5.0,target
2016-04-20,ETEL,SELL,10789.0,8.91,96129.99,5.0,target
2016-05-03,EGCH,SELL,27519.0,3.12,85859.28,5.0,max_hold
2016-06-02,ETEL,BUY,11239.0,9.07,101937.73,5.0,breakout_entry
2016-07-18,AMOC,BUY,46499.0,2.3,106947.7,5.0,breakout_entry
2016-08-03,HELI,BUY,25535.0,4.58,116950.3,5.0,breakout_entry
2016-08-18,ETEL,SELL,11239.0,9.38,105421.82,5.0,max_hold
2016-08-25,ETEL,BUY,10647.0,9.9,105405.3,5.0,breakout_entry
2016-09-07,AMOC,SELL,46499.0,2.61,121362.39,5.0,target
2016-09-20,ETEL,SELL,10647.0,9.29,98910.62999999999,5.0,stop
2016-10-03,HELI,SELL,25535.0,4.24,108268.40000000001,5.0,stop
2016-10-09,ORWE,BUY,19524.0,5.95,116167.8,5.0,breakout_entry
2016-10-09,HRHO,BUY,19013.0,6.11,116169.43000000001,5.0,breakout_entry
2016-10-27,HRHO,SELL,19013.0,6.83,129858.79000000001,5.0,target
2016-11-06,TMGH,BUY,20515.0,6.24,128013.6,5.0,breakout_entry
2016-11-07,COMI,BUY,5016.0,25.52,128008.31999999999,5.0,breakout_entry
2016-11-13,TMGH,SELL,20515.0,7.47,153247.05,5.0,target
2016-11-13,HRHO,BUY,18642.0,8.22,153237.24000000002,5.0,breakout_entry
2016-11-21,ORWE,SELL,19524.0,7.17,139987.08,5.0,max_hold
2016-11-22,ORWE,BUY,19660.0,7.12,139979.2,5.0,breakout_entry
2016-12-01,ORWE,SELL,19660.0,9.18,180478.8,5.0,target
2016-12-01,ORWE,BUY,20748.0,9.18,190466.63999999998,5.0,breakout_entry
2016-12-21,COMI,SELL,5016.0,28.32,142053.12,5.0,max_hold
2016-12-21,HRHO,SELL,18642.0,9.78,182318.75999999998,5.0,target
