date,symbol,action,shares,price,value,fee,reason
2020-06-29,RMDA,BUY,110116.0,2.24,246659.84000000003,5.0,news_event_rules_entry
2020-07-08,RMDA,SELL,110116.0,2.17,238951.72,5.0,signal_fail
2020-11-24,RMDA,BUY,128711.0,2.0,257422.0,5.0,news_event_rules_entry
2020-12-20,RMDA,SELL,128711.0,1.84,236828.24000000002,5.0,stop
2021-07-04,MCQE,BUY,33766.0,8.21,277218.86000000004,5.0,news_event_rules_entry
2021-07-05,MCQE,SELL,33766.0,9.03,304906.98,5.0,signal_fail
2021-09-12,VLMR,BUY,148788.0,1.97,293112.36,5.0,news_event_rules_entry
2021-09-20,VLMR,SELL,148788.0,1.16,172594.08,5.0,stop
2021-12-01,ISPH,BUY,85927.0,3.06,262936.62,5.0,news_event_rules_entry
2021-12-02,HELI,BUY,51556.0,5.1,262935.6,5.0,news_event_rules_entry
2021-12-08,HELI,SELL,51556.0,6.3,324802.8,5.0,target
2021-12-08,HELI,BUY,46645.0,6.3,293863.5,5.0,news_event_rules_entry
2022-01-10,HELI,SELL,46645.0,6.78,316253.10000000003,5.0,signal_fail
2022-01-16,ISPH,SELL,85927.0,3.19,274107.13,5.0,signal_fail
2022-08-15,EGAL,BUY,17985.0,17.87,321391.95,5.0,news_event_rules_entry
2022-08-16,ARCC,BUY,75625.0,4.25,321406.25,5.0,news_event_rules_entry
2022-08-17,MCQE,BUY,29568.0,10.87,321404.16,5.0,news_event_rules_entry
2022-09-08,EGAL,SELL,17985.0,20.44,367613.4,5.0,signal_fail
2022-09-08,AMOC,BUY,88849.0,4.25,377608.25,5.0,news_event_rules_entry
2022-09-19,AMOC,SELL,88849.0,4.03,358061.47000000003,5.0,stop
2022-10-02,ARCC,SELL,75625.0,5.22,394762.5,5.0,signal_fail
2022-10-03,MCQE,SELL,29568.0,10.73,317264.64,5.0,signal_fail
2022-11-01,EAST,BUY,41103.0,8.84,363350.52,5.0,news_event_rules_entry
2022-11-03,EGAL,BUY,13507.0,26.9,363338.3,5.0,news_event_rules_entry
2022-11-10,EAST,SELL,41103.0,9.97,409796.91000000003,5.0,stop
2022-11-10,EAST,BUY,38774.0,9.97,386576.78,5.0,news_event_rules_entry
2022-11-21,ABUK,BUY,12968.0,29.81,386576.07999999996,5.0,news_event_rules_entry
2022-11-27,EGAL,SELL,13507.0,25.87,349426.09,5.0,stop
2022-11-27,EGCH,BUY,79776.0,4.38,349418.88,5.0,news_event_rules_entry
2022-12-05,ABUK,SELL,12968.0,36.45,472683.60000000003,5.0,target
2022-12-05,ABUK,BUY,13242.0,36.45,482670.9,5.0,news_event_rules_entry
2022-12-12,ABUK,SELL,13242.0,38.73,512862.66,5.0,signal_fail
2022-12-14,ORWE,BUY,48382.0,10.6,512849.2,5.0,news_event_rules_entry
2023-01-03,EAST,SELL,38774.0,10.71,415269.54000000004,5.0,signal_fail
2023-01-03,EGCH,SELL,79776.0,4.79,382127.04,5.0,signal_fail
2023-01-03,ORWE,SELL,48382.0,10.52,508978.63999999996,5.0,signal_fail
2023-03-02,EAST,BUY,31727.0,14.04,445447.07999999996,5.0,news_event_rules_entry
2023-03-08,EAST,SELL,31727.0,12.64,401029.28,5.0,stop
2023-05-08,JUFO,BUY,31990.0,13.67,437303.3,5.0,news_event_rules_entry
2023-05-09,EGAL,BUY,9506.0,46.0,437276.0,5.0,news_event_rules_entry
2023-05-17,JUFO,SELL,31990.0,12.16,388998.4,5.0,stop
2023-06-06,EGAL,SELL,9506.0,42.5,404005.0,5.0,stop
2023-06-07,EGCH,BUY,60445.0,6.84,413443.8,5.0,news_event_rules_entry
2023-07-05,EGCH,SELL,60445.0,7.21,435808.45,5.0,signal_fail
2023-08-17,JUFO,BUY,25091.0,17.04,427550.63999999996,5.0,news_event_rules_entry
2023-08-20,JUFO,SELL,25091.0,15.68,393426.88,5.0,stop
2023-09-06,ORWE,BUY,24971.0,16.8,419512.80000000005,5.0,news_event_rules_entry
2023-09-06,EGAL,BUY,8653.0,48.48,419497.43999999994,5.0,news_event_rules_entry
2023-09-27,EGCH,BUY,55275.0,7.59,419537.25,5.0,news_event_rules_entry
2023-10-01,ORWE,SELL,24971.0,15.31,382306.01,5.0,stop
2023-10-01,EGAL,SELL,8653.0,45.0,389385.0,5.0,stop
2023-10-09,EGCH,SELL,55275.0,7.41,409587.75,5.0,signal_fail
2023-10-18,EAST,BUY,19854.0,20.0,397080.0,5.0,news_event_rules_entry
2023-10-19,AMOC,BUY,38702.0,10.26,397082.52,5.0,news_event_rules_entry
2023-10-23,EAST,SELL,19854.0,20.66,410183.64,5.0,signal_fail
2023-10-23,AMOC,SELL,38702.0,10.61,410628.22,5.0,signal_fail
2023-11-07,EFID,BUY,14361.0,28.5,409288.5,5.0,news_event_rules_entry
2023-12-03,GBCO,BUY,52112.0,7.95,414290.4,5.0,news_event_rules_entry
2023-12-05,ORHD,BUY,31034.0,13.35,414303.89999999997,5.0,news_event_rules_entry
2023-12-12,ORHD,SELL,31034.0,11.6,359994.39999999997,5.0,stop
2023-12-18,JUFO,BUY,21250.0,16.94,359975.0,5.0,news_event_rules_entry
2023-12-24,JUFO,SELL,21250.0,16.69,354662.5,5.0,signal_fail
2023-12-31,EFID,SELL,14361.0,31.7,455243.7,5.0,stop
2024-01-08,GBCO,SELL,52112.0,9.0,469008.0,5.0,signal_fail
2024-02-05,EGAL,BUY,3338.0,129.7,432938.6,5.0,news_event_rules_entry
2024-02-28,EGAL,SELL,3338.0,102.99,343780.62,5.0,stop
2024-03-11,EFIH,BUY,18514.0,21.96,406567.44,5.0,news_event_rules_entry
2024-03-19,EFIH,SELL,18514.0,17.35,321217.9,5.0,stop
2024-06-03,AMOC,BUY,40345.0,9.62,388118.89999999997,5.0,news_event_rules_entry
2024-06-24,AMOC,SELL,40345.0,9.31,375611.95,5.0,signal_fail
2024-06-27,PHDC,BUY,89083.0,4.31,383947.73,5.0,news_event_rules_entry
2024-07-09,MCQE,BUY,22946.0,16.95,388934.7,5.0,news_event_rules_entry
2024-07-15,PHDC,SELL,89083.0,4.53,403545.99000000005,5.0,signal_fail
2024-07-15,MCQE,SELL,22946.0,17.03,390770.38,5.0,signal_fail
2024-08-04,COMI,BUY,4763.0,83.5,397710.5,5.0,news_event_rules_entry
2024-08-22,MCQE,BUY,17561.0,22.65,397756.64999999997,5.0,news_event_rules_entry
2024-09-02,EMFD,BUY,51102.0,7.98,407793.96,5.0,news_event_rules_entry
2024-09-09,COMI,SELL,4763.0,85.11,405378.93,5.0,signal_fail
2024-09-12,MCQE,SELL,17561.0,22.0,386342.0,5.0,stop
2024-10-07,EMFD,SELL,51102.0,8.32,425168.64,5.0,signal_fail
2024-10-07,EAST,BUY,15293.0,26.74,408934.81999999995,5.0,news_event_rules_entry
2024-10-08,ORAS,BUY,1419.0,288.15,408884.85,5.0,news_event_rules_entry
