date,symbol,action,shares,price,value,fee,reason
2015-06-09,COMI,BUY,2906.0,18.35,53325.100000000006,5.0,rebound_entry
2015-06-24,MCQE,BUY,1801.0,29.6,53309.600000000006,5.0,rebound_entry
2015-06-29,MCQE,SELL,1801.0,29.68,53453.68,5.0,stop
2015-07-02,COMI,SELL,2906.0,18.01,52337.060000000005,5.0,stop
2015-08-03,MCQE,BUY,2011.0,29.68,59686.479999999996,5.0,rebound_entry
2015-08-04,MCQE,SELL,2011.0,29.68,59686.479999999996,5.0,stop
2015-08-04,MCQE,BUY,2011.0,29.68,59686.479999999996,5.0,rebound_entry
2015-08-10,VLMR,BUY,62855.0,0.95,59712.25,5.0,rebound_entry
2015-08-12,MCQE,SELL,2011.0,30.02,60370.22,5.0,stop
2015-08-12,VLMR,SELL,62855.0,0.95,59712.25,5.0,signal_fail
2015-09-09,EFID,BUY,4016.0,15.75,63252.0,5.0,rebound_entry
2015-10-18,RAYA,BUY,620558.0,0.11,68261.38,5.0,rebound_entry
2015-10-19,RAYA,SELL,620558.0,0.11,68261.38,5.0,stop
2015-10-19,RAYA,BUY,620512.0,0.11,68256.32,5.0,rebound_entry
2015-11-10,RAYA,SELL,620512.0,0.1,62051.200000000004,5.0,stop
2015-12-02,BFTH,BUY,67097.0,1.12,75148.64000000001,5.0,rebound_entry
2015-12-03,EFID,SELL,4016.0,16.04,64416.64,5.0,signal_fail
2015-12-07,EMFD,BUY,24312.0,2.87,69775.44,5.0,rebound_entry
2015-12-09,EFID,BUY,4229.0,16.5,69778.5,5.0,rebound_entry
2015-12-10,BFTH,SELL,67097.0,1.13,75819.60999999999,5.0,stop
2015-12-10,EFID,SELL,4229.0,16.15,68298.34999999999,5.0,signal_fail
2015-12-17,EMFD,SELL,24312.0,2.77,67344.24,5.0,stop
2015-12-20,EMFD,BUY,25260.0,2.79,70475.4,5.0,rebound_entry
2015-12-21,BFTH,BUY,57300.0,1.23,70479.0,5.0,rebound_entry
2015-12-30,EFID,BUY,4334.0,16.26,70470.84000000001,5.0,rebound_entry
2015-12-31,EFID,SELL,4334.0,16.09,69734.06,5.0,signal_fail
2016-01-03,BFTH,SELL,57300.0,1.17,67041.0,5.0,stop
2016-01-06,EMFD,SELL,25260.0,2.64,66686.40000000001,5.0,stop
2016-01-11,BFTH,BUY,58798.0,1.21,71145.58,5.0,rebound_entry
2016-01-17,BFTH,SELL,58798.0,1.03,60561.94,5.0,stop
2016-01-28,BFTH,BUY,58289.0,1.16,67615.23999999999,5.0,rebound_entry
2016-02-09,PHDC,BUY,33463.0,2.17,72614.70999999999,5.0,rebound_entry
2016-02-15,PHDC,SELL,33463.0,2.01,67260.62999999999,5.0,stop
2016-02-16,BFTH,SELL,58289.0,1.69,98508.41,5.0,target
2016-02-16,BFTH,BUY,47014.0,1.69,79453.66,5.0,rebound_entry
2016-02-22,BFTH,SELL,47014.0,2.4,112833.59999999999,5.0,target
2016-02-22,PHDC,BUY,41360.0,2.19,90578.4,5.0,rebound_entry
2016-03-03,PHDC,SELL,41360.0,2.11,87269.59999999999,5.0,stop
2016-03-13,PHDC,BUY,41993.0,2.21,92804.53,5.0,rebound_entry
2016-03-13,HELI,BUY,25219.0,3.68,92805.92,5.0,rebound_entry
2016-03-20,PHDC,SELL,41993.0,2.5,104982.5,5.0,target
2016-03-20,HELI,SELL,25219.0,4.21,106171.99,5.0,target
2016-03-28,BFTH,BUY,20303.0,4.99,101311.97,5.0,rebound_entry
2016-04-06,COMI,BUY,6711.0,15.84,106302.24,5.0,rebound_entry
2016-04-17,HRHO,BUY,24165.0,4.4,106326.00000000001,5.0,rebound_entry
2016-04-27,COMI,SELL,6711.0,17.99,120730.88999999998,5.0,target
2016-04-28,EFID,BUY,7316.0,16.5,120714.0,5.0,rebound_entry
2016-05-03,BFTH,SELL,20303.0,5.6,113696.79999999999,5.0,target
2016-05-09,EFID,SELL,7316.0,19.48,142515.68,5.0,stop
2016-05-10,ETEL,BUY,16391.0,8.12,133094.91999999998,5.0,rebound_entry
2016-05-10,OIH,BUY,46540.0,2.86,133104.4,5.0,rebound_entry
2016-05-17,OIH,SELL,46540.0,2.71,126123.4,5.0,stop
2016-06-01,EFID,BUY,7625.0,17.85,136106.25,5.0,rebound_entry
2016-06-02,HRHO,SELL,24165.0,5.12,123724.8,5.0,target
2016-06-02,COMI,BUY,7197.0,17.19,123716.43000000001,5.0,rebound_entry
2016-06-08,EFID,SELL,7625.0,16.7,127337.5,5.0,stop
2016-07-10,ETEL,SELL,16391.0,8.55,140143.05000000002,5.0,target
2016-07-17,COMI,SELL,7197.0,17.04,122636.87999999999,5.0,stop
2016-07-17,AMOC,BUY,58750.0,2.27,133362.5,5.0,rebound_entry
2016-07-17,HRHO,BUY,24974.0,5.34,133361.16,5.0,rebound_entry
2016-07-27,MCQE,BUY,4390.0,30.38,133368.19999999998,5.0,rebound_entry
2016-07-28,MCQE,SELL,4390.0,30.38,133368.19999999998,5.0,stop
2016-07-28,MCQE,BUY,4389.0,30.38,133337.82,5.0,rebound_entry
2016-08-10,AMOC,SELL,58750.0,2.53,148637.5,5.0,target
2016-08-14,MCQE,SELL,4389.0,29.64,130089.96,5.0,stop
2016-08-18,MCQE,BUY,4751.0,30.38,144335.38,5.0,rebound_entry
2016-08-21,ETEL,BUY,15103.0,9.56,144384.68,5.0,rebound_entry
2016-09-01,MCQE,SELL,4751.0,28.63,136021.13,5.0,stop
2016-09-01,AMOC,BUY,57715.0,2.53,146018.94999999998,5.0,rebound_entry
2016-09-20,ETEL,SELL,15103.0,9.29,140306.87,5.0,stop
2016-10-04,COMI,BUY,7610.0,19.75,150297.5,5.0,rebound_entry
2016-10-09,AMOC,SELL,57715.0,2.73,157561.95,5.0,target
2016-10-16,HRHO,SELL,24974.0,6.32,157835.68,5.0,target
2016-11-03,ORWE,BUY,24612.0,6.61,162685.32,5.0,rebound_entry
2016-11-06,COMI,SELL,7610.0,22.0,167420.0,5.0,target
2016-11-06,ORWE,SELL,24612.0,6.13,150871.56,5.0,stop
2016-11-06,EGAL,BUY,43923.0,3.65,160318.94999999998,5.0,rebound_entry
2016-11-07,EGAL,SELL,43923.0,3.47,152412.81,5.0,stop
2016-11-08,EAST,BUY,43800.0,3.6,157680.0,5.0,rebound_entry
2016-11-10,EAST,SELL,43800.0,4.31,188777.99999999997,5.0,target
2016-11-10,ORAS,BUY,1864.0,90.13,168002.31999999998,5.0,rebound_entry
2016-11-10,EAST,BUY,38994.0,4.31,168064.13999999998,5.0,rebound_entry
2016-11-13,EGAL,BUY,45795.0,3.67,168067.65,5.0,rebound_entry
2016-12-28,ORAS,SELL,1864.0,103.28,192513.92,5.0,target
2016-12-28,HRHO,BUY,19323.0,10.48,202505.04,5.0,rebound_entry
2017-01-08,HRHO,SELL,19323.0,12.89,249073.47,5.0,target
2017-01-08,TMGH,BUY,27530.0,9.41,259057.30000000002,5.0,rebound_entry
2017-01-18,EAST,SELL,38994.0,5.16,201209.04,5.0,target
2017-01-29,ORWE,BUY,17790.0,11.31,201204.90000000002,5.0,rebound_entry
2017-02-07,EGAL,SELL,45795.0,5.33,244087.35,5.0,target
2017-02-07,TMGH,SELL,27530.0,7.87,216661.1,5.0,stop
2017-02-21,ADIB,BUY,42331.0,5.56,235360.36,5.0,rebound_entry
2017-02-23,AMOC,BUY,33011.0,7.13,235368.43,5.0,rebound_entry
2017-03-01,ADIB,SELL,42331.0,4.8,203188.8,5.0,stop
2017-03-01,AMOC,SELL,33011.0,6.42,211930.62,5.0,stop
2017-03-01,AMOC,BUY,33107.0,6.42,212546.94,5.0,rebound_entry
2017-03-06,RAYA,BUY,1180855.0,0.18,212553.9,5.0,rebound_entry
2017-03-07,RAYA,SELL,1180855.0,0.19,224362.45,5.0,stop
2017-03-07,RAYA,BUY,1180802.0,0.19,224352.38,5.0,rebound_entry
2017-03-09,RAYA,SELL,1180802.0,0.18,212544.36,5.0,stop
2017-03-09,RAYA,BUY,1180747.0,0.18,212534.46,5.0,rebound_entry
2017-04-05,RAYA,SELL,1180747.0,0.34,401453.98000000004,5.0,target
2017-04-05,EAST,BUY,57868.0,7.11,411441.48000000004,5.0,rebound_entry
2017-04-06,EAST,SELL,57868.0,7.08,409705.44,5.0,stop
2017-05-07,EGAL,BUY,36400.0,11.53,419692.0,5.0,rebound_entry
2017-05-24,AMOC,SELL,33107.0,6.18,204601.25999999998,5.0,stop
2017-06-21,ADIB,BUY,29888.0,7.18,214595.84,5.0,rebound_entry
2017-06-22,ORWE,SELL,17790.0,12.26,218105.4,5.0,signal_fail
2017-06-22,ORHD,BUY,93603.0,2.33,218094.99000000002,5.0,rebound_entry
2017-07-09,ADIB,SELL,29888.0,7.11,212503.68000000002,5.0,stop
2017-07-10,EGAL,SELL,36400.0,20.11,732004.0,5.0,target
2017-07-10,EAST,BUY,49764.0,9.59,477236.76,5.0,rebound_entry
2017-07-19,RAYA,BUY,1539524.0,0.31,477252.44,5.0,rebound_entry
2017-07-30,ORHD,SELL,93603.0,2.32,217158.96,5.0,stop
2017-08-14,BFTH,BUY,48954.0,4.64,227146.56,5.0,rebound_entry
2017-08-21,EAST,SELL,49764.0,9.58,476739.12,5.0,stop
2017-08-21,BFTH,SELL,48954.0,4.14,202669.56,5.0,stop
2017-08-23,RAYA,SELL,1539524.0,0.27,415671.48000000004,5.0,stop
2017-08-30,EGAL,BUY,11547.0,31.61,365000.67,5.0,rebound_entry
2017-09-26,EGAL,SELL,11547.0,45.07,520423.29,5.0,target
2017-09-28,ETEL,BUY,33187.0,12.66,420147.42,5.0,rebound_entry
2017-10-11,CCAP,BUY,303685.0,1.4,425159.0,5.0,rebound_entry
2017-10-11,BFTH,BUY,97290.0,4.37,425157.3,5.0,rebound_entry
2017-10-23,CCAP,SELL,303685.0,1.3,394790.5,5.0,stop
2017-10-23,ORHD,BUY,108456.0,3.64,394779.84,5.0,rebound_entry
2017-11-14,BFTH,SELL,97290.0,4.08,396943.2,5.0,stop
2017-11-22,VLMR,BUY,330841.0,1.23,406934.43,5.0,rebound_entry
2017-12-14,ORHD,SELL,108456.0,4.43,480460.07999999996,5.0,target
2017-12-17,EGCH,BUY,73311.0,6.69,490450.59,5.0,rebound_entry
2017-12-25,EGCH,SELL,73311.0,6.41,469923.51,5.0,stop
2017-12-26,ORHD,BUY,107286.0,4.38,469912.68,5.0,rebound_entry
2018-01-04,VLMR,SELL,330841.0,1.35,446635.35000000003,5.0,target
2018-01-08,JUFO,BUY,42476.0,10.75,456617.0,5.0,rebound_entry
2018-01-22,ORHD,SELL,107286.0,5.37,576125.8200000001,5.0,target
2018-01-22,ORAS,BUY,3950.0,145.82,575989.0,5.0,rebound_entry
2018-02-15,ETEL,SELL,33187.0,12.08,400898.96,5.0,signal_fail
2018-02-21,ABUK,BUY,12417.0,33.1,411002.7,5.0,rebound_entry
2018-02-22,ABUK,SELL,12417.0,31.95,396723.14999999997,5.0,stop
2018-02-22,EAST,BUY,24044.0,16.5,396726.0,5.0,rebound_entry
2018-03-06,EAST,SELL,24044.0,18.47,444092.68,5.0,target
2018-03-06,HELI,BUY,35310.0,12.86,454086.6,5.0,rebound_entry
2018-03-13,ORAS,SELL,3950.0,160.18,632711.0,5.0,target
2018-03-13,EFID,BUY,36279.0,17.44,632705.76,5.0,rebound_entry
2018-03-15,JUFO,SELL,42476.0,12.11,514384.36,5.0,target
2018-03-27,HELI,SELL,35310.0,12.08,426544.8,5.0,stop
2018-04-11,EFID,SELL,36279.0,20.0,725580.0,5.0,target
