date,symbol,shares,close,market_value,entry_date,bars_held
2015-10-12,COMI,3809.0,17.57,66924.13,2015-10-12,0
2015-10-18,COMI,3809.0,17.24,65667.15999999999,2015-10-12,1
2015-12-09,GBCO,21920.0,3.46,75843.2,2015-12-09,0
2015-12-10,GBCO,21920.0,3.42,74966.4,2015-12-09,1
2015-12-17,GBCO,21920.0,3.62,79350.40000000001,2015-12-09,2
2015-12-20,GBCO,21920.0,3.56,78035.2,2015-12-09,3
2015-12-21,GBCO,21920.0,3.57,78254.4,2015-12-09,4
2015-12-24,GBCO,21920.0,3.52,77158.4,2015-12-09,5
2015-12-30,GBCO,21920.0,3.59,78692.8,2015-12-09,6
2015-12-31,GBCO,21920.0,3.54,77596.8,2015-12-09,7
2016-01-03,GBCO,21920.0,3.52,77158.4,2015-12-09,8
2016-01-05,GBCO,21920.0,3.41,74747.2,2015-12-09,9
2016-01-06,GBCO,21920.0,3.33,72993.6,2015-12-09,10
2016-01-10,GBCO,21920.0,3.21,70363.2,2015-12-09,11
2016-01-11,GBCO,21920.0,3.28,71897.59999999999,2015-12-09,12
2016-01-12,GBCO,21920.0,3.12,68390.40000000001,2015-12-09,13
2016-03-15,EGCH,27519.0,3.04,83657.76,2016-03-15,0
2016-03-15,ETEL,10789.0,7.82,84369.98,2016-03-15,0
2016-03-15,HELI,21048.0,3.94,82929.12,2016-03-15,0
2016-03-16,EGCH,27519.0,3.11,85584.09,2016-03-15,1
2016-03-16,ETEL,10789.0,7.91,85340.99,2016-03-15,1
2016-03-16,HELI,21048.0,4.02,84612.95999999999,2016-03-15,1
2016-03-17,EGCH,27519.0,3.11,85584.09,2016-03-15,2
2016-03-17,ETEL,10789.0,7.85,84693.65,2016-03-15,2
2016-03-17,HELI,21048.0,4.21,88612.08,2016-03-15,2
2016-03-20,EGCH,27519.0,3.05,83932.95,2016-03-15,3
2016-03-20,ETEL,10789.0,7.63,82320.06999999999,2016-03-15,3
2016-03-20,HELI,21048.0,4.36,91769.28000000001,2016-03-15,3
2016-03-21,EGCH,27519.0,3.05,83932.95,2016-03-15,4
2016-03-21,ETEL,10789.0,7.53,81241.17,2016-03-15,4
2016-03-21,HELI,21048.0,4.38,92190.23999999999,2016-03-15,4
2016-03-22,EGCH,27519.0,3.04,83657.76,2016-03-15,5
2016-03-22,ETEL,10789.0,7.46,80485.94,2016-03-15,5
2016-03-22,HELI,21048.0,4.29,90295.92,2016-03-15,5
2016-03-23,EGCH,27519.0,3.12,85859.28,2016-03-15,6
