date,symbol,shares,close,market_value,entry_date,bars_held
2020-06-29,RMDA,110116.0,2.15,236749.4,2020-06-29,0
2020-07-06,RMDA,110116.0,2.22,244457.52000000002,2020-06-29,1
2020-11-24,RMDA,128711.0,2.08,267718.88,2020-11-24,0
2020-11-25,RMDA,128711.0,2.06,265144.66000000003,2020-11-24,1
2020-11-26,RMDA,128711.0,2.06,265144.66000000003,2020-11-24,2
2020-12-16,RMDA,128711.0,1.85,238115.35,2020-11-24,3
2021-07-04,MCQE,33766.0,9.03,304906.98,2021-07-04,0
2021-09-12,VLMR,148788.0,1.97,293112.36,2021-09-12,0
2021-09-14,VLMR,148788.0,1.95,290136.6,2021-09-12,1
2021-09-15,VLMR,148788.0,1.98,294600.24,2021-09-12,2
2021-09-16,VLMR,148788.0,1.98,294600.24,2021-09-12,3
2021-09-19,VLMR,148788.0,1.16,172594.08,2021-09-12,4
2021-12-01,ISPH,85927.0,3.14,269810.78,2021-12-01,0
2021-12-02,ISPH,85927.0,3.12,268092.24,2021-12-01,1
2021-12-02,HELI,51556.0,5.09,262420.04,2021-12-02,0
2021-12-05,ISPH,85927.0,3.16,271529.32,2021-12-01,2
2021-12-05,HELI,51556.0,5.62,289744.72000000003,2021-12-02,1
2021-12-06,ISPH,85927.0,3.15,270670.05,2021-12-01,3
2021-12-06,HELI,51556.0,6.67,343878.52,2021-12-02,2
2021-12-08,ISPH,85927.0,3.09,265514.43,2021-12-01,4
2021-12-08,HELI,46645.0,5.86,273339.7,2021-12-08,0
2021-12-12,ISPH,85927.0,3.19,274107.13,2021-12-01,5
2021-12-12,HELI,46645.0,6.35,296195.75,2021-12-08,1
2021-12-13,ISPH,85927.0,3.21,275825.67,2021-12-01,6
2021-12-13,HELI,46645.0,6.33,295262.85,2021-12-08,2
2021-12-14,ISPH,85927.0,3.17,272388.58999999997,2021-12-01,7
2021-12-14,HELI,46645.0,6.7,312521.5,2021-12-08,3
2021-12-15,ISPH,85927.0,3.27,280981.29,2021-12-01,8
2021-12-15,HELI,46645.0,6.53,304591.85000000003,2021-12-08,4
2021-12-16,ISPH,85927.0,3.39,291292.53,2021-12-01,9
2021-12-16,HELI,46645.0,6.84,319051.8,2021-12-08,5
2021-12-21,ISPH,85927.0,3.39,291292.53,2021-12-01,10
2021-12-21,HELI,46645.0,6.82,318118.9,2021-12-08,6
2021-12-23,ISPH,85927.0,3.43,294729.61,2021-12-01,11
2021-12-23,HELI,46645.0,7.15,333511.75,2021-12-08,7
2021-12-26,ISPH,85927.0,3.42,293870.33999999997,2021-12-01,12
2021-12-26,HELI,46645.0,7.18,334911.1,2021-12-08,8
2021-12-27,ISPH,85927.0,3.41,293011.07,2021-12-01,13
2021-12-27,HELI,46645.0,7.11,331645.95,2021-12-08,9
2021-12-28,ISPH,85927.0,3.42,293870.33999999997,2021-12-01,14
2021-12-28,HELI,46645.0,6.81,317652.44999999995,2021-12-08,10
2021-12-29,ISPH,85927.0,3.44,295588.88,2021-12-01,15
2021-12-29,HELI,46645.0,6.58,306924.1,2021-12-08,11
2022-01-02,ISPH,85927.0,3.43,294729.61,2021-12-01,16
2022-01-02,HELI,46645.0,6.74,314387.3,2021-12-08,12
2022-01-03,ISPH,85927.0,3.47,298166.69,2021-12-01,17
2022-01-03,HELI,46645.0,6.62,308789.9,2021-12-08,13
2022-01-04,ISPH,85927.0,3.46,297307.42,2021-12-01,18
2022-01-04,HELI,46645.0,6.8,317186.0,2021-12-08,14
2022-01-05,ISPH,85927.0,3.44,295588.88,2021-12-01,19
2022-01-05,HELI,46645.0,6.8,317186.0,2021-12-08,15
2022-01-09,ISPH,85927.0,3.39,291292.53,2021-12-01,20
2022-01-09,HELI,46645.0,6.78,316253.10000000003,2021-12-08,16
2022-01-10,ISPH,85927.0,3.34,286996.18,2021-12-01,21
2022-01-11,ISPH,85927.0,3.3,283559.1,2021-12-01,22
2022-01-12,ISPH,85927.0,3.24,278403.48000000004,2021-12-01,23
2022-01-13,ISPH,85927.0,3.19,274107.13,2021-12-01,24
2022-08-15,EGAL,17985.0,17.56,315816.6,2022-08-15,0
2022-08-16,EGAL,17985.0,17.29,310960.64999999997,2022-08-15,1
2022-08-16,ARCC,75625.0,4.25,321406.25,2022-08-16,0
2022-08-17,EGAL,17985.0,17.41,313118.85,2022-08-15,2
2022-08-17,ARCC,75625.0,4.3,325187.5,2022-08-16,1
2022-08-17,MCQE,29568.0,11.25,332640.0,2022-08-17,0
2022-08-18,EGAL,17985.0,17.4,312939.0,2022-08-15,3
2022-08-18,ARCC,75625.0,4.3,325187.5,2022-08-16,2
2022-08-18,MCQE,29568.0,11.19,330865.92,2022-08-17,1
