entry_date,exit_date,exit_year,symbol,shares,entry_price,exit_price,entry_value,exit_value,total_fees,pnl_egp,return_pct,hold_days,exit_reason
2015-06-24,2015-06-29,2015,MCQE,1801.0,29.6,29.68,53309.600000000006,53453.68,10.0,134.07999999999447,0.002514883352777559,5,stop
2015-06-09,2015-07-02,2015,COMI,2906.0,18.35,18.01,53325.100000000006,52337.060000000005,10.0,-998.0400000000009,-0.018714384559563937,23,stop
2015-08-03,2015-08-04,2015,MCQE,2011.0,29.68,29.68,59686.48,59686.48,10.0,-10.0,-0.00016752809613700313,1,stop
2015-08-10,2015-08-12,2015,VLMR,62855.0,0.95,0.95,59712.25,59712.25,10.0,-10.0,-0.0001674558021342242,2,signal_fail
2015-08-04,2015-08-12,2015,MCQE,2011.0,29.68,30.02,59686.48,60370.22,10.0,673.739999999998,0.011287037949134415,8,stop
2015-10-18,2015-10-19,2015,RAYA,620558.0,0.11,0.11,68261.38,68261.38,10.0,-10.0,-0.0001464849901225171,1,stop
2015-10-19,2015-11-10,2015,RAYA,620512.0,0.11,0.1,68256.32,62051.2,10.0,-6215.12000000001,-0.09104892785548256,22,stop
2015-09-09,2015-12-03,2015,EFID,4016.0,15.75,16.04,63252.0,64416.64,10.0,1154.6399999999994,0.018253157753292115,85,signal_fail
2015-12-09,2015-12-10,2015,EFID,4229.0,16.5,16.15,69778.5,68298.34999999999,10.0,-1490.1500000000087,-0.021353901710289808,1,signal_fail
2015-12-02,2015-12-10,2015,BFTH,67097.0,1.12,1.13,75148.64000000001,75819.60999999999,10.0,660.9699999999721,0.008794916653404572,8,stop
2015-12-07,2015-12-17,2015,EMFD,24312.0,2.87,2.77,69775.44,67344.24,10.0,-2441.199999999997,-0.03498401557800434,10,stop
2015-12-30,2015-12-31,2015,EFID,4334.0,16.26,16.09,70470.84000000001,69734.06,10.0,-746.7800000000134,-0.010596255397594598,1,signal_fail
2015-12-21,2016-01-03,2016,BFTH,57300.0,1.23,1.17,70479.0,67041.0,10.0,-3448.0,-0.04891890358095454,13,stop
2015-12-20,2016-01-06,2016,EMFD,25260.0,2.79,2.64,70475.4,66686.40000000001,10.0,-3798.9999999999854,-0.053901510207092836,17,stop
2016-01-11,2016-01-17,2016,BFTH,58798.0,1.21,1.03,71145.58,60561.94,10.0,-10593.64,-0.1488904236620418,6,stop
2016-02-09,2016-02-15,2016,PHDC,33463.0,2.17,2.01,72614.70999999999,67260.62999999999,10.0,-5364.080000000002,-0.07386534592330378,6,stop
2016-01-28,2016-02-16,2016,BFTH,58289.0,1.16,1.69,67615.23999999999,98508.41,10.0,30883.170000000013,0.4567148829995282,19,target
2016-02-16,2016-02-22,2016,BFTH,47014.0,1.69,2.4,79453.66,112833.6,10.0,33369.94,0.4199660553047333,6,target
2016-02-22,2016-03-03,2016,PHDC,41360.0,2.19,2.11,90578.4,87269.59999999999,10.0,-3318.800000000003,-0.036638059512007756,10,stop
2016-03-13,2016-03-20,2016,HELI,25219.0,3.68,4.21,92805.92,106171.99,10.0,13356.070000000007,0.14390623430949728,7,target
2016-03-13,2016-03-20,2016,PHDC,41993.0,2.21,2.5,92804.53,104982.5,10.0,12167.970000000001,0.13110690249158682,7,target
2016-04-06,2016-04-27,2016,COMI,6711.0,15.84,17.99,106302.24,120730.88999999998,10.0,14418.64999999998,0.13563187229769091,21,target
2016-03-28,2016-05-03,2016,BFTH,20303.0,4.99,5.6,101311.97,113696.8,10.0,12374.830000000002,0.1221397560546866,36,target
2016-04-28,2016-05-09,2016,EFID,7316.0,16.5,19.48,120714.0,142515.68,10.0,21791.679999999993,0.18051574317216007,11,stop
2016-05-10,2016-05-17,2016,OIH,46540.0,2.86,2.71,133104.4,126123.4,10.0,-6991.0,-0.0525207085299761,7,stop
2016-04-17,2016-06-02,2016,HRHO,24165.0,4.4,5.12,106326.0,123724.8,10.0,17388.800000000003,0.16353462301680605,46,target
2016-06-01,2016-06-08,2016,EFID,7625.0,17.85,16.7,136106.25,127337.5,10.0,-8778.75,-0.06449687296237452,7,stop
2016-05-10,2016-07-10,2016,ETEL,16391.0,8.12,8.55,133094.91999999998,140143.05000000002,10.0,7038.130000000034,0.05287854417944079,61,target
2016-06-02,2016-07-17,2016,COMI,7197.0,17.19,17.04,123716.43,122636.88,10.0,-1089.5499999999884,-0.00880647758436019,45,stop
2016-07-27,2016-07-28,2016,MCQE,4390.0,30.38,30.38,133368.19999999998,133368.19999999998,10.0,-10.0,-7.497758170307079e-05,1,stop
