family,number,value,holdout_excess_vs_etf_dca,holdout_max_drawdown,closed_trades,params
rebound,0,-0.48270813709026617,-0.48270813709026617,0.008965051466823581,20.0,"{""atr_len"": 7, ""bb_len"": 38, ""bb_std"": 1.6091018833188566, ""cci_len"": 22, ""cci_reclaim"": -72.9873177525445, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 85, ""max_positions"": 5, ""rsi_entry"": 25.822610730763714, ""rsi_len"": 19, ""rsi_reclaim"": 44.76348874982191, ""scan_mode"": ""weekly"", ""stop_atr"": 1.882013221171814, ""target_atr"": 2.7831276603359454, ""top_n"": 5, ""trail_atr"": 2.2813470677100853, ""trend_len"": 114}"
rebound,1,-0.5076090558298476,-0.5076090558298476,0.02703971367407132,20.0,"{""atr_len"": 21, ""bb_len"": 21, ""bb_std"": 2.10419569328359, ""cci_len"": 35, ""cci_reclaim"": -78.22535482954603, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 126, ""max_positions"": 4, ""rsi_entry"": 28.509418536327672, ""rsi_len"": 16, ""rsi_reclaim"": 51.60897610574927, ""scan_mode"": ""monthly"", ""stop_atr"": 2.5147368948220006, ""target_atr"": 3.410981566534335, ""top_n"": 4, ""trail_atr"": 2.260831176180175, ""trend_len"": 124}"
rebound,2,-0.2811601847598053,-0.2811601847598053,0.02078724121719211,65.0,"{""atr_len"": 12, ""bb_len"": 29, ""bb_std"": 1.9361351914584695, ""cci_len"": 38, ""cci_reclaim"": -90.51078920768028, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 80, ""max_positions"": 5, ""rsi_entry"": 34.39077815870551, ""rsi_len"": 11, ""rsi_reclaim"": 39.90533054329275, ""scan_mode"": ""monthly"", ""stop_atr"": 1.2795736695906554, ""target_atr"": 5.514413508316485, ""top_n"": 9, ""trail_atr"": 3.0200037260177184, ""trend_len"": 52}"
rebound,3,-0.2888859460120696,-0.2888859460120696,0.03316645741821722,79.0,"{""atr_len"": 18, ""bb_len"": 19, ""bb_std"": 1.664376404028089, ""cci_len"": 13, ""cci_reclaim"": -46.99348451390765, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 74, ""max_positions"": 6, ""rsi_entry"": 35.12853102395323, ""rsi_len"": 18, ""rsi_reclaim"": 42.30835905651616, ""scan_mode"": ""weekly"", ""stop_atr"": 2.8052528929398375, ""target_atr"": 4.933712666577911, ""top_n"": 7, ""trail_atr"": 4.084767513433257, ""trend_len"": 78}"
rebound,4,-0.26557767612002814,-0.26557767612002814,0.09141464393871712,177.0,"{""atr_len"": 7, ""bb_len"": 32, ""bb_std"": 2.4428828904445727, ""cci_len"": 34, ""cci_reclaim"": -21.861362875285, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 107, ""max_positions"": 5, ""rsi_entry"": 38.96993635313423, ""rsi_len"": 7, ""rsi_reclaim"": 47.48755696184654, ""scan_mode"": ""monthly"", ""stop_atr"": 3.2333563045035016, ""target_atr"": 3.773319168446951, ""top_n"": 5, ""trail_atr"": 3.8412116997896435, ""trend_len"": 123}"
rebound,5,-0.15195335090159867,-0.15195335090159867,0.04835179716759197,257.0,"{""atr_len"": 19, ""bb_len"": 34, ""bb_std"": 2.427040072391858, ""cci_len"": 14, ""cci_reclaim"": -30.950221835075556, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 118, ""max_positions"": 7, ""rsi_entry"": 40.44356359246123, ""rsi_len"": 8, ""rsi_reclaim"": 45.0437675565332, ""scan_mode"": ""weekly"", ""stop_atr"": 2.87233289314293, ""target_atr"": 5.77903919019216, ""top_n"": 9, ""trail_atr"": 2.1216957084528394, ""trend_len"": 131}"
rebound,6,0.17067869706528338,0.17067869706528338,0.07781074188366133,156.0,"{""atr_len"": 12, ""bb_len"": 36, ""bb_std"": 2.4743175377252933, ""cci_len"": 27, ""cci_reclaim"": -86.9214613312561, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 110, ""max_positions"": 3, ""rsi_entry"": 44.91794206494039, ""rsi_len"": 10, ""rsi_reclaim"": 52.64841481444221, ""scan_mode"": ""monthly"", ""stop_atr"": 1.969859283603005, ""target_atr"": 3.2738646599617898, ""top_n"": 4, ""trail_atr"": 4.2410672724597855, ""trend_len"": 91}"
rebound,7,-0.3240465281676137,-0.3240465281676137,0.030135521874444793,27.0,"{""atr_len"": 12, ""bb_len"": 22, ""bb_std"": 2.1498919357080233, ""cci_len"": 38, ""cci_reclaim"": -98.68628897828478, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 105, ""max_positions"": 4, ""rsi_entry"": 27.68078804340854, ""rsi_len"": 13, ""rsi_reclaim"": 38.29584330379402, ""scan_mode"": ""weekly"", ""stop_atr"": 2.631191035078667, ""target_atr"": 5.346436417226016, ""top_n"": 8, ""trail_atr"": 3.1097122545527442, ""trend_len"": 82}"
rebound,8,-0.5452055775962434,-0.5452055775962434,0.023990498805340987,12.0,"{""atr_len"": 17, ""bb_len"": 36, ""bb_std"": 2.039169695855392, ""cci_len"": 14, ""cci_reclaim"": -49.993455941212446, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 76, ""max_positions"": 5, ""rsi_entry"": 29.419532820539352, ""rsi_len"": 14, ""rsi_reclaim"": 42.23968026521769, ""scan_mode"": ""monthly"", ""stop_atr"": 2.6800769118866827, ""target_atr"": 3.91617945281196, ""top_n"": 7, ""trail_atr"": 1.6028604470379921, ""trend_len"": 156}"
rebound,9,-0.5515952688071297,-0.5515952688071297,0.006887552004720687,12.0,"{""atr_len"": 12, ""bb_len"": 34, ""bb_std"": 2.216233083682769, ""cci_len"": 40, ""cci_reclaim"": -86.77281412374101, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 26, ""max_positions"": 5, ""rsi_entry"": 27.43062389651493, ""rsi_len"": 11, ""rsi_reclaim"": 46.908957779887835, ""scan_mode"": ""monthly"", ""stop_atr"": 2.054444408669995, ""target_atr"": 2.0294913660663534, ""top_n"": 5, ""trail_atr"": 4.656822554005331, ""trend_len"": 64}"
