date,symbol,action,shares,price,value,fee,reason
2015-10-04,MCQE,BUY,2239.0,29.704845,66509.147955,138.01829590999998,rebound_entry
2015-10-08,MCQE,SELL,2239.0,29.655165000000004,66397.91443500001,137.79582887000004,stop
2015-10-12,MCQE,BUY,2236.0,29.69484,66397.66224,137.79532448,rebound_entry
2015-10-18,RAYA,BUY,603343.0,0.110055,66400.913865,137.80182772999999,rebound_entry
2015-10-19,RAYA,SELL,603343.0,0.109945,66334.546135,137.66909227,stop
2015-10-19,RAYA,BUY,601793.0,0.110055,66230.328615,137.46065723,rebound_entry
2015-11-01,ORWE,BUY,10406.0,7.32366,76210.00596000001,157.42001192000004,rebound_entry
2015-11-08,ORWE,SELL,10406.0,7.27636,75717.80216,156.43560432,stop
2015-11-08,ORWE,BUY,10352.0,7.28364,75400.24128,155.80048256,rebound_entry
2015-11-09,ORWE,SELL,10352.0,7.066465000000001,73152.04568000001,151.30409136000003,stop
2015-11-10,MCQE,SELL,2236.0,29.835075000000003,66711.2277,138.42245540000002,stop
2015-11-10,RAYA,SELL,601793.0,0.09995000000000001,60149.21035000001,125.29842070000002,stop
2015-12-02,BFTH,BUY,62221.0,1.12056,69722.36376,144.44472752,rebound_entry
2015-12-03,BFTH,SELL,62221.0,1.129435,70274.57513499999,145.54915026999998,signal_fail
2015-12-09,EFID,BUY,4228.0,16.50825,69796.88100000001,144.59376200000003,rebound_entry
2015-12-20,PHDC,BUY,31152.0,2.24112,69815.37024,144.63074048000001,rebound_entry
2015-12-21,BFTH,BUY,56735.0,1.230615,69818.942025,144.63788405,rebound_entry
2015-12-31,BFTH,SELL,56735.0,1.1994,68047.959,141.095918,stop
2016-01-06,PHDC,SELL,31152.0,2.25887,70368.31824,145.73663648,stop
2016-01-11,BFTH,BUY,61053.0,1.210605,73911.067065,152.82213413,rebound_entry
2016-01-13,EFID,SELL,4228.0,15.832080000000001,66938.03424000001,138.87606848000001,stop
2016-01-17,BFTH,SELL,61053.0,1.029485,62853.147704999996,130.70629541,stop
2016-01-28,BFTH,BUY,58351.0,1.16058,67721.00357999999,140.44200715999997,rebound_entry
2016-02-09,PHDC,BUY,33491.0,2.1710849999999997,72711.807735,150.42361547,rebound_entry
2016-02-15,PHDC,SELL,33491.0,2.008995,67283.251545,139.56650309000003,stop
2016-02-16,BFTH,SELL,58351.0,1.689155,98563.883405,202.12776681,target
2016-02-16,BFTH,BUY,46895.0,1.690845,79292.17627499999,163.58435254999998,rebound_entry
2016-02-22,BFTH,SELL,46895.0,2.3988,112491.726,229.983452,target
2016-02-22,PHDC,BUY,41169.0,2.191095,90205.19005499998,185.41038010999998,rebound_entry
2016-02-24,EGCH,BUY,35778.0,2.52126,90205.64027999999,185.41128056,rebound_entry
2016-03-02,RAYA,BUY,1112646.0,0.09004499999999999,100188.20906999998,205.37641813999997,rebound_entry
2016-03-03,PHDC,SELL,41169.0,2.108945,86823.15670499999,178.64631340999998,stop
2016-03-13,PHDC,BUY,39105.0,2.211105,86465.261025,177.93052205,rebound_entry
2016-03-14,PHDC,SELL,39105.0,2.2188900000000005,86769.69345000002,178.53938690000004,stop
2016-03-17,RAYA,SELL,1112646.0,0.09995000000000001,111208.96770000001,227.41793540000003,signal_fail
2016-03-20,EGCH,SELL,35778.0,3.108445,111213.94521,227.42789042,target
2016-04-06,COMI,BUY,6686.0,15.847919999999998,105959.19312,216.91838624,rebound_entry
2016-04-12,COMI,SELL,6686.0,15.832080000000001,105853.28688000001,216.70657376000003,stop
2016-04-17,HRHO,BUY,24031.0,4.402200000000001,105789.26820000002,216.57853640000005,rebound_entry
2016-04-17,CCAP,BUY,67349.0,1.5707849999999999,105790.798965,216.58159793,rebound_entry
2016-04-18,EGCH,BUY,32940.0,3.2116049999999996,105790.26869999999,216.58053739999997,rebound_entry
2016-04-27,CCAP,SELL,67349.0,1.5292350000000001,102992.448015,210.98489603000002,stop
2016-04-27,OIH,BUY,35352.0,2.9014499999999996,102572.06039999999,210.14412079999997,rebound_entry
2016-05-03,EGCH,SELL,32940.0,3.11844,102721.4136,210.4428272,stop
2016-05-03,OIH,SELL,35352.0,2.8285850000000003,99996.13692000002,204.99227384000005,stop
2016-05-05,HRHO,SELL,24031.0,4.31784,103762.01304,212.52402608000003,stop
2016-05-10,HRHO,BUY,23131.0,4.542269999999999,105067.24736999998,215.13449473999998,rebound_entry
2016-05-12,HRHO,SELL,23131.0,4.3978,101725.51180000001,208.4510236,stop
2016-05-19,HRHO,BUY,21891.0,4.74237,103815.22167,212.63044334,rebound_entry
2016-05-19,COMI,BUY,5813.0,17.858925,103813.931025,212.62786205,rebound_entry
2016-05-19,OIH,BUY,37192.0,2.791395,103817.56284,212.63512568000002,rebound_entry
2016-05-26,COMI,SELL,5813.0,17.041475000000002,99062.094175,203.12418835000003,stop
