date,symbol,shares,close,market_value,entry_date,bars_held
2015-10-04,MCQE,2239.0,29.69,66475.91,2015-10-04,0
2015-10-12,MCQE,2236.0,29.68,66364.48,2015-10-12,0
2015-10-18,MCQE,2236.0,29.68,66364.48,2015-10-12,1
2015-10-18,RAYA,603343.0,0.11,66367.73,2015-10-18,0
2015-10-19,MCQE,2236.0,29.68,66364.48,2015-10-12,2
2015-10-19,RAYA,601793.0,0.11,66197.23,2015-10-19,0
2015-10-20,MCQE,2236.0,29.68,66364.48,2015-10-12,3
2015-10-20,RAYA,601793.0,0.11,66197.23,2015-10-19,1
2015-10-29,MCQE,2236.0,29.68,66364.48,2015-10-12,4
2015-10-29,RAYA,601793.0,0.11,66197.23,2015-10-19,2
2015-11-01,MCQE,2236.0,29.68,66364.48,2015-10-12,5
2015-11-01,RAYA,601793.0,0.11,66197.23,2015-10-19,3
2015-11-01,ORWE,10406.0,7.32,76171.92,2015-11-01,0
2015-11-08,MCQE,2236.0,29.68,66364.48,2015-10-12,6
2015-11-08,RAYA,601793.0,0.11,66197.23,2015-10-19,4
2015-11-08,ORWE,10352.0,7.07,73188.64,2015-11-08,0
2015-11-09,MCQE,2236.0,29.85,66744.6,2015-10-12,7
2015-11-09,RAYA,601793.0,0.1,60179.3,2015-10-19,5
2015-12-02,BFTH,62221.0,1.13,70309.73,2015-12-02,0
2015-12-09,EFID,4228.0,16.15,68282.2,2015-12-09,0
2015-12-10,EFID,4228.0,16.49,69719.71999999999,2015-12-09,1
2015-12-17,EFID,4228.0,16.53,69888.84000000001,2015-12-09,2
2015-12-20,EFID,4228.0,16.53,69888.84000000001,2015-12-09,3
2015-12-20,PHDC,31152.0,2.26,70403.51999999999,2015-12-20,0
2015-12-21,EFID,4228.0,16.18,68409.04,2015-12-09,4
2015-12-21,PHDC,31152.0,2.28,71026.56,2015-12-20,1
2015-12-21,BFTH,56735.0,1.24,70351.4,2015-12-21,0
2015-12-24,EFID,4228.0,16.72,70692.15999999999,2015-12-09,5
2015-12-24,PHDC,31152.0,2.3,71649.59999999999,2015-12-20,2
2015-12-24,BFTH,56735.0,1.23,69784.05,2015-12-21,1
2015-12-30,EFID,4228.0,16.09,68028.52,2015-12-09,6
2015-12-30,PHDC,31152.0,2.33,72584.16,2015-12-20,3
2015-12-30,BFTH,56735.0,1.2,68082.0,2015-12-21,2
2015-12-31,EFID,4228.0,16.35,69127.8,2015-12-09,7
2015-12-31,PHDC,31152.0,2.51,78191.51999999999,2015-12-20,4
2016-01-03,EFID,4228.0,16.31,68958.68,2015-12-09,8
2016-01-03,PHDC,31152.0,2.32,72272.64,2015-12-20,5
2016-01-05,EFID,4228.0,16.43,69466.04,2015-12-09,9
2016-01-05,PHDC,31152.0,2.26,70403.51999999999,2015-12-20,6
2016-01-06,EFID,4228.0,16.27,68789.56,2015-12-09,10
2016-01-10,EFID,4228.0,16.04,67817.12,2015-12-09,11
2016-01-11,EFID,4228.0,16.15,68282.2,2015-12-09,12
2016-01-11,BFTH,61053.0,1.15,70210.95,2016-01-11,0
2016-01-12,EFID,4228.0,15.84,66971.52,2015-12-09,13
2016-01-12,BFTH,61053.0,1.15,70210.95,2016-01-11,1
2016-01-13,BFTH,61053.0,1.12,68379.36,2016-01-11,1
2016-01-28,BFTH,58351.0,1.18,68854.18,2016-01-28,0
2016-01-31,BFTH,58351.0,1.12,65353.12,2016-01-28,1
